headline,date,url
Inside the List,2014-01-26,https://www.nytimes.com/2014/01/26/books/review/inside-the-list.html
Which Authors or Books Have Worked on You as ‘Negative Influences’?,2014-01-26,https://www.nytimes.com/2014/01/26/books/review/which-authors-or-books-have-worked-on-you-as-negative-influences.html
"Catching the Olympic Spirit in Lake Placid, N.Y.",2014-01-26,https://www.nytimes.com/2014/01/26/travel/catching-the-olympic-spirit-in-lake-placid-ny.html
"Hotel Review: Arts Boutique Hotel B in Lima, Peru",2014-01-26,https://www.nytimes.com/2014/01/26/travel/hotel-review-arts-boutique-hotel-b-in-lima-peru.html
Your Next Job Application Could Involve a Video Game,2014-01-26,https://www.nytimes.com/2014/01/26/magazine/your-next-job-application-could-involve-a-video-game.html
Letters: ‘Little Failure’ and More,2014-01-26,https://www.nytimes.com/2014/01/26/books/review/letters-little-failure-and-more.html
Quiet in the Caribbean,2014-01-26,https://www.nytimes.com/2014/01/26/travel/quiet-in-the-caribbean.html
"Restaurant Report: Fishing With Dynamite in Manhattan Beach, Calif.",2014-01-26,https://www.nytimes.com/2014/01/26/travel/restaurant-report-fishing-with-dynamite-in-manhattan-beach-calif.html
"Singing, Dancing and Economics",2014-01-26,https://www.nytimes.com/2014/01/26/theater/singing-dancing-and-economics.html
"Living in Manhasset, N.Y.",2014-01-26,https://www.nytimes.com/slideshow/2014/01/26/realestate/20140126-LIVING.html
A Place on Manhattanites’ Map,2014-01-26,https://www.nytimes.com/2014/01/26/realestate/a-place-on-manhattanites-map.html
Putin’s Olympic Fever Dream,2014-01-26,https://www.nytimes.com/2014/01/26/magazine/putins-olympic-fever-dream.html
"In Cape Town, Fashion With a Side of Fries",2014-01-26,https://www.nytimes.com/2014/01/26/travel/in-cape-town-fashion-with-a-side-of-fries.html
"In Milwaukee, a District for a Bite or a Brew",2014-01-26,https://www.nytimes.com/2014/01/26/travel/in-milwaukee-a-district-for-a-bite-or-a-brew.html
"Lonnie Holley, the Insider’s Outsider",2014-01-26,https://www.nytimes.com/2014/01/26/magazine/lonnie-holley-the-insiders-outsider.html
Chang-rae Lee: By the Book,2014-01-26,https://www.nytimes.com/2014/01/26/books/review/chang-rae-lee-by-the-book.html
Journeyman Playwright’s Latest Journey,2014-01-26,https://www.nytimes.com/2014/01/26/theater/george-brants-play-grounded-brings-him-to-new-york.html
The Next Big Picture,2014-01-26,https://www.nytimes.com/2014/01/26/arts/design/with-cameras-optional-new-directions-in-photography.html
"36 Hours in Basel, Switzerland",2014-01-26,https://www.nytimes.com/2014/01/26/travel/36-hours-in-basel-switzerland.html
"Smut, Refreshed for a New Generation",2014-01-26,https://www.nytimes.com/2014/01/26/movies/smut-refreshed-for-a-new-generation.html
Off Off Off Broadway (at Your Multiplex),2014-01-26,https://www.nytimes.com/2014/01/26/theater/theater-producers-weigh-hd-broadcasts-in-movie-theaters.html
Line Cook’s Pâté,2014-01-26,https://www.nytimes.com/2014/01/26/magazine/line-cooks-pate.html
How Hollywood Ruined Me for Romance,2014-01-26,https://www.nytimes.com/2014/01/26/fashion/how-hollywood-ruined-me-for-romance-modern-love.html
Wedding Q. and A.,2014-01-26,https://www.nytimes.com/2014/01/26/fashion/weddings/wedding-q-and-a.html
Art Meets Environmental Activism in ‘The Crossroads Project’,2014-01-26,https://www.nytimes.com/2014/01/26/nyregion/art-meets-environmental-activism-in-the-crossroads-project.html
From Upstate to the West Village,2014-01-26,https://www.nytimes.com/2014/01/26/realestate/from-upstate-to-the-west-village.html
"A Fearsome Portrayal of a Powerful, Angry Man",2014-01-26,https://www.nytimes.com/2014/01/26/nyregion/a-review-of-fences-at-mccarter-theater-center-in-princeton.html
On the Amend,2014-01-26,https://www.nytimes.com/2014/01/26/fashion/on-the-amend.html
Contrasting Big and Little at a Tapas Bar,2014-01-26,https://www.nytimes.com/2014/01/26/nyregion/a-review-of-plancha-tapas-and-wine-bar-in-garden-city.html
"Korean Dishes, Mild, Medium and Fiery",2014-01-26,https://www.nytimes.com/2014/01/26/nyregion/a-review-of-korea-garden-in-yonkers.html
"An Office, and Its Staff, at the Edge",2014-01-26,https://www.nytimes.com/2014/01/26/nyregion/a-review-of-the-consultant-in-new-haven.html
Sounds to Complement Red and White at Long Island Wineries,2014-01-26,https://www.nytimes.com/2014/01/26/nyregion/sounds-to-complement-red-and-white-at-long-island-wineries.html
Complaints About Closings,2014-01-26,https://www.nytimes.com/2014/01/26/realestate/complaints-about-closings.html
"Food Fresh and Local at Farmers’ Markets, Well After the Frost",2014-01-26,https://www.nytimes.com/2014/01/26/nyregion/food-fresh-and-local-at-farmers-markets-well-after-the-frost.html
Deep Reader,2014-01-26,https://www.nytimes.com/2014/01/26/books/review/rebecca-meads-my-life-in-middlemarch.html
If It Pleases the Gods,2014-01-26,https://www.nytimes.com/2014/01/26/books/review/the-parthenon-enigma-by-joan-breton-connelly.html
The Big Uneasy,2014-01-26,https://www.nytimes.com/2014/01/26/books/review/my-age-of-anxiety-by-scott-stossel.html
Landlords Seek the Upper Hand,2014-01-26,https://www.nytimes.com/2014/01/26/realestate/landlords-seek-the-upper-hand.html
Mix and Match for a Savory Taste of Korea,2014-01-26,https://www.nytimes.com/2014/01/26/nyregion/a-review-of-yama-dora-in-east-haven.html
The Bahamas on the Radar,2014-01-26,https://www.nytimes.com/2014/01/26/realestate/the-bahamas-on-the-radar.html
‘I Now Present Mr. and Mrs. Jetson’,2014-01-26,https://www.nytimes.com/2014/01/26/fashion/weddings/i-now-present-mr-and-mrs-jetson.html
Events in Westchester for Jan. 26 to Feb. 1,2014-01-26,https://www.nytimes.com/2014/01/26/nyregion/events-in-westchester-for-jan-26-to-feb-1-2014.html
Events on Long Island for Jan. 26 to Feb. 1,2014-01-26,https://www.nytimes.com/2014/01/26/nyregion/events-on-long-island-for-jan-26-to-feb-1-2014.html
Google Tools for Globetrotters,2014-01-26,https://www.nytimes.com/2014/01/26/travel/google-tools-for-globetrotters.html
Capturing the New York of the 1960s and ’70s,2014-01-26,https://www.nytimes.com/2014/01/26/nyregion/photographing-new-york-of-the-1960s-and-70s.html
An ‘Off the Wall’ Experience at Don Pedro,2014-01-26,https://www.nytimes.com/2014/01/26/nyregion/an-off-the-wall-experience-at-don-pedro.html
"Books About Builders, Bootleggers and Bosses",2014-01-26,https://www.nytimes.com/2014/01/26/nyregion/books-about-builders-bootleggers-and-bosses.html
Events in New Jersey for Jan. 26 to Feb. 1,2014-01-26,https://www.nytimes.com/2014/01/26/nyregion/events-in-new-jersey-for-jan-26-to-feb-1-2014.html
Events in Connecticut for Jan. 26 to Feb. 1,2014-01-26,https://www.nytimes.com/2014/01/26/nyregion/events-in-connecticut-for-jan-26-to-feb-1-2014.html
"Not Living in the Past, but Going for Visits",2014-01-25,https://www.nytimes.com/2014/01/25/theater/row-after-row-explores-civil-war-re-enactors.html
Report on Unrest Is at Odds With Account of Myanmar ,2014-01-25,https://www.nytimes.com/2014/01/25/world/asia/un-says-muslims-were-massacred-in-tense-myanmar-region.html
Planet Hillary,2014-01-26,https://www.nytimes.com/2014/01/26/magazine/hillary-clinton.html
"When It Comes to Nymphs and Princes, Water and Earth Don’t Mix",2014-01-25,https://www.nytimes.com/2014/01/25/arts/music/a-rusalka-with-two-sides-at-the-metropolitan-opera.html
Diplomacy and the Syrian Equation,2014-01-25,https://www.nytimes.com/2014/01/25/opinion/diplomacy-and-the-syrian-equation.html
The Globalization of Pollution,2014-01-25,https://www.nytimes.com/2014/01/25/opinion/the-globalization-of-pollution.html
The Rights of French Women,2014-01-25,https://www.nytimes.com/2014/01/25/opinion/the-rights-of-french-women.html
Prolonged Fight Feared in Egypt After Bombings,2014-01-25,https://www.nytimes.com/2014/01/25/world/middleeast/fatal-bomb-attacks-in-egypt.html
"North Korea Agrees to Proposal to Resume Family Reunions, Reversing Stance",2014-01-25,https://www.nytimes.com/2014/01/25/world/asia/korea.html
How Long Have I Got Left?,2014-01-26,https://www.nytimes.com/2014/01/25/opinion/sunday/how-long-have-i-got-left.html
Violent Protests in Ukraine,2014-01-25,https://www.nytimes.com/2014/01/25/opinion/chappatte-violent-protests-in-ukraine.html
Chip Profits Help Soften Other Losses at Samsung,2014-01-25,https://www.nytimes.com/2014/01/25/technology/chip-figures-take-sting-out-of-declining-sales-at-samsung.html
A Racist Turn in India,2014-01-25,https://www.nytimes.com/2014/01/25/opinion/roy-the-wrong-kind-of-foreigner.html
When Art Is Beside the Point,2014-01-25,https://www.nytimes.com/2014/01/25/arts/international/25iht-Martin-Creed-When-Art-Is-Beside-the-Point.html
Rafael Nadal Dismantles Roger Federer Once Again to Advance to Final,2014-01-25,https://www.nytimes.com/2014/01/25/sports/tennis/nadal-beats-federer-to-advance-to-final-in-australia.html
"A Man Without a Nation, in Italy",2014-01-26,https://www.nytimes.com/2014/01/26/movies/homevideo/andrei-tarkovskys-nostalghia-on-blu-ray.html
"In a Blizzard of Sounds, the Intuitive Maestro",2014-01-26,https://www.nytimes.com/2014/01/26/arts/music/musings-of-ariel-rechtshaid-grammy-nominee.html
"2 Sides in Syria Peace Talks Agree to Meet in the Same Room, Averting a Breakdown",2014-01-25,https://www.nytimes.com/2014/01/25/world/middleeast/syria.html
Thai Court Says Delay of Elections Is Constitutional,2014-01-25,https://www.nytimes.com/2014/01/25/world/asia/thai-constitutional-court-says-election-can-be-postponed.html
U.N. Sounds Alarm as Iraqis Flee Violence,2014-01-25,https://www.nytimes.com/2014/01/25/world/middleeast/iraq.html
Umit Benan’s Homage and Thom Browne’s Nature Trail,2014-01-25,https://www.nytimes.com/2014/01/25/fashion/umit-benin-offers-bold-1940s-style-tailoring.html
Kris Van Assche: A Bolt of Lightning,2014-01-25,https://www.nytimes.com/2014/01/25/fashion/kris-van-assche-adds-a-bolt-of-lightning-to-fashion.html
U.S. Oil Production Keeps Rising Beyond the Forecasts,2014-01-25,https://www.nytimes.com/2014/01/25/business/us-oil-production-keeps-rising-beyond-the-forecasts.html
Wall Street Sinks as Investors Retreat From Emerging Markets,2014-01-25,https://www.nytimes.com/2014/01/25/business/daily-stock-market-activity.html
