headline,date,snippet,url
From Cake to Coke,2014-01-01T00:00,"A slice of Epiphany, a special glass for Coca-Cola and more....",https://www.nytimes.com/2014/01/01/dining/from-cake-to-coke.html
Vote on New Boeing Contract Highlights a Rift in the Machinists&#8217; Union,2014-01-02T00:00,International and local union leaders are sharply divided over a vote set for Friday on Boeing&#8217;s revised contract offer to machinists in Washington State....,https://www.nytimes.com/2014/01/02/business/vote-on-boeing-contract-highlights-rift-in-machinists-union.html
Boeing Workers Approve 8-Year Contract Extension ,2014-01-05T00:00,"The vote was an emotional, and very close 51 percent in favor of the contract extension to 2024, keeping aerospace jobs in Washington State....",https://www.nytimes.com/2014/01/05/business/boeing-workers-approve-contract-tied-to-777x.html
Not Quite All Spoonfuls of Sugar,2014-01-05T00:00,"Tom Hanks and Emma Thompson play Walt Disney and P. L. Travers, the author of “Mary Poppins,” in “Saving Mr. Banks,” which delves into the history of the movie....",https://www.nytimes.com/2014/01/05/movies/awardsseason/tom-hanks-and-emma-thompson-discuss-saving-mr-banks.html
A New Year’s Checklist for Travelers,2014-01-05T00:00,Following these five steps could set you on the path to a smoother travel year in 2014....,https://www.nytimes.com/2014/01/05/travel/a-new-years-checklist-for-travelers.html
IBM Is Betting That Watson Can Earn Its Keep,2014-01-09T00:00,"IBM says a new division, with 2,500 employees, will be devoted to the supercomputer&#8217;s so-called data analysis and recommendation technology....",https://www.nytimes.com/2014/01/09/technology/ibm-is-betting-that-watson-can-earn-its-keep.html
"Changes in Windows 8.1, With Skype Replacing Messaging App",2014-01-10T00:00,"A summary of differences in the latest Windows upgrade, and how to share files between Apple devices....",https://www.nytimes.com/2014/01/10/technology/personaltech/changes-in-windows-8-1-with-skype-replacing-messaging-app.html
Cost of Cool in India? An iPhone,2014-01-13T00:00,"To draw young buyers and increase its market share in India, Apple has offered promotions like monthly payments and trade-ins....",https://www.nytimes.com/2014/01/13/business/international/cost-of-cool-in-india-an-iphone.html
Economic Reports for the Week of Jan. 13,2014-01-13T00:00,"JPMorgan Chase and Wells Fargo, set to report fourth-quarter results on Tuesday, will kick off a flurry of bank earnings, and Intel will post its fourth-quarter results....",https://www.nytimes.com/2014/01/13/business/economic-reports-for-the-week-of-jan-13.html
Visa Trims Slogan to Expand Meaning,2014-01-13T00:00,"“It’s everywhere you want to be,” has become “Everywhere you want to be” to highlight many options available under the Visa brand umbrella, including mobile and electronic payments....",https://www.nytimes.com/2014/01/13/business/media/visa-trims-slogan-to-expand-meaning.html
"For Google, a Toehold Into Goods for a Home",2014-01-14T00:00,"The $3.2 billion deal for Nest Labs, which is led by former Apple engineers, will expand the technology giant’s portfolio of consumer goods....",https://www.nytimes.com/2014/01/14/technology/google-to-buy-nest-labs-for-3-2-billion.html
Airbus Led Rival Boeing in Jets Ordered Last Year,2014-01-14T00:00,The orders reflect Airbus’s dominant position in the market for the most expensive aircraft: large wide-bodies with more than 400 seats....,https://www.nytimes.com/2014/01/14/business/international/airbus-led-rival-boeing-in-jets-ordered-last-year.html
787’s Battery Emits Smoke a Year After Jets’ Grounding,2014-01-15T00:00,Boeing says the problem on a Dreamliner in Tokyo was contained by a new protective system designed to prevent smoke or fire from the volatile ion-lithium batteries from putting a plane at risk....,https://www.nytimes.com/2014/01/15/business/787s-battery-emits-smoke-a-year-after-jets-grounding.html
"Rebuffing F.C.C. in ‘Net Neutrality’ Case, Court Allows Streaming Deals",2014-01-15T00:00,The decision by a federal appeals court could pave the way for providers like Verizon and AT&T to charge content companies to deliver data at a faster speed....,https://www.nytimes.com/2014/01/15/technology/appeals-court-rejects-fcc-rules-on-internet-service-providers.html
A Sensor Guided by Voice or Gestures,2014-01-16T00:00,"Microsoft wants the Xbox One to be the center of a home’s entertainment universe, providing Skype video calls and playing television shows, music and more....",https://www.nytimes.com/2014/01/16/technology/personaltech/a-sensor-guided-by-voice-or-gestures.html
Apple to Refund App Store Purchases Made Without Parental Consent,2014-01-16T00:00,The chairwoman said the F.T.C. settlement was “more robust” and more thorough than an earlier lawsuit settlement....,https://www.nytimes.com/2014/01/16/technology/government-and-apple-settle-childrens-app-purchase-inquiry.html
Intel Says Fourth-Quarter Earnings Were Off Mark,2014-01-17T00:00,"The chip maker says the earnings last quarter slightly missed expectations, and it offered a tepid forecast for the first quarter of 2014....",https://www.nytimes.com/2014/01/17/technology/intel-says-fourth-quarter-earnings-were-off-mark.html
Disney’s Troubled Gaming Unit Finds Success With Infinity,2014-01-18T00:00,"The console game that lets players mix and match Disney characters has sold 3 million starter packs worldwide, the company said....",https://www.nytimes.com/2014/01/18/business/media/disneys-troubled-gaming-unit-finds-success-with-infinity.html
Weak Earnings Weigh On S.&amp;P. and Nasdaq ,2014-01-18T00:00,Disheartening results from Intel and General Electric were partly to blame for the indexes&#8217; drop....,https://www.nytimes.com/2014/01/18/business/daily-stock-market-activity.html
Economic Reports for the Week of Jan. 20,2014-01-20T00:00,"The World Economic Forum will take place in Davos, Switzerland; the European Commission will publish its proposals on climate change policy; and Microsoft will release its earnings....",https://www.nytimes.com/2014/01/20/business/economy/economic-reports-for-the-week-of-jan-20.html
Verizon Plans to Buy Intel Media Division to Expand Its Television Services ,2014-01-22T00:00,"Intel Media was acquired by Verizon, which wants to add TV everywhere there is an Internet connection....",https://www.nytimes.com/2014/01/22/technology/verizon-to-expand-tv-services-with-intel-media-purchase.html
"Broader Market Climbs, but Dow Falters ",2014-01-22T00:00,"The Dow was pulled lower partly by Travelers, Verizon Communications and Johnson & Johnson, which fell even though all three reported earnings that exceeded expectations....",https://www.nytimes.com/2014/01/22/business/daily-stock-market-activity.html
