headline,date,snippet,url
A ‘Docu-Ad’ Looks at Hardship of Those Without Bank Access,2014-06-04T00:00,A nearly 40-minute commercial by American Express resembles an investigative nonfiction film and reveals the high costs of living outside the traditional financial system....,https://www.nytimes.com/2014/06/04/business/media/a-docu-ad-looks-at-hardship-of-those-without-bank-access.html
"Profit for American Express, and Elimination of 4,000 Jobs",2015-01-22T00:00,The announcement came as it reported an 11 percent rise in fourth-quarter profit....,https://www.nytimes.com/2015/01/22/business/profit-for-american-express-and-elimination-of-4000-jobs.html
Costco Says It Will Not Renew Contract With Amex Next Year ,2015-02-13T00:00,Costco said that starting next year it would stop accepting American Express credit cards at its United States stores....,https://www.nytimes.com/2015/02/13/business/costco-says-it-will-not-renew-contract-with-amex-next-year.html
"American Express Violated Antitrust Laws, Judge Rules",2015-02-20T00:00,The company has long barred merchants from encouraging customers to pay with credit cards that charge lower fees....,https://www.nytimes.com/2015/02/20/business/american-express-violated-antitrust-laws-us-judge-rules.html
Amex’s Loss in Court May Not Help Consumers,2015-02-24T00:00,"If history is any guide, the ruling against American Express will not lead to the desired outcome of increased competition and lower prices....",https://www.nytimes.com/2015/02/24/business/dealbook/amexs-loss-in-court-may-not-help-consumers.html
"With Revamped Gold Cards, Bruised American Express Returns Focus to Affluent",2015-02-27T00:00,"The company, seeking to reinvigorate its brand after some setbacks, plans to enhance the benefits of its popular gold card, but also raise the fees....",https://www.nytimes.com/2015/02/27/business/american-express-turns-to-its-core-customers-the-affluent.html
Costco to Offer Citigroup and Visa Co-Branded Cards,2015-03-03T00:00,"The warehouse club Costco has chosen Citigroup and Visa to run its co-branded credit card starting next year, replacing American Express, which lost the coveted deal last month....",https://www.nytimes.com/2015/03/03/business/costco-to-offer-citigroup-and-visa-co-branded-cards.html
Stronger Dollar Drives Revenue Down at American Express,2015-04-17T00:00,"The credit card issuer, which also lost several co-branding deals, said total revenue, net of interest expense, fell 2.7 percent to $7.95 billion....",https://www.nytimes.com/2015/04/17/business/stronger-dollar-drives-revenue-down-at-american-express.html
Head of Barclays Credit Card Business to Step Down,2015-05-13T00:00,"Valerie Soranno Keating, the chief executive, joined the bank in 2009 after a 16-year career with American Express....",https://www.nytimes.com/2015/05/13/business/dealbook/barclaycard-chief-executive-to-step-down.html
"Edward P. Gilligan, American Express Executive, Dies at 55",2015-05-30T00:00,"Mr. Gilligan was largely seen as the likely successor to Kenneth Chenault, the chief executive....",https://www.nytimes.com/2015/05/30/business/edward-p-gilligan-american-express-executive-dies-at-55.html
Market Extends a Losing Streak as Earnings Roll In,2015-07-24T00:00,"Stocks moved lower in afternoon trading after disappointing earnings from several big companies, including American Express, Caterpillar and 3M....",https://www.nytimes.com/2015/07/24/business/daily-stock-market-activity.html
Judge Rejects Settlement in American Express Case ,2015-08-05T00:00,"Citing &#8220;egregious conduct&#8221; in text messages and emails between two lawyers, a federal judge scrapped a proposed $75 million settlement between American Express and a group of retailers....",https://www.nytimes.com/2015/08/05/business/dealbook/judge-rejects-settlement-in-american-express-case.html
Activist Hedge Fund Takes Significant Stake in American Express,2015-08-08T00:00,"Shares of the credit card company jumped after the news that ValueAct Capital Management, a prominent activist hedge fund, had made a major investment....",https://www.nytimes.com/2015/08/08/business/dealbook/valueact-takes-stake-in-american-express.html
American Express May Get Same Treatment as Microsoft From ValueAct Capital  ,2015-09-05T00:00,The activist investor ValueAct Capital’s best bet for shaking up the card and payments giant might also be going after the chief executive....,https://www.nytimes.com/2015/09/05/business/dealbook/american-express-may-get-same-treatment-as-microsoft-from-valueact-capital.html
Morgan Stanley Management Shuffle Puts a C.E.O. on the Market,2016-01-07T00:00,"Gregory Fleming could find his skills in demand at BlackRock, American Express or a large United States regional bank....",https://www.nytimes.com/2016/01/07/business/dealbook/morgan-stanley-management-shuffle-puts-a-ceo-on-the-market.html
Market Picks Up Steam as Oil Prices Rise,2016-01-23T00:00,Shares of American Express sank more than 12 percent after the company said it would slash spending to cope with the rising dollar....,https://www.nytimes.com/2016/01/23/business/daily-stock-market-activity.html
American Express Can Stop Merchants From Steering Clients to Other Cards,2016-09-27T04:00,A federal appeals court reversed a 2015 ruling that a provision in American Express’s contracts with merchants violated federal antitrust law....,https://www.nytimes.com/2016/09/27/business/american-express-can-stop-merchants-from-steering-clients-to-other-cards.html
Ken Chenault’s Retirement Makes a Small Club Smaller: DealBook Briefing,2017-10-19T11:00,"When the American Express C.E.O. steps down in February, there may be just three black men running Fortune 500 companies.",https://www.nytimes.com/2017/10/19/business/dealbook/ken-chenault-american-express.html
