headline,date,snippet,url
Cost of Cool in India? An iPhone,2014-01-13T00:00,"To draw young buyers and increase its market share in India, Apple has offered promotions like monthly payments and trade-ins....",https://www.nytimes.com/2014/01/13/business/international/cost-of-cool-in-india-an-iphone.html
Former Foxconn Managers Detained in a Bribery Case,2014-01-23T00:00,"Authorities are investigating whether several former managers accepted millions of dollars in bribes from partners of the electronics maker, which is a main supplier to Apple....",https://www.nytimes.com/2014/01/23/business/foxconn-ex-managers-detained-in-bribery-inquiry.html
"In Motorola Purchase, Lenovo Gains Big Footprint in Smartphones",2014-01-31T00:00,"The Chinese PC giant’s purchase of Motorola Mobility from Google has vaulted it into the field’s top three, though it has a long way to go to catch Apple or Samsung....",https://www.nytimes.com/2014/01/31/business/international/lenovo-gains-a-big-footprint-in-the-market-for-smartphones.html
Apple Buys Back $14 Billion of Its Shares in Two Weeks,2014-02-08T00:00,"The company bought $12 billion of stock through an accelerated share repurchase program and $2 billion from the open market, a spokesman said....",https://www.nytimes.com/2014/02/08/business/apple-buys-back-14-billion-of-its-shares-in-two-weeks.html
Apple Says Its Chief of Finance Will Retire,2014-03-05T00:00,"The executive, Peter Oppenheimer, will be replaced by Luca Maestri, a vice president at the company....",https://www.nytimes.com/2014/03/05/business/apples-chief-financial-officer-to-retire.html
"Former Executive Sues for Stake in Beats Electronics, Object of Apple’s Desire",2014-05-17T00:00,The founder of a company bought by Beats says he was fired unfairly before his shares could vest....,https://www.nytimes.com/2014/05/17/business/media/former-executive-sues-for-stake-in-beats-electronics-object-of-apples-desire.html
The Harmony They Want to Hear,2014-05-18T00:00,An Apple-Beats Electronics combination could jump-start two important industries: music and wearable technology....,https://www.nytimes.com/2014/05/18/business/the-harmony-they-want-to-hear.html
"Spotify Hits 10 Million Subscribers, a Milestone",2014-05-22T00:00,"The company, which made the disclosure on Wednesday, faces potential competition from Apple as it also prepares for a likely initial public offering....",https://www.nytimes.com/2014/05/22/business/media/spotify-hits-milestone-with-10-million-paid-subscribers.html
"Jimmy Iovine, a Master of Beats, Lends Apple a Skilled Ear",2014-05-29T00:00,"Apple is betting that Mr. Iovine’s four decades in the recording industry, his knack for trend-spotting and his credibility with artists will help rejuvenate its music business....",https://www.nytimes.com/2014/05/29/business/media/jimmy-iovine-a-master-of-beats-lends-apple-a-skilled-ear.html
Tax Breaks for Apple and Starbucks Investigated by E.U.,2014-06-12T00:00,The European Union has begun an investigation into how low-tax nations like Ireland have helped large multinationals like Apple and Starbucks reduce their tax bills by billions of dollars....,https://www.nytimes.com/2014/06/12/business/international/eu-to-investigate-countries-business-tax-breaks.html
Q. and A. With Stuart Elliott,2014-06-16T00:00,"The song in a commercial for Apple brings back memories, but the company and its agency are not divulging the name of the singer....",https://www.nytimes.com/2014/06/16/business/media/q-and-a-with-stuart-elliott.html
Q. and A. With Stuart Elliott,2014-07-07T00:00,A guessing game is centered on the voice behind the “Chicken Fat” song remake in an Apple commercial....,https://www.nytimes.com/2014/07/07/business/media/q-and-a-with-stuart-elliott.html
Reno Rolls the Dice on High-Tech,2014-07-07T00:00,"The Nevada city is looking to shed its casino-town image and become a hub of e-commerce ventures, an Apple data center and a drone testing ground....",https://www.nytimes.com/2014/07/07/business/reno-nevada-recasts-itself-as-home-to-tech-start-ups.html
Merger Possibilities and Earnings Inspire the Market,2014-07-17T00:00,"News of a partnership between IBM and Apple, and an offer from 21st Century Fox to take over Time Warner, boosted markets to another high....",https://www.nytimes.com/2014/07/17/business/daily-stock-market-activity.html
Facebook and Apple Posting Quarterly Earnings This Week,2014-07-21T00:00,"When Apple announces its quarterly results on Tuesday, the power of the iPhone will be put to the test....",https://www.nytimes.com/2014/07/21/business/facebook-and-apple-posting-quarterly-earnings-this-week.html
Market Closes on Wall Street With Little Change,2014-07-24T00:00,Bullish earnings from companies like Apple and Microsoft were offset by apprehension over conflicts in Ukraine and the Gaza Strip....,https://www.nytimes.com/2014/07/24/business/daily-stock-market-activity.html
