headline,date,snippet,url
Vote on New Boeing Contract Highlights a Rift in the Machinists&#8217; Union,2014-01-02T00:00,International and local union leaders are sharply divided over a vote set for Friday on Boeing&#8217;s revised contract offer to machinists in Washington State....,https://www.nytimes.com/2014/01/02/business/vote-on-boeing-contract-highlights-rift-in-machinists-union.html
Boeing Workers Approve 8-Year Contract Extension ,2014-01-05T00:00,"The vote was an emotional, and very close 51 percent in favor of the contract extension to 2024, keeping aerospace jobs in Washington State....",https://www.nytimes.com/2014/01/05/business/boeing-workers-approve-contract-tied-to-777x.html
Airbus Led Rival Boeing in Jets Ordered Last Year,2014-01-14T00:00,The orders reflect Airbus’s dominant position in the market for the most expensive aircraft: large wide-bodies with more than 400 seats....,https://www.nytimes.com/2014/01/14/business/international/airbus-led-rival-boeing-in-jets-ordered-last-year.html
787’s Battery Emits Smoke a Year After Jets’ Grounding,2014-01-15T00:00,Boeing says the problem on a Dreamliner in Tokyo was contained by a new protective system designed to prevent smoke or fire from the volatile ion-lithium batteries from putting a plane at risk....,https://www.nytimes.com/2014/01/15/business/787s-battery-emits-smoke-a-year-after-jets-grounding.html
Boeing Shares Fall as It Cautions on Its Profits in 2014,2014-01-30T00:00,The plane maker&#8217;s stock dropped 5.3 percent on Wednesday following projections that its revenue would increase less than expected in 2014....,https://www.nytimes.com/2014/01/30/business/boeing-shares-fall-as-it-cautions-on-its-profits-in-2014.html
"After Boeing 787 Is Diverted, Air India Looks Into Software Problem",2014-02-07T00:00,"A glitch forced a Dreamliner that was bound for New Delhi to land in Malaysia, the latest in a series of technical issues for the aircraft....",https://www.nytimes.com/2014/02/07/business/after-boeing-787-is-diverted-air-india-looks-into-software-problem.html
Labor Battle at Kellogg Plant in Memphis Drags On,2014-02-11T00:00,"Kellogg is pressuring for what Caterpillar, Boeing and Detroit’s automakers have sought in recent years — to reduce blue-collar compensation packages....",https://www.nytimes.com/2014/02/11/business/kellogg-workers-in-4th-month-of-lockout-in-memphis.html
Bidding Farewell to the 747,2014-02-12T00:00,"All Nippon Airways is retiring its last passenger-carrying Boeing 747, ending an era in which the jumbo jet was a regular sight in Japanese skies....",https://www.nytimes.com/2014/02/12/business/international/bidding-farewell-to-the-747.html
Wing Cracks Delay Boeing 787 Assembly,2014-03-08T00:00,"The hairline cracks are tied to a change in the manufacturing process of the carbon composite wings by Mitsubishi Heavy Industries in Japan, and do not affect planes in use, Boeing says....",https://www.nytimes.com/2014/03/08/business/wing-cracks-delay-boeing-787-assembly.html
More Mechanical Problems for Boeing’s 787,2014-03-10T00:00,"A Japan Airlines-operated Boeing 787 Dreamliner made an emergency landing at Honolulu Airport after oil pressure in its right engine dropped, the Japanese carrier said....",https://www.nytimes.com/2014/03/10/business/more-mechanical-problems-for-boeings-787.html
Market Slips as China’s Exports Take a Spill,2014-03-11T00:00,China’s February drop in exports and a production setback for Boeing were offset by healthy jumps for Facebook and Alexion Pharmaceuticals....,https://www.nytimes.com/2014/03/11/business/daily-stock-market-activity.html
"Suppliers of Jet Parts Require Greater Oversight, Report Says",2014-03-20T00:00,"The study, prepared by experts from the Federal Aviation Administration and Boeing, also said that Boeing&#8217;s 787 Dreamliner jets were safe and well designed....",https://www.nytimes.com/2014/03/20/business/more-oversight-needed-for-jet-part-suppliers-report-says.html
All Nippon Airways Splits $16.6 Billion Aircraft Order ,2014-03-28T00:00,Boeing won about 80 percent of the order with All Nippon Airways of Japan and kept Airbus from encroaching further on its sales of large wide-body jets....,https://www.nytimes.com/2014/03/28/business/international/airbus-and-boeing-to-share-16-6-billion-order-from-ana.html
U.S. Permits Export to Iran of Plane Parts,2014-04-05T00:00,"Boeing and General Electric received limited licenses from the Treasury Department to service 18 commercial aircraft engines sold to Iranair in the late 1970s, the companies said....",https://www.nytimes.com/2014/04/05/business/international/us-permits-export-to-iran-of-plane-parts.html
Operating Earnings Rise 12% at Boeing,2014-04-24T00:00,"The company increased its profit outlook for the year as its first-quarter revenue rose. Net income, however, fell 13 percent after a shift in the company&#8217;s pension plan....",https://www.nytimes.com/2014/04/24/business/operating-earnings-rise-12-at-boeing.html
Safety Agency Says New Tests Are Needed on Boeing Battery,2014-05-23T00:00,"The National Transportation Safety Board faulted testing of the battery, whose failure in two cases led to the grounding of 787s last year....",https://www.nytimes.com/2014/05/23/business/safety-agency-says-new-tests-are-needed-on-boeing-787-battery.html
Those Who Can Afford It Have a Better Way to Fly,2014-07-01T00:00,"Travelers with means have alternatives to increasingly crowded commercial flights, from Gulfstreams to custom-outfitted Boeing and Airbus planes....",https://www.nytimes.com/2014/07/01/business/those-who-can-afford-it-have-a-better-way-to-fly.html
Chinese Businessman Is Charged in Plot to Steal U.S. Military Data,2014-07-12T00:00,"The owner of a Chinese aviation company spent years taking data from Boeing on military aircraft and weapons, the Justice Department said....",https://www.nytimes.com/2014/07/12/business/chinese-businessman-is-charged-in-plot-to-steal-us-military-data.html
Missing Malaysia Airlines Jet Shines Spotlight on Tracking Technology,2014-07-14T00:00,"Satellite data have provided most of the clues in the search for the Boeing 777 that went missing in March, but such data sets have limits....",https://www.nytimes.com/2014/07/14/business/international/missing-malaysia-airlines-jet-shines-spotlight-on-tracking-technology.html
Boeing Optimistic That Export-Import Bank Will Get Funding,2014-07-14T00:00,The head of its commercial aircraft division said that failure to keep the bank running would place Boeing at an unbeatable disadvantage to Airbus....,https://www.nytimes.com/2014/07/14/business/international/boeing-optimistic-that-export-import-bank-will-get-funding.html
Boeing Earnings Take Hit Over Problems in Air Force Tankers,2014-07-24T00:00,Boeing stock took a 2.3 percent dip after the company announced $425 million in charges over a problem with Air Force refueling tankers....,https://www.nytimes.com/2014/07/24/business/boeing-earnings-take-hit-over-problems-in-air-force-tankers.html
Southwest to Be Fined Over Repairs,2014-07-29T00:00,The airline has 30 days to respond to the agency’s allegations that Southwest failed to repair some of its Boeing 737 jets correctly....,https://www.nytimes.com/2014/07/29/business/faa-seeks-12-million-fine-for-southwest-repair-violations.html
Boeing to Build Biggest 787 in the South,2014-07-31T00:00,The company had initially planned to split the work between South Carolina and Washington State....,https://www.nytimes.com/2014/07/31/business/boeing-to-build-biggest-787-in-the-south.html
Boeing Delivers More Planes Than Rival Airbus ,2014-09-05T00:00,"Airbus sold 21 aircraft in August, a traditionally quiet month. In contrast, Boeing booked 107 orders....",https://www.nytimes.com/2014/09/05/business/boeing-delivers-more-planes-than-rival-airbus.html
Would Ryanair Deal Make Economy Class Even More Crowded?,2014-09-09T00:00,"Bolstering its all-Boeing fleet, Europe’s largest airline by number of passengers announced a firm order for 100 high-density planes with an option to buy 100 more....",https://www.nytimes.com/2014/09/09/business/international/ryanair-to-buy-up-to-22-billion-worth-of-boeing-jets.html
F.A.A. Tells Airlines to Replace Some Boeing Cockpit Displays,2014-10-01T00:00,The agency is requiring the replacement of cockpit displays on 737 and 777 jets within the next five years to avoid interference from Wi-Fi and cellular devices....,https://www.nytimes.com/2014/10/01/business/faa-tells-airlines-to-replace-some-boeing-cockpit-displays.html
"Boeing&#8217;s Earnings Jump, but Higher Costs for 787 Weigh on Its Shares",2014-10-23T00:00,"The company said that the deferred production cost for its Dreamliner jets rose, and could go higher....",https://www.nytimes.com/2014/10/23/business/boeings-shares-drop-despite-strong-quarterly-results.html
Airbus Wins Delta Order on Promise of Delivery,2014-11-21T00:00,"Boeing was the loser in the heated contest, in part because it couldn&#8217;t deliver planes quick enough for Delta....",https://www.nytimes.com/2014/11/21/business/airbus-wins-delta-order-on-promise-of-delivery.html
Report on Boeing 787 Dreamliner Battery Flaws Finds Lapses at Multiple Points,2014-12-02T00:00,"While stopping short of a firm conclusion, the regulators&#8217; report suggested that manufacturing flaws could have introduced defects that led a battery cell to fail....",https://www.nytimes.com/2014/12/02/business/report-on-boeing-787-dreamliner-batteries-assigns-some-blame-for-flaws.html
State Tax Deal for Boeing Draws an E.U. Challenge,2014-12-20T00:00,The European Union asserts that a package of tax breaks offered by Washington State to induce Boeing to build its planned forthcoming 777X jet there would violate W.T.O. rules....,https://www.nytimes.com/2014/12/20/business/international/european-union-boeing-subsidies-wto.html
"With 2014 Deliveries, Boeing Keeps Title as Top Plane Maker ",2015-01-07T00:00,"Boeing said it also set company records for orders in 2014, booking 1,550 gross orders....",https://www.nytimes.com/2015/01/07/business/with-2014-deliveries-boeing-keeps-title-as-top-plane-maker.html
"Falling Oil Prices, a Boon to Airlines, Pose a Challenge for Airbus and Boeing",2015-01-14T00:00,"The plane makers, which control the market for jets with more than 100 seats, have been riding a wave of demand for fuel-efficient models....",https://www.nytimes.com/2015/01/14/business/international/falling-oil-prices-a-boon-to-airlines-pose-a-challenge-for-airbus-and-boeing.html
Boeing Says Dreamliner to Yield More Cash in ’15,2015-01-29T00:00,The company&#8217;s stock rises in early trading after the company indicates it will soon generate more cash from the sales of its new jetliner....,https://www.nytimes.com/2015/01/29/business/boeing-4q-earnings-report.html
Airbus and Boeing Pressure Seats Maker Over Delays,2015-03-19T00:00,"Airbus and Boeing are pressuring a French supplier, Zodiac Aerospace, over persistent delays in the delivery of aircraft seats that are disrupting jetliner assembly....",https://www.nytimes.com/2015/03/19/business/airbus-and-boeing-pressure-seats-maker-over-delays.html
Boeing and Delta Spend Millions in Fight Over Export-Import Bank’s Existence,2015-04-07T00:00,A battle between two aviation heavyweights over an obscure bank masks a political war between opponents of &#8220;corporate welfare&#8221; and major business groups....,https://www.nytimes.com/2015/04/07/business/boeing-delta-air-lines-export-import-bank.html
Boeing Droops as Dreamliner Jet Fails to Deliver,2015-04-23T00:00,"The aircraft maker reported a 92 percent drop in cash flow for the first quarter, a problem that analysts blamed on lackluster revenue from the fuel-saving 787....",https://www.nytimes.com/2015/04/23/business/boeing-droops-as-dreamliner-jet-fails-to-deliver.html
F.A.A. Orders Fix for Possible Power Loss in Boeing 787,2015-05-01T00:00,The Federal Aviation Administration said operators of the Dreamliner jet were to shut down power periodically after a software problem was found....,https://www.nytimes.com/2015/05/01/business/faa-orders-fix-for-possible-power-loss-in-boeing-787.html
"Boeing Names Next C.E.O., Affirming Its Heir Apparent",2015-06-24T00:00,Analysts said the transition was expected and came as the company is riding a wave of orders for more fuel-efficient planes to new highs in profit....,https://www.nytimes.com/2015/06/24/business/the-heir-apparent-is-affirmed-as-boeing-names-its-next-chief.html
Airbus Beat Boeing on Orders but Fell Behind on Deliveries,2015-07-07T00:00,"Airbus won orders for 382 aircraft in the first half, compared to 325 for Boeing. But Airbus delivered 304 planes to Boeing’s 381....",https://www.nytimes.com/2015/07/07/business/international/airbus-beat-boeing-on-orders-but-fell-behind-on-deliveries.html
Boeing Takes $536 Million Charge for Tanker Problem,2015-07-18T00:00,"The company said the charge, which amounts to 77 cents a share, would result in lower earnings for the full year....",https://www.nytimes.com/2015/07/18/business/boeing-takes-536-million-charge-for-tanker-problem.html
Boeing Lowers Profit Outlook on Tanker Charge in 2nd Quarter,2015-07-23T00:00,"The aircraft maker still beat analysts’ expectations by posting an 11 percent rise in revenue, to $24.5 billion....",https://www.nytimes.com/2015/07/23/business/boeing-q2-earnings.html
"G.O.P. Discord Over Ex-Im Bank Intensifies, as G.E. Shifts Jobs Abroad",2015-09-16T00:00,"General Electric and Boeing blamed a halt in export credit for job transfers and a loss of contracts, reigniting Republican infighting over the fate of the Ex-Im Bank....",https://www.nytimes.com/2015/09/16/business/economy/export-import-bank-general-electric-boeing.html
Boeing to Pay $57 Million to Settle Suit Over Retirement Plan,2015-11-06T00:00,Boeing was accused of charging excessive fees and choosing higher-cost investment offerings in its 401(k) plan....,https://www.nytimes.com/2015/11/06/business/dealbook/boeing-to-pay-57-million-to-settle-suit-over-retirement-plan.html
Stock Market Begins the Month With Solid Gains,2015-12-02T00:00,"As investors looked ahead to a busy week of economic reports and central bank meetings, Boeing and JPMorgan Chase had some of the biggest gains....",https://www.nytimes.com/2015/12/02/business/daily-stock-market-activity.html
Airbus Tops Boeing on Orders Since January,2015-12-08T00:00,"Airbus orders topped 1,000 aircraft from January to November, sending its shares higher as it looked all but certain to win its annual race against Boeing....",https://www.nytimes.com/2015/12/08/business/airbus-tops-boeing-on-orders-since-january.html
Boeing to Pay $12 Million for Missing Safety Deadline,2015-12-23T00:00,"Boeing agreed to the settle for failing to meet a deadline to submit service instructions that would enable airlines cut the risk of fuel tank explosions, the F.A.A. said....",https://www.nytimes.com/2015/12/23/business/boeing-to-pay-12-million-for-missing-safety-deadline.html
"Boeing Exceeds 2015 Forecasts, Most Likely Topping Airbus ",2016-01-08T00:00,"Boeing said on Thursday that it delivered 762 jetliners in 2015, exceeding its target of 755 to 760 planes....",https://www.nytimes.com/2016/01/08/business/boeing-exceeds-2015-forecasts-most-likely-topping-airbus.html
Market Slides Back After Fed Announcement,2016-01-28T00:00,Shares of Apple and Boeing were lower after their earnings reports disappointed investors....,https://www.nytimes.com/2016/01/28/business/daily-stock-market-activity.html
Boeing Is Working on a Bathroom That Cleans Itself,2016-03-05T00:00,Boeing engineers have filed a patent for a self-cleaning bathroom that disinfects all surfaces in just three seconds....,https://www.nytimes.com/2016/03/05/business/boeing-is-working-on-a-bathroom-that-cleans-itself.html
Bombardier’s New Plane Gets a Lift From Delta Order,2016-04-29T00:00,"The Canadian jet maker has dug itself into a financial hole with development of the CS100, an airliner meant to compete with planes from Boeing and Airbus....",https://www.nytimes.com/2016/04/29/business/deal-with-delta-gives-a-lift-to-bombardiers-new-plane.html
"Joe Sutter, Who Led an Army in Building Boeing’s Jumbo 747, Dies at 95",2016-09-02T04:00,"Mr. Sutter headed a team of 4,500 engineers that in only 29 months designed and built the 747, a 20th-century answer to the luxury ocean liner....",https://www.nytimes.com/2016/09/02/business/joe-sutter-dead.html
Aircraft Supplier Rockwell Collins to Buy B/E Aerospace for $6.4 Billion,2016-10-23T20:43,"The merger, driven in part by pricing pressures from Boeing and Airbus, expands the range of products that Rockwell supplies and broadens its customer base internationally....",https://www.nytimes.com/2016/10/24/business/rockwell-collins-to-buy-b-e-aerospace-for-64-billion.html
Canada to Buy F-18s From Boeing to Shore Up Its Fighter Fleet,2016-11-23T12:14,"The country’s previous administration had planned to buy 65 F-35s from Lockheed Martin, but then wavered over the price, estimated at $45.8 billion....",https://www.nytimes.com/2016/11/23/business/international/canada-to-buy-f-18s-from-boeing-to-shore-up-its-fighter-fleet.html
World Trade Organization Rules Against Boeing Tax Break for New Jet,2016-11-28T23:37,The W.T.O. ruling that a Washington State break for development of the 777X is a prohibited subsidy extends a trans-Atlantic spat involving Boeing and Airbus....,https://www.nytimes.com/2016/11/28/business/international/world-trade-organization-rules-against-boeing-tax-break-for-new-jet.html
Boeing Speaks in Trump Terms on Iran Deal: It’s About Jobs,2016-12-12T02:08,"With a $16.6 billion sale of planes to Iran, Boeing said the agreement would “support tens of thousands of U.S. jobs,” perhaps speaking toward President-elect Donald J. Trump....",https://www.nytimes.com/2016/12/11/business/iran-boeing-airplane-billion-dollar-agreement.html
Trump Meets Boeing and Lockheed Executives After Assailing Them on Jet Costs,2016-12-22T00:49,The president-elect said he was looking to “bring costs down” on the F-35 fighter jet program and Boeing’s plans to build new Air Force One planes....,https://www.nytimes.com/2016/12/21/business/donald-trump-boeing-lockheed.html
Trump Pits Boeing Against Lockheed to Cut Costs of New Fighter Jets,2016-12-23T02:00,Donald J. Trump’s post on Twitter suggested that Boeing’s pitch may have swayed him to buy more of its F-18s over Lockheed Martin’s F-35s....,https://www.nytimes.com/2016/12/22/business/trump-boeing-lockheed-cut-costs-fighter-jets.html
Union Vote at Boeing Plant Tests Labor’s Sway Under Trump,2017-02-14T01:50,A bid to organize workers in South Carolina challenges the company’s leverage over the union at its facilities near Seattle....,https://www.nytimes.com/2017/02/13/business/boeing-union-south-carolina.html
Boeing Workers Reject a Union in South Carolina,2017-02-16T01:34,"Employees faced enormous pressure from management ahead of the vote, which was widely viewed as an early test of labor’s strength in the Trump era....",https://www.nytimes.com/2017/02/15/business/boeing-union-south-carolina.html
A Pentagon Test for Boeing’s Mr. Fix-It,2017-04-01T13:44,"Patrick M. Shanahan brings a reputation as an aerospace troubleshooter to his expected nomination for the No. 2 defense job, which others found too big to handle....",https://www.nytimes.com/2017/04/01/business/patrick-shanahan-pentagon-nominee.html
"China’s New Jetliner, the Comac C919, Takes Flight for First Time",2017-05-05T06:03,The first Chinese-built passenger jetliner symbolizes the industrial might of an emerging superpower — and its ambition to take on Boeing and Airbus....,https://www.nytimes.com/2017/05/05/business/china-airplane-boeing-airbus.html
"Movers: Boeing, Volkswagen and Toyota",2017-05-10T12:30,We’re following major developments in the markets throughout the day. Check here for the latest updates....,https://www.nytimes.com/2017/05/10/business/dealbook/movers-annual-meetings-an-ipo-and-tough-times-for-toyota.html
"After Surge in Orders, Airlines Now Balk at Wide-Bodies",2017-06-18T16:06,Airbus has pulled ahead of Boeing in orders for smaller planes by installing new engines and other improvements on its A320 and A321 jets....,https://www.nytimes.com/2017/06/18/business/after-surge-in-orders-airlines-now-balk-at-wide-bodies.html
United Technologies’ Deal for Rockwell Collins Faces Skepticism,2017-09-05T22:27,Investors and customers like Boeing and Airbus questioned the benefits of uniting the two big airplane parts makers.,https://www.nytimes.com/2017/09/05/business/dealbook/united-technologies-rockwell-deal.html
"In Trump Era, Boeing Trade Case Boils Over Into ‘Multicountry Feud’",2017-09-25T20:17,World leaders have urged President Trump to intervene in a trade case that could reshape the aerospace industry.,https://www.nytimes.com/2017/09/25/business/boeing-commerce-department-bombardier-trump.html
Kobe Steel Scandal Is Now Subject of Justice Department Inquiry,2017-10-17T21:45,"The company’s American unit was asked to turn over documents relating to the sale of substandard metals. Boeing, Ford and General Motors are among its customers.",https://www.nytimes.com/2017/10/17/business/kobe-steel-justice-department.html
