headline,date,snippet,url
Caterpillar Earnings Reflect Economic Uptick,2014-01-28T00:00,Caterpillar posted a stronger-than-expected quarterly profit on Monday as cost cuts and an uptick in demand for its building equipment offset continued weak sales to the mining industry....,https://www.nytimes.com/2014/01/28/business/caterpillar-earnings-reflect-economic-uptick.html
Labor Battle at Kellogg Plant in Memphis Drags On,2014-02-11T00:00,"Kellogg is pressuring for what Caterpillar, Boeing and Detroit’s automakers have sought in recent years — to reduce blue-collar compensation packages....",https://www.nytimes.com/2014/02/11/business/kellogg-workers-in-4th-month-of-lockout-in-memphis.html
Senate Report Says Caterpillar Used Swiss Subsidiary to Reduce Taxes,2014-04-01T00:00,"A Senate investigation, ahead of a Tuesday hearing, says the company avoided $2.4 billion in United States taxes over 13 years....",https://www.nytimes.com/2014/04/01/business/report-says-caterpillar-used-swiss-unit-to-pare-taxes.html
"At Hearing, Caterpillar Defends Tax Practices",2014-04-02T00:00,Members of a Senate panel accused Caterpillar of channeling its most profitable operations through a subsidiary in Switzerland....,https://www.nytimes.com/2014/04/02/business/at-hearing-caterpillar-defends-tax-practices.html
Switching Names to Save on Taxes,2014-04-04T00:00,Caterpillar ducked billions of dollars in United States income taxes with a simple strategy. Whether it was legal is open to debate....,https://www.nytimes.com/2014/04/04/business/switching-names-to-save-on-taxes.html
Market Extends a Losing Streak as Earnings Roll In,2015-07-24T00:00,"Stocks moved lower in afternoon trading after disappointing earnings from several big companies, including American Express, Caterpillar and 3M....",https://www.nytimes.com/2015/07/24/business/daily-stock-market-activity.html
"Caterpillar to Cut Up to 10,000 Jobs, Citing Falling Demand",2015-09-25T00:00,"The announcement from Caterpillar, which has been a symbol of American exporting might, helped drive down major stock indexes....",https://www.nytimes.com/2015/09/25/business/economy/caterpillar-feeling-global-slump-to-cut-up-to-10000-jobs.html
"Morning Agenda: Snap, Caterpillar’s Tax, Masayoshi Son, Harvard Donor",2017-03-03T11:10,"Snap’s spectacular debut has left some investors wondering how the company can be worth so much, while others just seem eager to jump aboard the marquee offering....",https://www.nytimes.com/2017/03/03/business/dealbook/snap-caterpillar-tax-harvard-donations.html
U.S. Agents Raid Caterpillar Over Offshore Tax Practices,2017-03-03T01:10,Caterpillar has been dogged by accusations that it reduced its domestic tax bill by shifting profits from the United States to a subsidiary in Switzerland....,https://www.nytimes.com/2017/03/02/business/caterpillar-raid-tax-practices.html
Caterpillar Is Accused in Report to Federal Investigators of Tax Fraud,2017-03-08T02:00,The report outlines a strategy for bringing home billions of dollars from offshore affiliates while avoiding federal income taxes on the earnings....,https://www.nytimes.com/2017/03/07/business/caterpillar-tax-fraud.html
