headline,date,snippet,url
Big Victory for Chevron Over Claims in Ecuador,2014-03-05T00:00,The oil company had sued a Manhattan lawyer leading the pollution case and his associates on fraud and conspiracy allegations....,https://www.nytimes.com/2014/03/05/business/federal-judge-rules-for-chevron-in-ecuadorean-pollution-case.html
Patton Boggs Settles Dispute With Chevron Over Pollution Case,2014-05-08T00:00,The powerful Washington law firm had been a leader in an effort to force the oil company to pay a $9.5 billion judgment by a court in Ecuador....,https://www.nytimes.com/2014/05/08/business/energy-environment/patton-boggs-settles-dispute-with-chevron-over-pollution-case.html
Chevron Criticizes Ruling by Indonesia’s Supreme Court on Corruption,2014-10-25T00:00,The company’s legal team has accused the Indonesian attorney general’s office of malicious prosecution....,https://www.nytimes.com/2014/10/25/business/chevron-criticizes-ruling-by-indonesias-supreme-court-on-corruption.html
"At Exxon Mobil and Chevron, Refining Businesses Support Earnings",2014-11-01T00:00,The two largest American oil companies said their refining businesses more than made up for the recent drop in the price of crude oil....,https://www.nytimes.com/2014/11/01/business/energy-environment/exxon-mobil-and-chevron-report-3Q-earnings.html
Chevron and BP in Deal to Search for Oil Deep Beneath the Gulf of Mexico,2015-01-29T20:40,The joint effort is a reflection of the pressure on oil companies to hold down spending and share risk as oil prices continue to drop....,https://www.nytimes.com/2015/01/29/business/energy-environment/chevron-and-bp-in-deal-to-search-for-oil-deep-beneath-the-gulf-of-mexico.html
Chevron to Abandon Shale Natural Gas Venture in Poland ,2015-01-31T00:00,The decision was perhaps the biggest setback yet to fledgling efforts to start a European shale oil and gas industry....,https://www.nytimes.com/2015/01/31/business/international/chevron-to-abandon-shale-venture-in-poland-a-setback-to-fracking-europe.html
Dow and S.&amp;.P. Close Slightly Lower on Falling Energy Stocks ,2015-02-27T00:00,Chevron and Exxon Mobil were among the biggest decliners in the Dow Jones industrial average....,https://www.nytimes.com/2015/02/27/business/daily-stock-market-activity.html
Market Gives Ground as Oil Resumes Its Slide,2015-03-20T00:00,"The stock market drifted lower as another plunge in oil prices yanked Chevron, Exxon Mobil and other energy companies down....",https://www.nytimes.com/2015/03/20/business/daily-stock-market-activity.html
Chevron Seeks to Sell Caltex Australia Stake for $3.6 Billion,2015-03-28T00:00,The proposed sale of the 50 percent stake comes amid falling oil prices and after other global oil companies left Australia’s refining industry....,https://www.nytimes.com/2015/03/28/business/international/chevron-caltex-australia-stake.html
Chevron and North Sea Rivals Race to Keep an Oil Region Relevant,2015-06-03T00:00,Oil producers in Britain are contending with plummeting prices as they seek new ways to bolster the aging infrastructure of the North Sea industry....,https://www.nytimes.com/2015/06/03/business/international/chevron-and-north-sea-rivals-race-to-keep-an-oil-region-relevant.html
Logistics and Lizards Disrupt Chevron’s Project Off Australia,2015-07-04T00:00,"Remoteness and environmental concerns piled costs on the Gorgon liquefied natural gas project, just as energy prices slumped....",https://www.nytimes.com/2015/07/04/business/international/logistics-and-lizards-disrupt-chevrons-project-off-australia.html
Google Shares Soar on Otherwise Quiet End to Active Week,2015-07-18T00:00,"U.S. stock indexes were mixed. Google surged after reporting strong results, while Chevron and other energy companies followed the price of oil lower....",https://www.nytimes.com/2015/07/18/business/daily-stock-market-activity.html
Exxon and Chevron Report Worst Quarterly Results of Current Decade,2015-08-01T00:00,Declining oil and natural gas prices contributed to the companies’ disappointing second-quarter results....,https://www.nytimes.com/2015/08/01/business/energy-environment/exxon-mobil-chevron-q2-earnings-oil-prices.html
Market Wavers After Weak Earnings From Exxon and Chevron,2015-08-01T00:00,"Shares of companies in the energy industry declined, but the market was still on track for a small weekly gain....",https://www.nytimes.com/2015/08/01/business/daily-stock-market-activity.html
Wall St. Climbs as the Price of Oil Rebounds,2015-08-11T00:00,"Chevron and Exxon Mobil had some of the biggest gains in the Dow Jones industrial average, which ended a seven-session losing streak....",https://www.nytimes.com/2015/08/11/business/daily-stock-market-activity.html
Court Says Chevron Can Be Pursued in Canada Over Ecuadorean Damage,2015-09-05T00:00,The ruling is the latest step in a 13-year legal battle over the contamination of a rain forest in Ecuador....,https://www.nytimes.com/2015/09/05/business/international/court-says-chevron-can-be-pursued-in-canada-over-ecuadorean-damage.html
Chevron and Exxon Post Declining 3rd-Quarter Results,2015-10-31T00:00,Exxon Mobil reports a 37 percent drop in revenue and Chevron says it plans to cut up to 10 percent of its workforce....,https://www.nytimes.com/2015/10/31/business/energy-environment/exxon-chevron-q3-earnings-oil-prices.html
Low Oil Prices Pinch Exxon and Chevron Earnings,2016-04-30T04:00,"Exxon Mobil on Friday posted its smallest profit for any quarter since 1999, while Chevron reported a large first-quarter loss of $725 million....",https://www.nytimes.com/2016/04/30/business/energy-environment/exxon-and-chevron-earnings-hurt-by-low-oil-prices.html
"Russia Seeks Changes for Growth, and Greek Debt Talks Linger",2016-05-23T00:00,"Also, activist shareholders at Exxon Mobil and Chevron are expected to make climate change an issue at annual meetings, while workers plan to protest at the McDonald’s shareholder meeting....",https://www.nytimes.com/2016/05/23/business/russia-seeks-changes-for-growth-and-greek-debt-talks-linger.html
Chevron Approves $37 Billion Expansion of Kazakh Oil Field,2016-07-05T17:38,"Though the move looks to be unusual at a time of low oil prices, analysts say the field has been lucrative and important for Chevron and its partners....",https://www.nytimes.com/2016/07/06/business/energy-environment/chevron-kazakhstan-tengiz.html
Should Agencies Decide Law? Doctrine May Be Tested at Gorsuch Hearing,2017-03-14T22:05,"The Supreme Court nominee, Neil M. Gorsuch, is a critic of Chevron deference, a doctrine that says courts should defer to a federal agency’s interpretation of the law....",https://www.nytimes.com/2017/03/14/business/dealbook/neil-gorsuch-chevron-deference.html
