headline,date,snippet,url
"Facing Questions on Future, Cisco Posts a Revenue Drop",2014-02-13T00:00,The company is struggling with sluggish emerging markets like China....,https://www.nytimes.com/2014/02/13/business/cisco-warns-of-revenue-slide.html
China Pulls Cisco Into Dispute on Cyberspying,2014-05-28T00:00,"A state-run newspaper says the network equipment maker has close ties with the U.S. government and military, which the company denies....",https://www.nytimes.com/2014/05/28/business/international/china-pulls-cisco-into-dispute-on-cyberspying.html
Energy and Tech Stocks Push the Market Higher,2015-02-13T00:00,"The market was led by big technology companies like Cisco Systems, which was the biggest gainer in the sector, and energy stocks as oil rebounded....",https://www.nytimes.com/2015/02/13/business/daily-stock-market-activity.html
2 Cisco Presidents Will Leave in a Restructuring,2015-06-02T00:00,Two Cisco Systems presidents are leaving the company as Chuck Robbins takes over as chief executive and moves to a “flatter” leadership team....,https://www.nytimes.com/2015/06/02/business/2-cisco-presidents-will-leave-in-a-restructuring.html
Strong Equipment Demand Lifts Sales and Profit for Cisco,2015-08-13T00:00,"Cisco Systems reported higher-than-expected quarterly revenue and profit, highlighting a strong recovery in demand for its switching equipment and routers....",https://www.nytimes.com/2015/08/13/business/strong-equipment-demand-lifts-sales-and-profit-for-cisco.html
Valuation Quirks Help End Proposed Polycom-Mitel Merger,2016-07-12T00:00,Investors were unimpressed after both companies lost money while under threat from larger rivals like Cisco....,https://www.nytimes.com/2016/07/12/business/dealbook/valuation-quirks-help-end-proposed-ploycom-mitel-merger.html
"Cisco to Cut 5,500 Jobs in Shift Toward Software",2016-08-18T04:00,The maker of networking gear said it would shift focus away from hardware and gradually move to higher-margin software....,https://www.nytimes.com/2016/08/18/business/cisco-to-cut-5500-jobs-as-it-shifts-toward-software.html
Intel Seems to Have a Stronger Hand Than Cisco Systems,2016-08-18T04:00,"The outlook for last-generation tech companies is often grim as their products become commonplace, rivals find alternatives and margins shrink....",https://www.nytimes.com/2016/08/18/business/dealbook/intel-seems-to-have-a-stronger-hand-than-cisco-systems.html
Cisco Pays Fantastical Price for Software Firm,2017-01-25T19:46,A $3.7 billion deal for AppDynamics offers some respite from hardware woes. But Cisco is paying a price on which it will take years to earn a decent return....,https://www.nytimes.com/2017/01/25/business/dealbook/cisco-appdynamics.html
Shares Tumble on Shaky Earnings From Tech and Retail Companies,2017-08-17T21:04,"Wall Street took broad losses, led by weak quarterly reports from Cisco Systems and Walmart Stores.",https://www.nytimes.com/2017/08/17/business/stocks-tumble-as-tech-shares-slip-and-concerns-grow-over-trump-agenda.html
