headline,date,snippet,url
‘Puppy Love’ Warms Hearts; Diversity Draws Mixed Response,2014-02-04T00:00,"A golden lab puppy who refuses to leave his Clydesdale “bud” won plaudits; a Coca-Cola spot evoking the nation’s multicultural populace drew mostly positive reactions, but some raw comments as well....",https://www.nytimes.com/2014/02/04/business/media/puppy-love-warms-hearts-diversity-draws-mixed-response.html
News From the Advertising Industry,2014-02-10T00:00,"Coca-Cola North America brought out a new campaign for Diet Coke over the weekend during the NBC coverage of the Winter Olympics, and more....",https://www.nytimes.com/2014/02/10/business/media/news-from-the-advertising-industry.html
"Dow Stumbles, but the S.&amp;P. 500 and Nasdaq Continue Their Climb ",2014-02-19T00:00,"The Standard & Poor&#8217;s 500-stock index and the Nasdaq both rose solidly, but the Dow Jones industrial average dropped after Coca-Cola&#8217;s reported income and sales fell in the fourth quarter....",https://www.nytimes.com/2014/02/19/business/daily-stock-market-activity.html
"For Coke, Challenge Is Staying Relevant",2014-03-01T00:00,"The very idea that the Coke brand may be in trouble is startling, given that Coca-Cola has thrived for 127 years, surviving countless passing health fads....",https://www.nytimes.com/2014/03/01/business/challenges-for-coke-to-stay-on-top.html
"Selfies, Pizza and Promoting Brands at the Oscars",2014-03-04T00:00,"Ellen DeGeneres used a Samsung phone, an Oscar sponsor, for a star-studded selfie, but an iPhone to post from backstage. And that Coca-Cola emblazoned pizza delivery box rankled PepsiCo....",https://www.nytimes.com/2014/03/04/business/media/selfies-pizza-and-promoting-brands-at-the-oscars.html
Skeptical Justice Scolds Coca-Cola on Juice Label,2014-04-22T00:00,"A lawyer for Coca-Cola remained poised under sometimes harsh questioning on its Pomegranate Blueberry juice blend, which contains only notes of either fruit....",https://www.nytimes.com/2014/04/22/business/skeptical-justice-scolds-coca-cola-on-juice-label.html
Coca-Cola to Remove an Ingredient Questioned by Consumers,2014-05-06T00:00,"The company said that would stop using brominated vegetable oil, which contains bromine, an element found in flame retardants, in Fresca and some varieties of Fanta and fountain drinks....",https://www.nytimes.com/2014/05/06/business/coca-cola-to-remove-an-ingredient-questioned-by-consumers.html
"Coke and McDonald&#8217;s, Growing Together Since 1955 ",2014-05-16T00:00,"The beverage maker and the fast-food chain have had close ties since 1955, to the point where Coca-Cola even has a McDonald&#8217;s division....",https://www.nytimes.com/2014/05/16/business/coke-and-mcdonalds-working-hand-in-hand-since-1955.html
"Soda Makers Coca-Cola, PepsiCo and Dr Pepper Join in Effort to Cut Americans’ Drink Calories",2014-09-24T00:00,The three companies said they would change practices like marketing to encourage less consumption of calorie-heavy drinks....,https://www.nytimes.com/2014/09/24/business/big-soda-companies-agree-on-effort-to-cut-americans-drink-calories.html
"Coca-Cola, Yielding to Criticism, Revises Its Proposal for Executive Pay",2014-10-02T00:00,The big question that now hangs over the company is whether the adjustments will satisfy the shareholders who had voiced their concerns over the plan....,https://www.nytimes.com/2014/10/02/business/coca-cola-yielding-to-criticism-revises-its-plan-for-executive-pay.html
Coca-Cola Lowers Forecast and Plans Cost-Cutting ,2014-10-22T00:00,"The company said it would reach its cost-cutting goal by 2019 through a variety of measures, like revamping its global supply chain....",https://www.nytimes.com/2014/10/22/business/coca-cola-lowers-forecast-and-plans-cost-cutting.html
"Coca-Cola to Cut Up to 1,800 Jobs",2015-01-09T00:00,The company said in the fall that it would eliminate jobs to reduce costs but did not say how many until Thursday....,https://www.nytimes.com/2015/01/09/business/coca-cola-announces-plan-to-cut-1600-to-1800-jobs.html
High-Protein Milk From Coca-Cola ,2015-02-04T00:00,The introduction of Fairlife is one way Coca-Cola is diversifying its offerings as Americans turn away from soft drinks....,https://www.nytimes.com/2015/02/04/business/high-protein-milk-from-coca-cola.html
Coca-Cola Earnings Plunge 55%,2015-02-11T00:00,"The beverage giant cited currency fluctuations and charges tied to Venezuela, but it is grappling with the larger problem of changing consumer tastes....",https://www.nytimes.com/2015/02/11/business/coca-cola-q4-earnings.html
"Donald R. Keough, Who Led Coca-Cola Through New Coke Debacle, Dies at 88",2015-02-25T00:00,"When the company introduced the sweeter New Coke, it did not anticipate the “depth of feeling” for the original taste, Mr. Keough said in announcing a return to the regular formula....",https://www.nytimes.com/2015/02/25/business/donald-r-keough-who-led-coca-cola-through-new-coke-debacle-dies-at-88.html
"Coca-Cola Profit Up 19%, Despite Lower Sales",2015-07-23T00:00,The company attributed its higher earnings in part to strong growth in sales of small and “specialty” packages like eight-ounce cans....,https://www.nytimes.com/2015/07/23/business/coca-cola-profit-up-19-despite-lower-sales.html
Three Coca-Cola Bottlers in Europe Agree to Merger,2015-08-07T00:00,The deal will combine Coca-Cola Enterprises and Coca-Cola Iberian Partners and Coca-Cola Erfrischungsgetränke to form the world’s largest independent bottler of Coca-Cola products....,https://www.nytimes.com/2015/08/07/business/dealbook/three-coca-cola-bottlers-in-europe-agree-to-merger.html
Coca-Cola to Disclose Its Spending on Research Into Soft Drinks and Health,2015-08-21T00:00,The company was criticized after disclosure that it had financial ties to a group that argues for less concern about eating habits and more emphasis on exercise....,https://www.nytimes.com/2015/08/21/business/coca-cola-to-disclose-its-spending-on-research-into-soft-drinks-and-health.html
Coca-Cola Says It’s Close to Water Replenishment Goal,2015-08-26T00:00,The beverage company announced a plan in 2007 to replenish the amount of water equivalent to its sales volume — about 160 billion liters — by 2020. It could get to that point this year....,https://www.nytimes.com/2015/08/26/business/coca-cola-expects-to-reach-its-water-replenishment-goal-5-years-early.html
"Sara Little, Peripatetic Product Designer, Dies at 97",2015-09-10T00:00,"Ms. Little, who consulted for three decades for companies like 3M, General Mills and Coca-Cola, took inspiration from sources as varied as geishas, burglars and cheetahs....",https://www.nytimes.com/2015/09/08/business/sara-little-turnbull-product-designer-inspired-by-anthropology-and-nature-dies-at-97.html
I.R.S. Says Coca-Cola Owes $3.3. Billion in Taxes,2015-09-19T00:00,"Coca-Cola was notified by the Internal Revenue Service that it owes $3.3 billion more in federal taxes, and interest, for 2007 to 2009....",https://www.nytimes.com/2015/09/19/business/irs-says-coca-cola-owes-3-3-billion-in-taxes.html
Coca-Cola Bottler Wins Labor Suit in Spain ,2015-10-10T00:00,"One of the main European bottlers of the soda can proceed with a plan to downsize, ending a tense legal dispute over a shuttered bottling plant....",https://www.nytimes.com/2015/10/10/business/international/coca-cola-bottler-wins-labor-suit-in-spain.html
Coca-Cola Reports 4.6% Drop in Revenue,2015-10-22T00:00,"Despite higher volume sales,the company reported that revenue fell to $11.4 billion. Analysts had expected $11.58 billion....",https://www.nytimes.com/2015/10/22/business/coca-cola-reports-4-6-drop-in-revenue.html
"Coca-Cola Reports Solid Profit, Topping Wall St. Forecasts",2016-02-10T00:00,"Sales were down 8 percent, but higher prices compensated for the drop, the company said on Tuesday....",https://www.nytimes.com/2016/02/10/business/coca-cola-q4-earnings.html
"Market Inches Up, Following Oil Prices Higher",2016-04-21T00:00,"Coca-Cola shares fell 4.8 percent after the company reported another decline in revenue, while Discover Financial Services rose 8.2 percent....",https://www.nytimes.com/2016/04/21/business/daily-stock-market-activity.html
"Bill Backer, Who Taught the World (and Don Draper) to Sing, Dies at 89",2016-05-17T00:00,Mr. Backer created the classic 1971 commercial for Coca-Cola with singers on an Italian hilltop proclaiming Coke as “the real thing.”...,https://www.nytimes.com/2016/05/17/business/bill-backer-who-taught-the-world-and-don-draper-to-sing-dies-at-89.html
"Roger Enrico, PepsiCo Chief During 1980s ‘Cola Wars,’ Dies at 71",2016-06-02T20:31,"He made marketing deals with celebrities like Michael Jackson, Madonna, Cindy Crawford and Michael J. Fox to try to gain market share from Coca-Cola....",https://www.nytimes.com/2016/06/03/business/roger-enrico-pepsico-obituary.html
Coca-Cola Chief to Step Down in 2017,2016-12-09T21:53,"Coca-Cola’s chief executive, Muhtar Kent, will leave that role next year and be succeeded by James Quincey, the chief operating officer....",https://www.nytimes.com/2016/12/09/business/coca-cola-chief-to-step-down-in-2017.html
Super Bowl Commercials Feature Political Undertones and Celebrity Cameos,2017-02-05T22:26,"While most advertisers stuck with silly and sentimental themes, companies including Coca-Cola and Airbnb explored immigration and diversity....",https://www.nytimes.com/2017/02/05/business/media/commercials-super-bowl-51.html
