headline,date,snippet,url
Disney’s Troubled Gaming Unit Finds Success With Infinity,2014-01-18T00:00,"The console game that lets players mix and match Disney characters has sold 3 million starter packs worldwide, the company said....",https://www.nytimes.com/2014/01/18/business/media/disneys-troubled-gaming-unit-finds-success-with-infinity.html
"Disney Reports Strong First-Quarter Earnings, Helped by Animated Film &#8216;Frozen&#8217; ",2014-02-06T00:00,"The animated musical, expected to generate nearly $1 billion in ticket sales, increased quarterly earnings to $1.84 billion, up from $1.38 billion a year ago....",https://www.nytimes.com/2014/02/06/business/media/disney-reports-strong-earnings-with-help-from-frozen.html
Disney Plans to Encourage Digital Start-Ups,2014-02-13T00:00,"As part of its search for new digital growth, the company is partnering with TechStars and will pair its executives with entrepreneurs for three months....",https://www.nytimes.com/2014/02/13/business/media/disney-plans-to-encourage-digital-start-ups.html
"Attendance Up, Disney to Add Hotel Rooms at Hong Kong Park",2014-02-18T00:00,"A 750-room hotel featuring the theme of exotic locations will open by early 2017 and cost about $550 million, the company said....",https://www.nytimes.com/2014/02/18/business/media/attendance-up-disney-to-add-hotel-rooms-at-hong-kong-park.html
Disney Throws Open the Gates to Its Own Digital Movie Service,2014-02-26T00:00,"The Disney Movies Anywhere online service will link to consumers&#8217; iTunes accounts and is intended to encourage digital movie sales, rather than rentals....",https://www.nytimes.com/2014/02/26/business/media/disney-to-introduce-itunes-tie-in-for-digital-movie-sales.html
"Fictional Disaster, Made to Sound Real, Draws F.C.C. Fine",2014-03-04T00:00,"An effort to grab viewers’ attention and send them to the movie theater may have worked a little too well for Comcast, Viacom and Disney....",https://www.nytimes.com/2014/03/04/business/media/fictional-disaster-made-to-sound-real-draws-fcc-fine.html
"At Disney, a Celebration That Was a Long Time Coming",2014-03-05T00:00,"Walt Disney Animation won its first animated-feature Oscar on Sunday for “Frozen,” and with it a new lease on life after a difficult transition to computer-aided filmmaking....",https://www.nytimes.com/2014/03/05/business/media/at-disney-a-celebration-that-was-a-long-time-coming.html
Deal Between Dish and Disney Seen as a Win for Both,2014-03-05T00:00,The long-term agreement ends fighting over a controversial ad-skipping feature and includes advances in how digital television rights are handled....,https://www.nytimes.com/2014/03/05/business/media/deal-between-dish-and-disney-seen-as-a-win-for-both.html
Interactive Unit at Disney Cuts a Quarter of Its Staff,2014-03-07T00:00,The layoffs came as a result of Disney&#8217;s decision to combine two businesses: booming mobile games and sagging social games....,https://www.nytimes.com/2014/03/07/business/media/disneys-game-and-internet-division-cuts-one-quarter-of-its-workforce.html
Disney and Shanghai Media Group Plan to Collaborate on Movies,2014-03-08T00:00,"Writers based in the United States will team up with Chinese writers and filmmakers to develop stories and scripts that incorporate Chinese themes in Disney movies, the studio said....",https://www.nytimes.com/2014/03/08/business/international/disney-and-shanghai-media-group-plan-to-collaborate-on-movies.html
