headline,date,snippet,url
"Stephanie L. Kwolek, Inventor of Kevlar, Is Dead at 90",2014-06-21T00:00,"Ms. Kwolek, a DuPont chemist who invented the technology behind Kevlar, a virtually bulletproof fiber that has saved thousands of lives, spent 15 years in the laboratory without a promotion before her breakthrough....",https://www.nytimes.com/2014/06/21/business/stephanie-l-kwolek-inventor-of-kevlar-is-dead-at-90.html
Peltz’s Attacks on DuPont Threaten America’s Research Edge,2015-04-10T00:00,"Nelson Peltz’s goals for DuPont would dilute the company’s research, a critical component for growth at science-driven corporations....",https://www.nytimes.com/2015/04/10/business/dealbook/peltzs-attacks-on-dupont-threaten-americas-research-edge.html
DuPont’s Underperformance Could Spur Activist Investor,2015-04-22T00:00,DuPont’s weak quarterly sales and reduced annual profit forecast is expected to provide fresh ammunition to the activist investor Nelson Peltz in his campaign to split up the chemical maker....,https://www.nytimes.com/2015/04/22/business/duponts-underperformance-could-spur-activist-investor.html
Disappointment on Earnings and Oil Prices Weigh on Market,2015-04-22T00:00,"Shares of Harley-Davidson dropped 10 percent after a disappointing quarterly report, while DuPont lowered its forecast for the year....",https://www.nytimes.com/2015/04/22/business/daily-stock-market-activity.html
DuPont Shares Rise After Proxy Adviser Backs Nelson Peltz,2015-04-28T00:00,The backing of I.S.S. is a big win for Mr. Peltz and his Trian Fund Management as they engage in a bitter fight over the board of the chemical company....,https://www.nytimes.com/2015/04/28/business/dealbook/dupont-shares-rise-after-proxy-adviser-backs-nelson-peltz.html
DuPont Shareholders Can Afford to Give Nelson Peltz a Board Seat,2015-04-29T00:00,DuPont may welcome Mr. Peltz’s presence because he has built a reputation for being a constructive presence in boardrooms....,https://www.nytimes.com/2015/04/29/business/dealbook/dupont-shareholders-can-afford-to-give-nelson-peltz-a-board-seat.html
DuPont’s Battle With Nelson Peltz May Confound Shareholders,2015-05-02T00:00,"The proxy advisory firm I.S.S. has endorsed Mr. Peltz, a setback for DuPont, but both sides make an compelling argument....",https://www.nytimes.com/2015/05/02/business/duponts-battle-with-nelson-peltz-may-confound-shareholders.html
"Retailers’ Results, Board Vote at DuPont and Shareholder Meetings",2015-05-11T00:00,"This week’s business news will include first-quarter earnings from the retailers Macy’s, Nordstrom and Kohl’s; and shareholder meetings at DuPont and Lloyds....",https://www.nytimes.com/2015/05/11/business/retailers-results-board-vote-at-dupont-and-shareholder-meetings.html
"In the DuPont Boardroom Battle, Sizing Up Who Won and Lost",2015-05-14T00:00,There are lessons for future shareholder activist battles in the way DuPont and Trian succeeded and failed....,https://www.nytimes.com/2015/05/14/business/dealbook/in-the-dupont-boardroom-battle-sizing-up-who-won-and-lost.html
Nelson Peltz’s Slate Fails to Win DuPont Board Seats,2015-05-14T00:00,"DuPont beat back a boardroom challenge at its annual shareholder meeting, one of the rare times that a fight with an activist investor has gone to a vote....",https://www.nytimes.com/2015/05/14/business/dealbook/nelson-peltzs-slate-fails-to-win-dupont-board-seats.html
DuPont Chief Executive Ellen Kullman to Retire,2015-10-06T00:00,"Nearly five months after beating back a challenge from an activist investor, Ms. Kullman is stepping aside....",https://www.nytimes.com/2015/10/06/business/dealbook/dupont-chief-executive-ellen-kullman-to-retire.html
Markets Take a Breather After 5 Days of Gains,2015-10-07T00:00,Shares of DuPont were up after the company’s embattled chief executive said she would retire next year. Energy stocks climbed with the price of oil....,https://www.nytimes.com/2015/10/07/business/daily-stock-market-activity.html
Dupont Gives Interim Chief the Top Position Full Time ,2015-11-10T00:00,DuPont’s board of directors named Edward D. Breen as chairman and chief executive....,https://www.nytimes.com/2015/11/10/business/dupont-gives-interim-chief-the-top-position-full-time.html
Dow Chemical and DuPont Are Said to Be in Merger Talks,2015-12-09T00:00,"Two of the biggest and oldest chemical companies in the United States, each with a market value of roughly $60 billion, could become the world’s second-largest chemical maker in terms of revenue....",https://www.nytimes.com/2015/12/09/business/dealbook/dow-chemical-and-dupont-are-said-to-be-in-merger-talks.html
