headline,date,snippet,url
Weak Earnings Weigh On S.&amp;P. and Nasdaq ,2014-01-18T00:00,Disheartening results from Intel and General Electric were partly to blame for the indexes&#8217; drop....,https://www.nytimes.com/2014/01/18/business/daily-stock-market-activity.html
General Electric&#8217;s Industrial Segments Lift Earnings ,2014-01-18T00:00,"The fourth-quarter earnings of 53 cents a share, bolstered by growth in G.E.&#8217;s industrial businesses and an improving United States economy, were in line with expectations....",https://www.nytimes.com/2014/01/18/business/General-Electric-Reports-Fourth-Quarter-Earnings.html
U.S. Permits Export to Iran of Plane Parts,2014-04-05T00:00,"Boeing and General Electric received limited licenses from the Treasury Department to service 18 commercial aircraft engines sold to Iranair in the late 1970s, the companies said....",https://www.nytimes.com/2014/04/05/business/international/us-permits-export-to-iran-of-plane-parts.html
G.E. Posts Strong Growth In Its Industrial Businesses,2014-04-18T00:00,"General Electric posted first-quarter net profit of $3 billion and operating earnings of 33 cents a share, slightly above analysts&#8217; estimate....",https://www.nytimes.com/2014/04/18/business/ge-posts-strong-growth-in-industrial-business-units.html
G.E. To Extend Deadline on Bid for Alstom Power Unit,2014-05-23T00:00,General Electric agreed to extend the length of its $16.9 billion bid for the power arm of France’s Alstrom while the government ponders homegrown solutions....,https://www.nytimes.com/2014/05/23/business/international/ge-to-extend-deadline-on-bid-for-alstom-power-unit.html
Exhibit A in G.E.’s Case for Alstom Deal,2014-05-26T00:00,A partnership with a French company to build airliner engines is being cited as evidence that General Electric knows how to work with France....,https://www.nytimes.com/2014/05/26/business/international/general-electric-joint-venture-in-france.html
Robust Demand for Industrial Equipment Lifts General Electric&#8217;s Profit 11%,2014-10-18T00:00,"Despite shaky outlooks for the global economy, G.E. is showing progress in bolstering its industrial core....",https://www.nytimes.com/2014/10/18/business/ge-profit-rises-11-in-third-quarter.html
Leading by Honing the Ability to Influence,2014-11-24T11:30,"John G. Rice, a vice chairman of General Electric, says ""if you're just preoccupied with how the work is going to reflect on you, that's not going to work.""...",https://www.nytimes.com/2014/11/24/business/international/leading-by-honing-the-ability-to-influence.html
"Economic Data From China, and Stimulus From the E.C.B.",2015-01-19T00:00,"China will release its fourth-quarter growth on Monday night, and on Thursday the European Central Bank is expected to start its bond-buying program; IBM and General Electric will report results....",https://www.nytimes.com/2015/01/19/business/international/economic-data-from-china-and-stimulus-from-the-ecb.html
Another Reason to Detest Tax Season,2015-02-15T00:00,"The I.R.S. issues a &#8220;Dirty Dozen&#8221; list of frauds every year. But what idiot doesn&#8217;t know that if a tax break sounds too good to be true, it probably is? It&#8217;s not as if you&#8217;re General Electric....",https://www.nytimes.com/2015/02/15/business/yourtaxes/another-reason-to-detest-tax-season.html
General Electric Deal for Alstom Raises Concerns Among European Authorities,2015-02-24T00:00,"The European Commission said it was worried that G.E., as the world&#8217;s top maker of heavy-duty gas turbines, would be eliminating a major competitor....",https://www.nytimes.com/2015/02/24/business/dealbook/ge-alstom-deal-raises-concerns-among-european-authorities.html
If Only G.E. Had an Activist Investor Who Cared,2015-03-18T00:00,"General Electric has been a beehive of activity, but the market thinks its shares are dead money, and such a perception may be difficult to shake off....",https://www.nytimes.com/2015/03/18/business/dealbook/if-only-ge-had-an-activist-investor-who-cared.html
Do-It-All Era Ending as G.E. Returns to Core ,2015-04-11T00:00,General Electric’s announcement is a stark recognition that it has become harder for financial services businesses to make big profits in the postfinancial crisis environment....,https://www.nytimes.com/2015/04/11/business/dealbook/do-it-all-era-ending-as-ge-returns-to-core.html
Longtime G.E. Advisers Tapped Again for Plum Assignment,2015-04-11T00:00,JPMorgan Chase and Centerview Partners are in line to claim both large fees and great prestige in helping General Electric navigate its divestiture....,https://www.nytimes.com/2015/04/11/business/dealbook/longtime-ge-advisers-tapped-again-for-plum-assignment.html
"G.E.’s Move Is Enticing to Banks, but Hard to Copy",2015-04-11T00:00,"While big banks would like to shed the “systemically important financial institution” tag, they would find it more difficult than General Electric....",https://www.nytimes.com/2015/04/11/business/dealbook/ges-move-is-enticing-to-banks-but-hard-to-copy.html
General Electric Planning Television Series Covering Science and Tech,2015-04-14T00:00,"General Electric aims to create high-quality branded content that will highlight scientific innovation, some of it involving scientists who work for or with the company....",https://www.nytimes.com/2015/04/14/business/general-electric-planning-television-series-covering-science-and-tech.html
General Electric’s Days as Wall Street’s Golden Goose May Be Numbered,2015-04-14T00:00,"Borrowing by GE Capital has been a huge moneymaker for Wall Street, but much of that business could be going away....",https://www.nytimes.com/2015/04/14/business/dealbook/general-electrics-days-as-wall-streets-golden-goose-may-be-numbered.html
General Electric Reports Strong Growth in Industrial Businesses,2015-04-18T00:00,"The impact of shedding GE Capital, its finance unit, was reflected in an overall loss of $13.6 billion for the quarter....",https://www.nytimes.com/2015/04/18/business/general-electric-q1-earnings.html
Survey Says Companies Not Meeting Minerals Rule ,2015-04-23T00:00,"The report by Amnesty International and Global Witness did not identify the companies fell short, but gave credit to those it said did meet the standards, among them 3M, Tiffany, General Electric, Tesla and Hewlett-Packard....",https://www.nytimes.com/2015/04/23/business/energy-environment/survey-says-companies-not-meeting-minerals-rule.html
G.E. Nears Deal on Major Step in Retreat From Banking,2015-06-08T00:00,The sale of a division that finances leveraged buyouts would be part of General Electric’s plan announced in April to refocus on its industrial roots....,https://www.nytimes.com/2015/06/08/business/dealbook/ge-nears-deal-on-major-step-in-retreat-from-banking.html
General Electric Reports Rise in Industrial Profit,2015-07-18T00:00,"Although G.E. reported a net loss of $1.36 billion for the quarter, operating profit from its industrial business grew 5 percent....",https://www.nytimes.com/2015/07/18/business/ge-q2-earnings.html
G.E. Continues Sell-Off With Health Care Lending Business,2015-08-12T00:00,"General Electric announced on Tuesday that it would sell its Healthcare Financial Services business to Capital One for about $9 billion, continuing a campaign to refocus its business....",https://www.nytimes.com/2015/08/12/business/dealbook/ge-continues-sell-off-with-health-care-lending-business.html
Goldman Expands Retail Banking by Taking On GE Capital&#8217;s Deposits,2015-08-14T00:00,"The Wall Street bank is acquiring $16 billion in customer deposits from GE Capital Bank, which General Electric is shedding to focus on its industrial business....",https://www.nytimes.com/2015/08/14/business/dealbook/goldman-expands-retail-banking-by-taking-on-ge-capitals-deposits.html
GE Capital’s Australian Units Said to Be Receiving Final Bids From 3,2015-09-02T00:00,"The businesses, which are being sold as General Electric moves away from banking, have a book value of about $1.8 billion....",https://www.nytimes.com/2015/09/02/business/dealbook/ge-capital-buyers-narrowed-to-sankaty-lone-star-hna.html
G.E. Gets European Regulators’ Approval to Buy Alstom Power Unit,2015-09-09T00:00,"After months of negotiations to allay European Union competition concerns, General Electric will now be able to acquire the prized French energy business....",https://www.nytimes.com/2015/09/09/business/international/ge-alstom-deal-europe-regulators.html
"G.O.P. Discord Over Ex-Im Bank Intensifies, as G.E. Shifts Jobs Abroad",2015-09-16T00:00,"General Electric and Boeing blamed a halt in export credit for job transfers and a loss of contracts, reigniting Republican infighting over the fate of the Ex-Im Bank....",https://www.nytimes.com/2015/09/16/business/economy/export-import-bank-general-electric-boeing.html
