headline,date,snippet,url
Gloom Descends as Earnings Fall Short,2014-01-17T00:00,"Retailers continued to disappoint investors, and profits fell at Goldman Sachs and Citigroup....",https://www.nytimes.com/2014/01/17/business/daily-stock-market-activity.html
17 Brokerage Firms Agree to End Analysis Previews,2014-02-26T00:00,"The deal among firms including Citigroup, Goldman Sachs, JPMorgan Chase and Merrill Lynch means no clients will receive market-sensitive information ahead of others....",https://www.nytimes.com/2014/02/26/business/17-brokerage-firms-agree-to-end-analysis-previews.html
Author’s Unmasking Won’t Stop Book,2014-02-26T00:00,"The revelation that the writer behind the popular Twitter feed @GSElevator had never worked for Goldman Sachs appeared to undermine his credibility, if not the premise of the book....",https://www.nytimes.com/2014/02/26/business/media/authors-unmasking-may-undercut-book.html
"Big Banks’ Earnings Reports, and E.U. to Act on Bank Laws",2014-04-14T00:00,"Citigroup, Bank of America, Morgan Stanley and Goldman Sachs will report earnings, and the E.U. is expected to pass laws aimed at reducing nations’ vulnerability to the problems of their big banks....",https://www.nytimes.com/2014/04/14/business/big-banks-earnings-reports-and-eu-to-act-on-bank-laws.html
Goldman Will Sell Metal Warehousing Unit,2014-05-21T00:00,"Goldman Sachs has begun a formal process to sell the metals warehousing business it purchased four years ago, a spokesman said on Tuesday....",https://www.nytimes.com/2014/05/21/business/goldman-will-sell-metal-warehousing-unit.html
"At Goldman Sachs, Even the Legal Fees Are Different",2014-09-07T00:00,The company’s corporate bylaws are ambiguous about paying employees’ legal fees....,https://www.nytimes.com/2014/09/07/business/at-goldman-sachs-even-the-legal-fees-are-different.html
Oil Prices and European Malaise Weigh on Market,2014-10-28T00:00,"Goldman Sachs lowered its outlook for crude prices, and German business confidence declined....",https://www.nytimes.com/2014/10/28/business/daily-stock-market-activity.html
Goldman Seeks to Raise Fund to Buy Energy Sector Debt,2015-02-25T00:00,Goldman Sachs joins other Wall Street firms in seeking to capitalize on the turmoil in the energy sector....,https://www.nytimes.com/2015/02/25/business/dealbook/goldman-seeks-to-raise-fund-to-buy-energy-sector-debt.html
"Gordon Dyal, Veteran Deal Maker at Goldman Sachs, to Retire",2015-03-03T00:00,Mr. Dyal served most recently as co-chairman of the firm’s investment bank....,https://www.nytimes.com/2015/03/03/business/dealbook/gordon-dyal-veteran-deal-maker-at-goldman-sachs-to-retire.html
"At Goldman Sachs, Stress Test Results Could Endanger an Important Profit Source",2015-03-09T00:00,"After Goldman Sachs&#8217;s poor performance on Federal Reserve stress tests, analysts and investors are worried that the bank could be barred from buying back its own stock or increasing dividends....",https://www.nytimes.com/2015/03/09/business/dealbook/at-goldman-sachs-stress-test-results-could-endanger-an-important-profit-source.html
Goldman Sachs Contributes $2 Million to LaGuardia Community College ,2015-03-12T00:00,"The unrestricted gift will be used meet the immediate needs of students who are at risk of dropping out because they cannot afford basics like books, the college said....",https://www.nytimes.com/2015/03/12/business/goldman-sachs-contributes-dollar2-million-to-laguardia-community-college.html
Banks May Want to Consider Expiration Date for Top Job,2015-03-12T00:00,"The chief executives at JPMorgan Chase, Goldman Sachs and Wells Fargo need to be careful about sticking around too long....",https://www.nytimes.com/2015/03/12/business/dealbook/banks-may-want-to-consider-expiration-date-for-top-job.html
What 3 Banks May Have Cut to Pass the Stress Tests,2015-03-13T00:00,"Goldman Sachs, Morgan Stanley and JPMorgan Chase all had to pay shareholders less than they had originally requested. Here is a back-of-the-envelope estimate of what was cut....",https://www.nytimes.com/2015/03/13/business/dealbook/what-3-banks-may-have-cut-to-pass-the-stress-tests.html
EQT and Goldman Sachs Funds Sell Remaining Stake in ISS,2015-03-14T00:00,"At the same time, the Kirk Kristiansen family, the owners of the Lego brand, increased their stake in the Danish outsourcing company....",https://www.nytimes.com/2015/03/14/business/dealbook/eqt-and-goldman-sachs-funds-sell-remaining-stake-in-iss.html
New Stumble in Trial of Former Goldman Programmer ,2015-04-02T00:00,"The long-running case against Sergey Aleynikov, a former Goldman Sachs programmer, is set to begin on Monday after a judge rebuffed a request from the prosecution for a long delay....",https://www.nytimes.com/2015/04/02/business/dealbook/new-stumble-in-trial-of-former-goldman-programmer.html
Morgan Stanley’s James Gorman Gets 25% Raise,2015-04-02T00:00,Total compensation of $22.5 million is more than Jamie Dimon’s at JPMorgan Chase but less than Lloyd Blankfein’s at Goldman Sachs....,https://www.nytimes.com/2015/04/02/business/dealbook/morgan-stanleys-james-gorman-gets-25-raise.html
Bank of America Merrill Lynch Hires Banker for Equity Capital Markets,2015-04-07T00:00,"Michael Wise will join the bank from Goldman Sachs, where he was head of equity market offerings for financial institutions....",https://www.nytimes.com/2015/04/07/business/dealbook/bank-of-america-merrill-lynch-hires-banker-for-equity-capital-markets.html
New Stumbles by Prosecutors in Trial of Former Goldman Programmer,2015-04-15T00:00,Sergey Aleynikov is being tried for the second time on charges he stole some of the source code to Goldman Sachs’s high-frequency trading program....,https://www.nytimes.com/2015/04/15/business/dealbook/new-stumbles-by-prosecutors-in-trial-of-former-goldman-programmer.html
William H. Donaldson Named Chairman of Financial Services Volunteer Corps,2015-04-16T00:00,"The former S.E.C. chairman will fill a seat last occupied by John C. Whitehead, the former co-chairman of Goldman Sachs who died in February....",https://www.nytimes.com/2015/04/16/business/dealbook/william-h-donaldson-named-chairman-offinancial-services-volunteer-corps.html
Goldman Sachs Reports Robust Earnings as Trading Revives,2015-04-17T00:00,Much of the investment bank&#8217;s higher revenue was contributed by the trading desks that have struggled the most in recent years....,https://www.nytimes.com/2015/04/17/business/dealbook/goldman-sachs-reports-robust-earnings-as-trading-revives.html
Ruling Clears Way for Jury Verdict on Former Goldman Sachs Programmer,2015-04-21T00:00,"The criminal case of Sergey Aleynikov, who was accused of stealing computer code, will proceed to a jury after his last-ditch, midtrial effort to toss out the case came up short....",https://www.nytimes.com/2015/04/21/business/dealbook/ruling-clears-way-for-jury-verdict-on-former-goldman-sachs-programmer.html
"Insurers Take On More Risk in Search of Returns, Study Says",2015-04-22T00:00,"A survey by Goldman Sachs shows that insurance companies are shifting investments into private equity firms, real estate deals and hedge funds....",https://www.nytimes.com/2015/04/22/business/dealbook/insurers-take-on-more-risk-in-search-of-returns-study-says.html
Food Fight on the Jury May Derail Code Trial,2015-04-29T00:00,"A dispute between two jurors, including an allegation of &#8220;food tampering,&#8221; threatens to prompt a mistrial in the case against Sergey Aleynikov, a former Goldman Sachs programmer....",https://www.nytimes.com/2015/04/29/business/dealbook/food-fight-on-the-jury-may-derail-code-trial.html
Goldman Sachs Programmer&#8217;s Trial Resumes After Jury Disruption ,2015-04-30T00:00,"Deliberations in the trial of Sergey Aleynikov, a former employee of Goldman Sachs, resumed after two jurors were excused....",https://www.nytimes.com/2015/04/30/business/dealbook/goldman-sachs-programmers-trial-resumes-after-jury-disruption.html
