headline,date,snippet,url
"Mixed Results, but Strong Outlook, for Home Depot and Macy&#8217;s ",2014-02-26T00:00,"The companies, two of the country&#8217;s biggest retailers, partly blamed a stormy January for slow sales, but they did well compared with other retailers....",https://www.nytimes.com/2014/02/26/business/home-depot-and-macys-have-mixed-earnings.html
"Robert Rickel, a Founder of Hardware Supermarkets, Dies at 90",2014-03-14T00:00,Mr. Rickel and his brothers opened a chain of home-repair stores that offered supermarket-style shopping before Home Depot existed....,https://www.nytimes.com/2014/03/14/business/robert-rickel-co-founder-of-home-improvement-chain-dies-at-90.html
Home Depot Leads Weak Retail Sector Ahead of Spring Spending Thaw,2014-05-21T00:00,"The home improvement chain&#8217;s first-quarter sales increased 2.9 percent from a year earlier, but it joined a variety of other retailers in missing earnings expectations....",https://www.nytimes.com/2014/05/21/business/home-depot-earnings-fall-short-of-expectations.html
Retailers Report Earnings in a Subdued Season,2014-08-18T00:00,"Quarterly earnings numbers from Home Depot, Target and others; a vote on oil-industry taxes in Alaska; possible Fed insights in a speech by its chairwoman; and data on housing starts, consumer prices and global economic recovery....",https://www.nytimes.com/2014/08/18/business/retailers-report-earnings-in-a-subdued-season.html
Two Good Omens for Housing Market,2014-08-20T00:00,"Home construction increased sharply in July, the Commerce Department reported on Tuesday, as Home Depot, whose fate is tied closely to the housing market, announced a strong quarter....",https://www.nytimes.com/2014/08/20/business/for-home-depot-a-spring-rebound-and-a-better-year-ahead.html
Home Depot Chooses Insider for Its New Chief Executive,2014-08-22T00:00,"Craig Menear, the president of its United States retail operations, will become president and chief executive of the company on Nov. 1....",https://www.nytimes.com/2014/08/22/business/home-depot-chooses-insider-for-its-new-chief-executive.html
Wall Street Slips Lower as Shares In Apple Fall After Product News ,2014-09-10T00:00,Negative news from Home Depot and McDonald&#8217;s also weighed on the market....,https://www.nytimes.com/2014/09/10/business/daily-stock-market-activity.html
Ex-Employees Say Home Depot Left Data Vulnerable,2014-09-20T00:00,"Before a major data breach, Home Depot was slow to raise its defenses against hackers despite alarms from security experts as far back as 2008....",https://www.nytimes.com/2014/09/20/business/ex-employees-say-home-depot-left-data-vulnerable.html
J.C. Penney Names Home Depot Executive as Its Next Chief,2014-10-14T00:00,"The company, tapping a seasoned retail hand, said Marvin Ellison would become president in November and chief executive next August....",https://www.nytimes.com/2014/10/14/business/jc-penney-names-marvin-ellison-as-its-next-chief.html
"Retailers’ Earnings, Fed Minutes and a Panel on Wall St.",2014-11-17T00:00,"Home Depot, Target and Lowe’s will report their third-quarter results this week, offering a hint at consumers’ outlooks; and the Fed will release minutes from its last meeting....",https://www.nytimes.com/2014/11/17/business/retailers-earnings-fed-minutes-and-a-panel-on-wall-st.html
Home Depot Posts a Strong 3rd Quarter Despite a Data Breach Disclosure,2014-11-19T00:00,"The home improvement retailer, the target of a cyberattack affecting as many as 56 million customers, beat analysts&#8217; expectations with $1.5 billion in net earnings....",https://www.nytimes.com/2014/11/19/business/home-depot-reports-strong-third-quarter-growth-despite-data-breach-disclosure.html
West Coast Port Gridlock Hits Inventory at Macy&#8217;s and Home Depot ,2015-02-25T00:00,"The department store and home improvement chains, which both reported solid fourth-quarter earnings, have yet to see the full impact of shipping delays that hit inventory levels during a West Coast ports dispute....",https://www.nytimes.com/2015/02/25/business/west-coast-port-gridlock-hits-inventory-at-macys-and-home-depot.html
Home Depot Says It Will Phase Out Chemical Used in Vinyl Flooring,2015-04-23T00:00,The retailer will ask a half-dozen suppliers to stop using ortho-phthalates in their products because of health concerns by consumer groups....,https://www.nytimes.com/2015/04/23/business/home-depot-says-it-will-phase-out-chemical-used-in-vinyl-flooring.html
Earnings From Walmart and More Big Retailers; Wall Street&#8217;s Annual Meetings,2015-05-18T00:00,"Walmart, Home Depot and Target are among the retailers posting results this week; Japan will report its G.D.P. on Wednesday; and the big Wall Street banks will hold their annual meetings with shareholders....",https://www.nytimes.com/2015/05/18/business/earnings-from-walmart-and-more-big-retailers-wall-streets-annual-meetings.html
"Hackers Go After Little Fish, Too, While Trawling for Credit Cards",2015-06-11T00:00,"In their efforts to steal credit card data, hackers have taken aim at small businesses, like Eataly’s food halls, as well as retail giants like Target and Home Depot....",https://www.nytimes.com/2015/06/11/business/dealbook/when-it-comes-to-hackers-big-and-small-will-do.html
Home Depot to Buy Interline Brands for $1.6 Billion in Cash,2015-07-23T00:00,"The deal for Interline Brands, a supplier of maintenance and repair products, is expected to bolster Home Depot’s sales to the professional market....",https://www.nytimes.com/2015/07/23/business/dealbook/home-depot-to-buy-interline-brands-for-1-6-billion-in-cash.html
"Strong Sales at Walmart, Home Depot and TJX  ",2015-11-18T00:00,"Sales and traffic improved at Walmart stores in the United States, but operating income fell more than 8 percent as the retailer invested in online operations and its work force....",https://www.nytimes.com/2015/11/18/business/walmart-q3-earnings-retail.html
