headline,date,snippet,url
A Bonus Is Declined; a Problem Remains,2014-02-22T00:00,"IBM’s chief executive and others have refused their annual bonuses, mostly as a symbolic gesture to account for poor performance, but that raises the question of why they were receiving bonuses in the first place....",https://www.nytimes.com/2014/02/22/business/waving-away-the-bonus-but-not-solving-the-problem.html
Chinese Workers at IBM Factory on Strike Amid Company Sale,2014-03-07T00:00,"More than 1,000 workers from a Shenzhen site being sold to Lenovo took to the streets in the latest sign of growing labor activism in China....",https://www.nytimes.com/2014/03/07/business/international/chinese-workers-at-ibm-factory-on-strike-amid-company-sale.html
China Strike Illustrates Shift in Labor Landscape,2014-03-11T00:00,"A walkout by more than 1,000 workers at the IBM factory in Shenzhen fits a growing pattern of industrial activism in the nation....",https://www.nytimes.com/2014/03/11/business/international/china-strike-illustrates-shift-in-labor-landscape.html
Masters Spots Will Tell IBM’s Story in a New Way,2014-04-10T00:00,"The company is teeing up about 50 commercials that will run just once during the tournament, aimed primarily at so-called C-suite executives....",https://www.nytimes.com/2014/04/10/business/media/ibm-adopts-new-advertising-strategy-for-the-masters.html
IBM Will Help Beijing Monitor Pollution,2014-07-08T00:00,The capital of China will take part in a company initiative that includes the collection of emissions data to predict smog buildup....,https://www.nytimes.com/2014/07/08/business/international/ibm-will-help-beijing-monitor-pollution.html
Merger Possibilities and Earnings Inspire the Market,2014-07-17T00:00,"News of a partnership between IBM and Apple, and an offer from 21st Century Fox to take over Time Warner, boosted markets to another high....",https://www.nytimes.com/2014/07/17/business/daily-stock-market-activity.html
"John F. Akers, 79, Dies; Led IBM as PCs Ascended",2014-08-25T00:00,"Mr. Akers became chief executive in 1985, as smaller, less expensive computers started to undercut the company’s lucrative mainframe computer business....",https://www.nytimes.com/2014/08/24/business/john-f-akers-79-dies-led-ibm-as-pcs-ascended.html
"Michelle Munson of Aspera, on Always Respecting the Opportunity",2014-10-19T00:00,"For the chief executive of the Aspera unit of IBM, respecting an opportunity means embracing it and dedicating yourself to making the most of it....",https://www.nytimes.com/2014/10/19/business/michelle-munson-of-aspera-on-always-respecting-the-opportunity.html
Tech Giants’ Earnings and Eurozone Bank Stress Tests,2014-10-20T00:00,"Apple, IBM, Microsoft and Yahoo will report quarterly results, and the results of the eurozone banks’ tests are approaching....",https://www.nytimes.com/2014/10/20/business/tech-giants-earnings-and-eurozone-bank-stress-tests.html
"Investors Return to Market, but IBM Disappoints",2014-10-21T00:00,The tech giant reported earnings that missed expectations and warned it may not meet its profit goals....,https://www.nytimes.com/2014/10/21/business/daily-stock-market-activity.html
Weak Results at IBM as Its Strategy Shifts,2014-10-21T00:00,The chief executive called the results disappointing as the company said it would pay $1.5 billion to shed its chip-making unit....,https://www.nytimes.com/2014/10/21/business/amid-a-shift-in-strategy-ibm-reports-weak-earnings.html
"Economic Data From China, and Stimulus From the E.C.B.",2015-01-19T00:00,"China will release its fourth-quarter growth on Monday night, and on Thursday the European Central Bank is expected to start its bond-buying program; IBM and General Electric will report results....",https://www.nytimes.com/2015/01/19/business/international/economic-data-from-china-and-stimulus-from-the-ecb.html
Call for Activism at IBM Is Likely to Go Unheard,2015-04-07T00:00,Investors have reason to be dissatisfied. The trouble is that IBM has already exhausted the typical activist playbook....,https://www.nytimes.com/2015/04/07/business/dealbook/call-for-activism-at-ibm-is-likely-to-go-unheard.html
IBM Venture With China Stirs Concerns,2015-04-20T00:00,"IBM’s partnership with Teamsun, a Beijing company, to provide key technologies is similar to ones it has made elsewhere, but it has collided with political and trade issues....",https://www.nytimes.com/2015/04/20/business/ibm-project-in-china-raises-us-concerns.html
Natalia Maria Ruderman of IBM: A Sweet Spot for Global Traditions,2015-05-17T00:00,"Ms. Ruderman, a vice president and chief financial officer for IBM Latin America, keeps an open mind and an open office....",https://www.nytimes.com/2015/05/17/business/natalia-maria-ruderman-of-ibm-a-sweet-spot-for-global-traditions.html
Weak Earnings Send Market Sliding Downward,2015-07-22T00:00,"Stocks veered lower in afternoon trading, weighed down by weak results from IBM, United Technologies and other companies. Telecom stocks were among the biggest decliners....",https://www.nytimes.com/2015/07/22/business/daily-stock-market-activity.html
Market Lower as Some Companies Report Weak Earnings,2015-10-21T00:00,IBM and Harley-Davidson shares were down after their quarterly reports disappointed investors....,https://www.nytimes.com/2015/10/21/business/daily-stock-market-activity.html
IBM Looks to Its Next Century,2015-11-04T00:00,A venerable technology company is adopting a strategy that moves it into disruptive systems....,https://www.nytimes.com/2015/11/04/business/dealbook/ibm-looks-to-its-next-century.html
IBM’s Design-Centered Strategy to Set Free the Squares,2015-11-15T00:00,"The tech stalwart has been hiring designers by the hundreds, all part of an accelerated approach to product development that is a major departure from the past....",https://www.nytimes.com/2015/11/15/business/ibms-design-centered-strategy-to-set-free-the-squares.html
Former Executive on IBM’s Watson to Start Own A.I. Firm,2016-03-15T00:00,"Stephen Pratt and TPG Growth have formed Noodle.ai, which aims to bring artificial intelligence and data analysis to corporate customers....",https://www.nytimes.com/2016/03/15/business/dealbook/former-head-of-ibms-watson-unit-to-start-own-ai-firm.html
Warren Buffett Stake Suggests Apple Is All Grown Up,2016-05-20T00:00,"When a value investor buys in, it’s a sign that a high-flying growth company has joined the ranks of venerable tech companies like IBM and Intel....",https://www.nytimes.com/2016/05/20/business/buffett-stake-suggests-apple-is-all-grown-up.html
"IBM to Acquire Promontory, a Financial Consulting Firm",2016-09-30T04:00,"IBM said that Promontory, which advises banks on regulatory matters, would mesh with its own offerings, including its Watson artificial intelligence platform....",https://www.nytimes.com/2016/09/30/business/dealbook/ibm-to-acquire-promontory-a-financial-consulting-firm.html
