headline,date,snippet,url
Economic Reports for the Week of Jan. 13,2014-01-13T00:00,"JPMorgan Chase and Wells Fargo, set to report fourth-quarter results on Tuesday, will kick off a flurry of bank earnings, and Intel will post its fourth-quarter results....",https://www.nytimes.com/2014/01/13/business/economic-reports-for-the-week-of-jan-13.html
Weak Earnings Weigh On S.&amp;P. and Nasdaq ,2014-01-18T00:00,Disheartening results from Intel and General Electric were partly to blame for the indexes&#8217; drop....,https://www.nytimes.com/2014/01/18/business/daily-stock-market-activity.html
Navin Nagiah of DNN: Intellectual Honesty Is the Best Policy,2014-03-28T00:00,"Authenticity is important if you want your organization to do well, says the chief of a web content software company....",https://www.nytimes.com/2014/03/28/business/navin-nagiah-of-dnn-intellectual-honesty-is-the-best-policy.html
European Court Upholds $1.44 Billion Fine Against Intel,2014-06-13T00:00,"The case, which dates back to 2000, is about a competitive edge the chip maker may no longer have. But the ruling has legal implications for other tech giants....",https://www.nytimes.com/2014/06/13/business/international/european-court-upholds-1-06-billion-fine-against-intel.html
Wall St. Posts Its First Losing Week in a Month,2014-06-14T00:00,"Intel reported strong sales, while OpenTable agreed to be acquired by Priceline and there were reports that two other businesses were acquisition targets....",https://www.nytimes.com/2014/06/14/business/daily-stock-market-activity.html
2 Deals Focus on Big Data and Youth,2014-06-16T00:00,"The Intelligence Group is merging with Noise, a company that specializes in the millennial market, and a unit of Barkley that researches millennials is being spun off as a separate consultancy named FutureCast....",https://www.nytimes.com/2014/06/16/business/media/2-deals-focus-on-big-data-and-youth.html
"Jim Parsons, ‘Big Bang Theory’ Star, to Promote Intel as Innovator",2014-11-21T00:00,"Mr. Parsons, who portrays the genius nerd Sheldon Cooper on the comedy series, is featured in a campaign that is scheduled to begin on Monday....",https://www.nytimes.com/2014/11/21/business/media/jim-parsons-big-bang-theory-star-to-promote-intel-as-innovator.html
Melville House Will Publish C.I.A. Torture Report as a Book,2014-12-11T00:00,The Brooklyn publisher has set a sale date of Dec. 30 for the 480-page book featuring the executive summary of the Senate Intelligence Committee’s report....,https://www.nytimes.com/2014/12/11/business/media/melville-house-to-publish-torture-report-as-a-book.html
Schwab&#8217;s Service for Investors Seeking Thrifty Advice Raises Eyebrows,2015-03-06T00:00,"Whether the service, called Schwab Intelligent Portfolios, is truly free &#8212; or is just intended to seem that way &#8212; is a matter of debate....",https://www.nytimes.com/2015/03/06/business/schwabs-service-for-investors-seeking-thrifty-advice-raises-eyebrows.html
Shares of Intel Drop After It Lowers Its Forecast,2015-03-13T00:00,The chip maker Intel slashed nearly $1 billion from its first-quarter revenue forecast as small businesses put off upgrading their personal computers....,https://www.nytimes.com/2015/03/13/business/shares-of-intel-drop-after-it-lowers-its-forecast.html
Intel Said to Be in Talks to Acquire Chip Maker,2015-03-28T00:00,"Intel is in discussions to buy Altera, a designer of specialized computer chips, in what would be one of the technology giant&#8217;s biggest deals ever, says a person briefed on the matter....",https://www.nytimes.com/2015/03/28/business/dealbook/intel-said-to-be-in-talks-to-acquire-chip-maker.html
Intel Said to End Talks to Buy Chip Designer Altera,2015-04-10T00:00,The collapse of the discussions puts a halt to what would have been Intel&#8217;s biggest-ever takeover as it seeks to diversify its business....,https://www.nytimes.com/2015/04/10/business/dealbook/intel-said-to-end-talks-to-buy-chip-designer-altera.html
Andy Bryant of Intel: Don’t Just Check Off Career Boxes,2015-04-12T00:00,The chairman of Intel says people are successful when they have jobs in which they are intellectually and emotionally engaged....,https://www.nytimes.com/2015/04/12/business/at-work-dont-just-check-off-boxes.html
A.I.G. Invests in Kroll’s K2 Intelligence Firm,2015-04-16T00:00,"The investment in K2 will give A.I.G. ties to a provider of investigations and analytics that can benefit its clients, particularly on online defense....",https://www.nytimes.com/2015/04/16/business/dealbook/back-to-the-future-aig-to-invest-in-kroll-firm.html
Strong Earnings and Surge in Oil Drive the Market Up,2015-04-16T00:00,"Intel and Delta reported results that pleased the markets, and oil prices were solidly higher....",https://www.nytimes.com/2015/04/16/business/daily-stock-market-activity.html
Agent Who Supervised Investigation of JPMorgan Cyberattack Takes a New Job,2015-04-28T00:00,"Austin P. Berglas is leaving the F.B.I. to join K2 Intelligence, a corporate investigations company....",https://www.nytimes.com/2015/04/28/business/dealbook/agent-who-supervised-investigation-of-jpmorgan-cyberattack-takes-a-new-job.html
Big Law Firms Winning More of Intellectual Property Work,2015-05-20T00:00,"The heavyweight law firms outflanked their smaller rivals by being more adaptable in billing arrangements and using flexible staffing, a study found....",https://www.nytimes.com/2015/05/20/business/dealbook/big-law-firms-winning-more-of-intellectual-property-work.html
Intel Takeover of Altera Is Expected ,2015-05-30T00:00,"Intel is close to buying fellow chip maker Altera for more than $15 billion, a person briefed on the matter said on Friday, the latest sign of consolidation in the semiconductor industry....",https://www.nytimes.com/2015/05/30/business/dealbook/intel-takeover-of-altera-is-expected.html
Deal News and Bright Economic Reports Nudge the Market Higher,2015-06-02T00:00,Stocks rose broadly in afternoon trading after the release of some encouraging economic data and the news that the chip maker Intel would acquire Altera....,https://www.nytimes.com/2015/06/02/business/daily-stock-market-activity.html
Intel Agrees to Buy Altera for $16.7 Billion,2015-06-02T00:00,The deal would be the latest in a wave of consolidation as chip makers look to increase their scale and product offerings....,https://www.nytimes.com/2015/06/02/business/dealbook/intel-altera-buy-chips-computers-chip-maker.html
Market Rises on a Raft of Solid Corporate Results,2015-07-17T00:00,"Stocks closed higher after several big companies reported better-than-expected earnings. Citigroup, Intel, Netflix and eBay all beat analysts’ forecasts....",https://www.nytimes.com/2015/07/17/business/daily-stock-market-activity.html
Computer Scientists Wield Artificial Intelligence to Battle Tax Evasion,2015-10-10T00:00,Researchers use an algorithm to detect a type of tax shelter dodge used by partnerships....,https://www.nytimes.com/2015/10/10/business/computer-scientists-wield-artificial-intelligence-to-battle-tax-evasion.html
Intel Lawsuit Questions Place of Hedge Funds in Retirement Plans,2015-11-22T00:00,"A former employee sued the computing giant, saying that big bets on hedge funds and private equity increased costs and hurt participants in the plans....",https://www.nytimes.com/2015/11/22/business/intel-lawsuit-questions-place-of-hedge-funds-in-retirement-plans.html
Political Intelligence Firm to Pay S.E.C. Penalty,2015-11-25T00:00,The agency says the Marwood Group obtained material nonpublic information twice in 2010 on policy issues or pending regulatory approvals....,https://www.nytimes.com/2015/11/25/business/dealbook/political-intelligence-firm-to-pay-sec-penalty.html
"Marvin Minsky, Pioneer in Artificial Intelligence, Dies at 88",2016-01-26T00:00,Professor Minsky laid the foundation for the field by demonstrating the possibilities of imparting common-sense reasoning to computers....,https://www.nytimes.com/2016/01/26/business/marvin-minsky-pioneer-in-artificial-intelligence-dies-at-88.html
Warren Buffett Stake Suggests Apple Is All Grown Up,2016-05-20T00:00,"When a value investor buys in, it’s a sign that a high-flying growth company has joined the ranks of venerable tech companies like IBM and Intel....",https://www.nytimes.com/2016/05/20/business/buffett-stake-suggests-apple-is-all-grown-up.html
Intel Tells Stories That Go Beyond Chips,2016-06-27T00:00,Intel’s internal advertising group and video and digital studio have produced a slew of original content that shows some incredible ways innovators are using its technology....,https://www.nytimes.com/2016/06/27/business/media/intel-tells-stories-that-go-beyond-chips.html
Wall St. Falls After Some Lackluster Earnings,2016-07-22T00:00,"Intel and Southwest Airlines gave quarterly reports that disappointed traders, and their stocks slid....",https://www.nytimes.com/2016/07/22/business/daily-stock-market-activity.html
Intel Seems to Have a Stronger Hand Than Cisco Systems,2016-08-18T04:00,"The outlook for last-generation tech companies is often grim as their products become commonplace, rivals find alternatives and margins shrink....",https://www.nytimes.com/2016/08/18/business/dealbook/intel-seems-to-have-a-stronger-hand-than-cisco-systems.html
Intel Sells Majority Stake in McAfee Security Unit to TPG,2016-09-08T04:00,The move will bring McAfee independence at a time when cybersecurity businesses have grown more prominent amid increasing hacking threats....,https://www.nytimes.com/2016/09/08/business/dealbook/intel-sells-a-majority-stake-of-cybersecurity-unit-mcafee-to-tpg.html
Intel to Team With Delphi and Mobileye for Self-Driving Cars,2016-11-29T05:01,"For Intel, especially, the collaboration is an effort to catch up in autonomous vehicles, a field where some chip makers have made deeper inroads....",https://www.nytimes.com/2016/11/29/business/intel-to-team-with-delphi-and-mobileye-for-self-driving-cars.html
Plan for $10 Billion Chip Plant Shows China’s Growing Pull,2017-02-10T09:49,The project by the California-based GlobalFoundries illustrates how money is flowing away from the United States despite a high-profile announcement from Intel....,https://www.nytimes.com/2017/02/10/business/china-computer-chips-globalfoundries-investment.html
SoftBank-Backed OneWeb Set to Merge With Rival Satellite Operator,2017-02-28T17:57,The deal for Intelsat is contingent on an agreement with its bondholders to reduce the company’s large debt load....,https://www.nytimes.com/2017/02/28/business/dealbook/softbank-oneweb-satellite-merger-intelsat.html
Intel’s $15 Billion Gamble on Self-Driving,2017-03-13T18:52,"The deal for Mobileye could pay off in a rapidly growing market. But Intel’s merger record is patchy, and the price assumes near-perfect success in future....",https://www.nytimes.com/2017/03/13/business/dealbook/intels-15-billion-gamble-on-self-driving.html
Intel Buys Mobileye in $15.3 Billion Bid to Lead Self-Driving Car Market,2017-03-13T12:08,The deal underlines the chip maker’s determination to make sure it can provide the computing power needed for autonomous vehicles....,https://www.nytimes.com/2017/03/13/business/dealbook/intel-mobileye-autonomous-cars-israel.html
When ‘Political Intelligence’ Meets Insider Trading,2017-05-29T22:07,Proving a recent case will hinge on how broadly the rules will apply when the information is leaked from a government agency rather than a corporation....,https://www.nytimes.com/2017/05/29/business/dealbook/when-political-intelligence-meets-insider-trading.html
"Comey’s Testimony Was Ratings Gold, Even at 10 A.M.",2017-06-10T00:22,"The appearance of James B. Comey, the former F.B.I. director, before the Senate Select Committee on Intelligence drew about 19.5 million TV viewers....",https://www.nytimes.com/2017/06/09/business/media/comey-trump-russia-ratings.html
"A Leaker’s Admission: How the Media Covered, and Factored Into, Comey’s Testimony",2017-06-09T00:58,"Appearing before the Senate Intelligence Committee, James B. Comey described his role as a leaker but also challenged a New York Times report about Russia....",https://www.nytimes.com/2017/06/08/business/media/comey-hearing-trump-fox-news-cnn.html
