headline,date,snippet,url
JPMorgan Lost Madoff in a Blizzard of Paper,2014-01-10T00:00,"Documents released in connection with the federal penalties imposed on JPMorgan Chase showed that many people simply filled out and filed forms, oblivious to what they might indicate....",https://www.nytimes.com/2014/01/10/business/madoffs-trail-lost-in-a-blizzard-of-paper.html
Economic Reports for the Week of Jan. 13,2014-01-13T00:00,"JPMorgan Chase and Wells Fargo, set to report fourth-quarter results on Tuesday, will kick off a flurry of bank earnings, and Intel will post its fourth-quarter results....",https://www.nytimes.com/2014/01/13/business/economic-reports-for-the-week-of-jan-13.html
Accounting for Dimon’s Big Jump in Pay,2014-02-01T00:00,"In the world of Wall Street executive compensation, the pay raise recommended for Jamie Dimon, chief of JPMorgan Chase, is not only defensible, but laudable....",https://www.nytimes.com/2014/02/01/business/accounting-for-jamie-dimons-big-pay-raise.html
"Welcome Relief for Homeowners, Until the Tax Bill Arrives",2014-02-05T00:00,"JPMorgan can write off $1.5 billion in debt relief, but it will be treated as taxable income for homeowners, resulting in burdensome costs for many families....",https://www.nytimes.com/2014/02/05/business/economy/lenders-see-write-off-while-underwater-homeowners-face-stiff-taxes.html
17 Brokerage Firms Agree to End Analysis Previews,2014-02-26T00:00,"The deal among firms including Citigroup, Goldman Sachs, JPMorgan Chase and Merrill Lynch means no clients will receive market-sensitive information ahead of others....",https://www.nytimes.com/2014/02/26/business/17-brokerage-firms-agree-to-end-analysis-previews.html
Break Up the Bank? It’s Not for You to Ask,2014-03-02T00:00,JPMorgan Chase is trying to stop a shareholder’s proposal from going to a vote at its annual meeting....,https://www.nytimes.com/2014/03/02/business/break-up-the-bank-its-not-for-you-to-ask.html
SAC Capital Plea and JPMorgan Earnings,2014-04-07T00:00,"A judge will consider the hedge fund SAC Capital Advisors’ guilty plea to insider trading charges on Thursday, and JPMorgan will release its first-quarter earnings on Friday....",https://www.nytimes.com/2014/04/07/business/sac-capital-plea-and-jpmorgan-earnings.html
"Nasdaq Falls Below 4,000 as Wall Street Sell-Off Continues ",2014-04-12T00:00,"Biotech and technology shares again led the Nasdaq lower, and JPMorgan’s disappointing earnings hit many bank stocks....",https://www.nytimes.com/2014/04/12/business/daily-stock-market-activity.html
Legal Costs Weigh Down U.S. Banks&#8217; Earnings ,2015-02-25T00:00,"Three of the biggest United States banks — JPMorgan Chase, Bank of America and Citigroup — together posted $4.4 billion in legal costs during the quarter....",https://www.nytimes.com/2015/02/25/business/legal-costs-weigh-down-us-banks-earnings.html
JPMorgan Chase Insists It&#8217;s Worth More as One Than in Pieces ,2015-02-25T00:00,"Faced with regulations that will raise its costs, JPMorgan spent investor day highlighting the ways it would not get any bigger &#8212; and would be better off remaining whole....",https://www.nytimes.com/2015/02/25/business/dealbook/jpmorgan-pushes-back-against-suggestion-of-split.html
Deutsche Bank Poaches Senior Banker From JPMorgan,2015-02-26T00:00,"The German firm said that it had hired Jeff Urwin, JPMorgan’s co-head of global banking, to help lead its core investment banking and trading units....",https://www.nytimes.com/2015/02/26/business/dealbook/deutsche-bank-poaches-senior-banker-from-jpmorgan.html
JPMorgan Chase’s Less-Than-Stellar Plan to Bolster Earnings,2015-02-26T00:00,"The bank says it will rely on growth, cost cuts and new fees, The approach just underscores what an unimpressive business big banking has become....",https://www.nytimes.com/2015/02/26/business/dealbook/jpmorgans-less-than-stellar-plan-to-boost-earnings.html
Argentina Bond Sale Is Suspended Amid Hedge Fund Pressure,2015-02-27T00:00,Demands by a federal judge in Manhattan are said to have led JPMorgan Chase and Deutsche Bank to pull back on their deal preparations....,https://www.nytimes.com/2015/02/27/business/dealbook/argentina-bond-sale-is-suspended-amid-hedge-fund-pressure.html
"At JPMorgan Chase, Business Tilts Toward the Consumer Side and Away From Wall St.",2015-03-03T00:00,The diverging prospects for JPMorgan&#8217;s biggest businesses are reflective of a split within the broader financial industry....,https://www.nytimes.com/2015/03/03/business/dealbook/at-jpmorgan-chase-business-tilts-toward-consumer-side-and-away-from-wall-st.html
JPMorgan Promotes Two to Run Mergers in North America,2015-03-05T00:00,Anu Aiyengar and Henry Gosebruch will assume the newly created roles as JPMorgan continues to benefit from a strong deal-making environment....,https://www.nytimes.com/2015/03/05/business/dealbook/jpmorgan-promotes-two-to-run-mergers-in-north-america.html
Banks May Want to Consider Expiration Date for Top Job,2015-03-12T00:00,"The chief executives at JPMorgan Chase, Goldman Sachs and Wells Fargo need to be careful about sticking around too long....",https://www.nytimes.com/2015/03/12/business/dealbook/banks-may-want-to-consider-expiration-date-for-top-job.html
Former JPMorgan Executive Blythe Masters Joins Bitcoin-Related Start-Up,2015-03-12T00:00,"Ms. Masters, who once headed JPMorgan Chase’s commodities unit, is joining Digital Asset Holdings, a firm seeking to streamline financial transactions....",https://www.nytimes.com/2015/03/12/business/dealbook/former-jpmorgan-executive-blythe-masters-joins-bitcoin-related-start-up.html
What 3 Banks May Have Cut to Pass the Stress Tests,2015-03-13T00:00,"Goldman Sachs, Morgan Stanley and JPMorgan Chase all had to pay shareholders less than they had originally requested. Here is a back-of-the-envelope estimate of what was cut....",https://www.nytimes.com/2015/03/13/business/dealbook/what-3-banks-may-have-cut-to-pass-the-stress-tests.html
Authorities Closing In on Hackers Who Stole Data From JPMorgan Chase,2015-03-16T00:00,"Authorities anticipate capturing the architects of the JPMorgan Chase data breach, which they hope may turn the tide on such investigations, which often go unresolved....",https://www.nytimes.com/2015/03/16/business/dealbook/authorities-closing-in-on-hackers-who-stole-data-from-jpmorgan-chase.html
Morgan Stanley’s James Gorman Gets 25% Raise,2015-04-02T00:00,Total compensation of $22.5 million is more than Jamie Dimon’s at JPMorgan Chase but less than Lloyd Blankfein’s at Goldman Sachs....,https://www.nytimes.com/2015/04/02/business/dealbook/morgan-stanleys-james-gorman-gets-25-raise.html
Longtime G.E. Advisers Tapped Again for Plum Assignment,2015-04-11T00:00,JPMorgan Chase and Centerview Partners are in line to claim both large fees and great prestige in helping General Electric navigate its divestiture....,https://www.nytimes.com/2015/04/11/business/dealbook/longtime-ge-advisers-tapped-again-for-plum-assignment.html
JPMorgan and Wells Fargo Earnings; March Retail Sales,2015-04-13T00:00,"JPMorgan Chase and Wells Fargo on Tuesday will be the first major banks to report first-quarter earnings; the Commerce Department will release the closely watched retail data that day, as well....",https://www.nytimes.com/2015/04/13/business/jpmorgan-and-wells-fargo-earnings-march-retail-sales.html
JPMorgan Names Senior Executives for Europe,2015-04-14T00:00,"Emilio Saracho, who has been the deputy chief executive for the investment bank’s Europe, Middle East and Africa business, will become a vice chairman....",https://www.nytimes.com/2015/04/14/business/dealbook/jpmorgan-names-senior-executives-for-europe.html
Results at Wells Fargo and JPMorgan Show Slower Consumer Banking,2015-04-15T00:00,"Wells Fargo reported a rare decline in first-quarter profit, and JPMorgan Chase lifted its overall performance in the quarter....",https://www.nytimes.com/2015/04/15/business/dealbook/results-at-wells-fargo-and-jpmorgan-show-slower-consumer-banking.html
JPMorgan Chase Profit Rises 12% on Strong Trading,2015-04-15T00:00,The bank experienced rebounds in some of the big businesses that had been lagging and fueling criticism of the company....,https://www.nytimes.com/2015/04/15/business/dealbook/jpmorgan-chase-profit-rises-12-on-strong-trading.html
Former JPMorgan Chase Broker Charged in $20 Million Fraud,2015-04-17T00:00,Michael J. Oppenheim is accused of embezzling money from his clients over the last four years....,https://www.nytimes.com/2015/04/17/business/dealbook/former-jpmorgan-case-broker-charged-in-20-million-fraud.html
