headline,date,snippet,url
"The ‘No More Tears’ Shampoo, Now With No Formaldehyde",2014-01-18T00:00,"Johnson & Johnson’s Baby Shampoo no longer contains two potentially harmful chemicals, formaldehyde and 1,4-dioxane, that have come under increasing scrutiny by consumers....",https://www.nytimes.com/2014/01/18/business/johnson-johnson-takes-first-step-in-removal-of-questionable-chemicals-from-products.html
"Broader Market Climbs, but Dow Falters ",2014-01-22T00:00,"The Dow was pulled lower partly by Travelers, Verizon Communications and Johnson & Johnson, which fell even though all three reported earnings that exceeded expectations....",https://www.nytimes.com/2014/01/22/business/daily-stock-market-activity.html
Still No Expansion for Johnson & Johnson Blood Thinner,2014-02-15T00:00,The company said that the Food and Drug Administration rejected its application saying too much information was missing from studies to accurately gauge the drug’s benefit....,https://www.nytimes.com/2014/02/15/business/still-no-expansion-for-johnson-johnson-blood-thinner.html
Clean & Clear Videos Dare Not Speak Blemish’s Name,2014-03-13T00:00,Johnson & Johnson’s new campaign for the skin-care product Clean & Clear uses nonactors and focuses on girls who pursue expectation-defying passions....,https://www.nytimes.com/2014/03/13/business/media/clean-clear-videos-dare-not-speak-blemishs-name.html
Arkansas Court Reverses $1.2 Billion Judgment Against Johnson & Johnson,2014-03-21T00:00,"In a fraud case involving Risperdal, the court said the state&#8217;s attorney general erred by suing under a law that applied to health care facilities, not drug companies....",https://www.nytimes.com/2014/03/21/business/arkansas-court-reverses-1-2-billion-judgment-against-johnson-johnson.html
Johnson & Johnson Suspends Global Sales of Fibroid Surgery Device,2014-05-01T00:00,The company said it was suspending sale of power morcellators until their role in treatment is better understood and redefined....,https://www.nytimes.com/2014/05/01/business/johnson-johnson-suspends-global-sales-of-fibroid-surgery-device.html
Sales of New Drugs Increase Johnson & Johnson Profit 13%,2014-07-16T00:00,"The company raised its 2014 profit forecast for the second time since January, again up by a nickel to a range of $5.85 to $5.92 per share, excluding one-time items....",https://www.nytimes.com/2014/07/16/business/sales-of-new-drugs-increase-johnson-johnson-profit-13.html
Johnson & Johnson Praised for Taking Uterine Surgery Tools Off Market,2014-08-01T00:00,"The company&#8217;s Ethicon unit, responding to safety concerns, asked that hospitals return three models of power morcellators, which are used to remove fibroids....",https://www.nytimes.com/2014/08/01/business/johnson-johnson-wins-praise-for-pulling-uterine-surgery-devices.html
Adapting Listerine to a Global Market,2014-09-13T00:00,"With products like Listerine Zero, popular where alcohol is forbidden, and Green Tea Listerine, big in Asia, Johnson & Johnson is trying to appeal to foreign tastes....",https://www.nytimes.com/2014/09/13/business/adapting-listerine-to-a-global-market.html
Johnson &amp; Johnson to Sell Cordis Unit for Nearly $2 Billion,2015-03-03T00:00,"The sale to Cardinal Health is the latest divestiture for Johnson & Johnson, which is gradually pruning its portfolio of health care products....",https://www.nytimes.com/2015/03/03/business/dealbook/johnson-johnson-to-sell-cordis-unit-for-nearly-2-billion.html
Why AbbVie May Have Overpaid for Cancer Drug Maker,2015-03-06T00:00,"With a $21 billion deal, the pharmaceutical giant gets a blockbuster drug, but at a high cost: It must share profits with rival Johnson & Johnson....",https://www.nytimes.com/2015/03/06/business/dealbook/why-abbvie-may-have-overpaid.html
Eager to Opine on the Toughest Calls in Medical Ethics,2015-05-07T00:00,"Arthur Caplan, who has built a career advising doctors on difficult moral issues, will help Johnson & Johnson decide which patients receive experimental drugs....",https://www.nytimes.com/2015/05/07/business/eager-to-opine-on-the-toughest-calls-in-medical-ethics.html
Company Creates Bioethics Panel on Trial Drugs,2015-05-07T00:00,Johnson & Johnson named the bioethicist Arthur L. Caplan to create a panel to decide on patients’ requests for lifesaving medicines before they are approved....,https://www.nytimes.com/2015/05/07/business/company-creates-bioethics-panel-on-trial-drugs.html
Market Adds to Winning Streak as Investors Shrug Off Weak Data,2015-07-15T00:00,"Retail sales fell in June, the government said. But JPMorgan and Johnson & Johnson reported results that beat estimates....",https://www.nytimes.com/2015/07/15/business/daily-stock-market-activity.html
F.D.A. Asks If Faulty Blood Monitor Tainted Xarelto Approval,2016-02-23T00:00,A legal brief says Johnson & Johnson has been asked whether Alere’s recalled INRatio blood-testing monitor compromised the anticlotting drug’s trial....,https://www.nytimes.com/2016/02/23/business/fda-asks-if-faulty-blood-monitor-tainted-xarelto-approval.html
Document Claims Drug Makers Deceived a Top Medical Journal,2016-03-02T00:00,Filings in a case against Bayer and Johnson & Johnson over the blood-thinning drug Xarelto said the companies helped mislead editors at The New England Journal of Medicine....,https://www.nytimes.com/2016/03/02/business/document-claims-drug-makers-deceived-a-top-medical-journal.html
"Ralph S. Larsen, Builder of Giant Johnson &amp; Johnson, Dies at 77",2016-03-13T00:00,"Mr. Larsen rose through the ranks to serve as chairman and chief executive of Johnson & Johnson from 1989 to 2002, expanding the company into a multinational giant....",https://www.nytimes.com/2016/03/13/business/ralph-s-larsen-builder-of-giant-johnson-johnson-dies-at-77.html
Johnson & Johnson Has Its Eye on Actelion,2016-11-25T21:22,"But the market capitalization of Actelion, a Swiss drug maker, is high, so Johnson & Johnson would have to cut costs to make a deal work....",https://www.nytimes.com/2016/11/25/business/dealbook/johnson-johnson-actelion.html
Johnson & Johnson Must Pay 6 Implant Patients $1 Billion,2016-12-02T00:48,"A federal jury found that metal-on-metal Pinnacle hip implants were defectively designed, and that the company did not warn consumers of the risks....",https://www.nytimes.com/2016/12/01/business/johnson-johnson-must-pay-6-implant-patients-1-billion.html
Johnson & Johnson and Actelion Confirm Merger Talks Are Back On,2016-12-21T19:17,They both cautioned that there was no assurance that an actual transaction would be signed as a result of these talks....,https://www.nytimes.com/2016/12/21/business/dealbook/johnson-johnson-and-actelion-confirm-merger-talks-are-back-on.html
Courts Reverse Johnson’s Baby Powder Judgments for Nearly $500 Million,2017-10-23T20:55,"The decisions came in two cases against Johnson & Johnson, in which women claimed they developed ovarian cancer after using baby powder for years.",https://www.nytimes.com/2017/10/23/business/johnson-talc-cancer.html
