headline,date,snippet,url
McDonald&#8217;s Issues Warning As Sales Disappoint Again ,2014-01-24T00:00,The world&#8217;s biggest restaurant chain warned that sales would again fall short of analysts&#8217; expectations in January....,https://www.nytimes.com/2014/01/24/business/mcdonalds-reports-weak-quarterly-sales.html
"McDonald’s Opens in Vietnam, Bringing Big Mac to Fans of Banh Mi",2014-02-08T00:00,"The fast-food giant is opening its first restaurant in the country, which some see as one of Asia’s last consumer markets with significant untapped potential....",https://www.nytimes.com/2014/02/08/business/international/mcdonalds-chooses-its-moment-in-vietnam.html
McDonald’s Blames Winter for Sour U.S. Sales Figures,2014-02-11T00:00,"The world’s biggest hamburger chain says bad weather hurt its sales performance in January, with sales at established United States locations falling 3.3 percent last month....",https://www.nytimes.com/2014/02/11/business/mcdonalds-blames-winter-for-sour-us-sales-figures.html
"Western Businesses in Russia, Watchful and Wary",2014-03-08T00:00,"American players including Pepsi and McDonald’s are active in Russia. But for many West European businesses, that market is even more crucial....",https://www.nytimes.com/2014/03/08/business/international/western-businesses-in-russia-are-watchful-and-wary.html
McDonald’s Sales Fall 1.4% at Established U.S. Sites,2014-03-11T00:00,"The company blamed the harsh weather, but conceded that “challenging industry dynamics” also played a role in a drop in sales at established United States locations....",https://www.nytimes.com/2014/03/11/business/mcdonalds-sales-fall-1-4-at-established-us-sites.html
McDonald’s Workers File Wage Suits in 3 States,2014-03-14T00:00,The employees charge that the fast-food giant’s practices and requirements reduced their pay below the federal minimum wage of $7.25 an hour....,https://www.nytimes.com/2014/03/14/business/mcdonalds-workers-in-three-states-file-suits-claiming-underpayment.html
Accounts and People of Note in the Advertising Industry,2014-04-07T00:00,McDonald’s has been chosen to receive the 2014 Creative Marketer of the Year Award at the Cannes Lions International Festival of Creativity in June....,https://www.nytimes.com/2014/04/07/business/media/accounts-and-people-of-note-in-the-advertising-industry.html
McDonald’s Profit Declines as U.S. Sales Weaken,2014-04-23T00:00,McDonald’s said Tuesday that its profit slipped in the first quarter as global sales remained weak for the world’s biggest hamburger chain....,https://www.nytimes.com/2014/04/23/business/international/mcdonalds-profit-declines-as-us-sales-weaken.html
"In Florida Tomato Fields, a Penny Buys Progress",2014-04-25T00:00,"A group of dedicated farmworkers enlisted companies like McDonald’s, Walmart and Yum Brands to press tomato growers for better conditions....",https://www.nytimes.com/2014/04/25/business/in-florida-tomato-fields-a-penny-buys-progress.html
"Coke and McDonald&#8217;s, Growing Together Since 1955 ",2014-05-16T00:00,"The beverage maker and the fast-food chain have had close ties since 1955, to the point where Coca-Cola even has a McDonald&#8217;s division....",https://www.nytimes.com/2014/05/16/business/coke-and-mcdonalds-working-hand-in-hand-since-1955.html
Arrests in Fast-Food Protest at McDonald’s Headquarters,2014-05-22T00:00,More than 100 protesters were arrested after crossing a barricade Wednesday during demonstrations to call attention to the low pay earned by fast-food workers....,https://www.nytimes.com/2014/05/22/business/arrests-in-fast-food-protest-at-mcdonalds-headquarters.html
McDonald’s Chief Answers Shareholders on Worker Pay,2014-05-23T00:00,"As protesters outside chanted for higher wages, Don Thompson told an audience that the company had a heritage of providing job opportunities that led to “real careers.”...",https://www.nytimes.com/2014/05/23/business/mcdonalds-chief-answers-shareholders-on-worker-pay.html
Q. and A. With Stuart Elliott,2014-05-27T00:00,Questions about ads for McDonald’s and Ford....,https://www.nytimes.com/2014/05/27/business/media/q-and-a-with-stuart-elliott.html
