headline,date,snippet,url
"Profit Drops 14% at Merck, Just Below Wall St. Forecast",2014-02-06T00:00,"The company reported net income of $781 million, or 26 cents a share, down from $908 million, or 30 cents a share, a year earlier....",https://www.nytimes.com/2014/02/06/business/profit-drops-14-at-merck-just-below-wall-st-forecast.html
 Dow and S.&amp;P. Reach Highs On Reports of Merger Deals,2014-06-10T00:00,"Mergers involving Merck and Idenix Pharmaceuticals, and Analog Devices and Hittite Microwave, among other companies, prompted investors to buy some stocks....",https://www.nytimes.com/2014/06/10/business/daily-stock-market-activity.html
Merck Sales Down 4%; Profit Beats Forecasts ,2014-10-28T00:00,"The pharmaceutical company&#8217;s earnings beat expectations, however, helped by sales of the diabetes drug Januvia and revenue in emerging markets....",https://www.nytimes.com/2014/10/28/business/merck-reports-third-quarter-earnings.html
Cancer Drugs That Free Brake on Immune System Show Promise for Hodgkin&#8217;s,2014-12-07T00:00,"In two early stage studies, Bristol-Myers Squibb&#8217;s nivolumab and Merck&#8217;s pembrolizumab shrank tumors in patients with Hodgkin&#8217;s lymphoma....",https://www.nytimes.com/2014/12/07/business/cancer-drugs-that-free-brake-on-immune-system-show-promise-for-hodgkins.html
Hospital Pauses Test of an Ebola Vaccine Licensed to Merck,2014-12-12T00:00,"The hospital said it would halt injections of a vaccine licensed to Merck until next month, after some test subjects reported mild joint pain....",https://www.nytimes.com/2014/12/12/business/geneva-hospital-pauses-test-of-an-ebola-vaccine.html
Trial of 2 Ebola Vaccines’ Effectiveness Is Announced,2015-01-23T00:00,"Tests of drugs developed by GlaxoSmithKline and Merck are expected to begin in Liberia in two weeks, federal officials said....",https://www.nytimes.com/2015/01/23/business/international/trial-of-2-ebola-vaccines-effectiveness-is-announced.html
Merck Expects Delay for a Hepatitis C Therapy,2015-02-05T00:00,The company said regulators intended to rescind the “breakthrough therapy” designation for its treatment because other new drugs were available....,https://www.nytimes.com/2015/02/05/business/merck-expects-delay-for-a-hepatitis-c-therapy.html
U.S. Expands Approval of Merck Lung Cancer Drug ,2015-10-03T00:00,Federal health officials on Friday expanded approval of an innovative Merck drug to treat patients with an advanced form of the most common lung cancer....,https://www.nytimes.com/2015/10/03/business/us-expands-approval-of-merck-lung-cancer-drug.html
Hepatitis C Drug From Merck Is Approved,2016-01-29T00:00,"American regulators approved a new once-daily pill for the liver-destroying virus made by Merck, which said it would sell the drug at a lower list price than its competitors....",https://www.nytimes.com/2016/01/29/business/hepatitis-c-drug-from-merck-is-approved.html
Merck Wins Hepatitis C Drug Patent Claim Against Gilead,2016-03-23T00:00,"A jury upheld the validity of Merck patents in a dispute with Gilead Sciences, which could be forced to hand over a portion of the billions of dollars it has made on hepatitis C drugs....",https://www.nytimes.com/2016/03/23/business/merck-wins-hepatitis-c-drug-patent-claim-against-gilead.html
Gilead Ordered to Pay Merck $200 Million in Patent Dispute,2016-03-25T00:00,A federal jury on Thursday ordered Gilead Sciences to pay for infringing two Merck patents related to a lucrative cure for hepatitis C....,https://www.nytimes.com/2016/03/25/business/gilead-ordered-to-pay-merck-200-million-in-patent-dispute.html
