headline,date,snippet,url
Economic Reports for the Week of Jan. 20,2014-01-20T00:00,"The World Economic Forum will take place in Davos, Switzerland; the European Commission will publish its proposals on climate change policy; and Microsoft will release its earnings....",https://www.nytimes.com/2014/01/20/business/economy/economic-reports-for-the-week-of-jan-20.html
Nokia Struggles to Project a Bright Future Without Phones,2014-01-24T00:00,"The firm, which is selling its handset business to Microsoft, announced a fourth-quarter loss of $34 million, adjusted to exclude its phone unit....",https://www.nytimes.com/2014/01/24/business/international/Nokia-Reports-Fourth-Quarter-Earnings.html
Microsoft’s Stakes in the Battle for Handsets,2014-02-15T00:00,"Trying to ensure the survival of Windows in a mobile universe, Microsoft enters a complex struggle, while Google abandons a money-losing handset unit....",https://www.nytimes.com/2014/02/15/business/microsoft-plunges-into-handset-battle-as-google-withdraws.html
"Satya Nadella, Chief of Microsoft, on His New Role",2014-02-21T00:00,"In his first interview since taking over as chief executive of Microsoft, Satya Nadella talks about leadership, the future and Bill Gates....",https://www.nytimes.com/2014/02/21/business/satya-nadella-chief-of-microsoft-on-his-new-role.html
Ex-Clinton Aide Is Named Microsoft’s Chief Strategy Officer,2014-03-03T00:00,"Mark Penn, who was once a political operative and has handled the company’s advertising, will become its chief strategy officer; two other executives will depart the company....",https://www.nytimes.com/2014/03/03/business/mark-penn-ex-clinton-aide-moves-in-a-shake-up-at-microsoft.html
"Microsoft to Lay Off Thousands, Most From Nokia Unit",2014-07-18T00:00,"The company said about 14 percent of its work force would be eliminated, largely in the mobile phone business it acquired from Nokia....",https://www.nytimes.com/2014/07/18/business/microsoft-to-cut-up-to-18000-jobs.html
Market Closes on Wall Street With Little Change,2014-07-24T00:00,Bullish earnings from companies like Apple and Microsoft were offset by apprehension over conflicts in Ukraine and the Gaza Strip....,https://www.nytimes.com/2014/07/24/business/daily-stock-market-activity.html
"With Microsoft in Sights, China Starts to Squeeze U.S. Tech Companies",2014-07-29T00:00,"An agency that enforces antimonopoly laws visited company offices in four cities, as the country more closely scrutinizes multinational companies....",https://www.nytimes.com/2014/07/29/business/microsoft-offices-in-china-are-targets-of-authorities-visits.html
China Investigating Microsoft for ‘Monopolistic Behavior’,2014-07-30T00:00,"An announcement by the state antimonopoly agency confirmed that Microsoft was under scrutiny, and said that officials had conducted surprise visits to company offices across China....",https://www.nytimes.com/2014/07/30/business/international/china-confirms-investigation-of-microsoft-on-possible-monopoly-violations.html
China Tells Microsoft Not to Interfere With Inquiry,2014-08-05T00:00,A government agency investigating complaints against the company issued a statement “officially warning” the firm to obey Chinese law....,https://www.nytimes.com/2014/08/05/business/international/china-tells-microsoft-not-to-interfere-with-antitrust-inquiry.html
China’s Energetic Enforcement of Antitrust Rules Alarms Foreign Firms,2014-08-11T00:00,"The increasing application of antimonopoly laws, against companies like Microsoft and Qualcomm, has raised concern in boardrooms around the world....",https://www.nytimes.com/2014/08/11/business/international/china8217s-energetic-enforcement-of-antitrust-rules-alarms-foreign-firms.html
Sales of Sony’s PlayStation 4 Climb Past 10 Million,2014-08-13T00:00,"The console went on sale Nov. 29 in the United States, Western Europe and Latin America, around the same time that its rival Microsoft released its Xbox One....",https://www.nytimes.com/2014/08/13/business/sales-of-playstation-4-climb-past-10-million.html
"In Suburban Seattle, New Nests for China&#8217;s Rich ",2014-09-21T00:00,The land of Microsoft’s millionaires is now making room for Beijing’s. Wealthy Chinese have become the biggest foreign buyers of area real estate....,https://www.nytimes.com/2014/09/21/business/in-suburban-seattle-new-nests-for-chinas-rich.html
Microsoft and Other Firms Pledge to Protect Student Data,2014-10-07T00:00,The participating companies are publicly committing themselves not to sell information on kindergartners through 12th graders....,https://www.nytimes.com/2014/10/07/business/microsoft-and-other-firms-pledge-to-protect-student-data.html
"Russian Hackers Used Bug in Microsoft Windows for Spying, Report Says",2014-10-15T00:00,"The targets were often linked to the standoff in Ukraine, said iSight Partners, the computer security firm that released the report....",https://www.nytimes.com/2014/10/15/business/international/russian-hackers-used-bug-in-microsoft-windows-for-spying-report-says.html
Tech Giants’ Earnings and Eurozone Bank Stress Tests,2014-10-20T00:00,"Apple, IBM, Microsoft and Yahoo will report quarterly results, and the results of the eurozone banks’ tests are approaching....",https://www.nytimes.com/2014/10/20/business/tech-giants-earnings-and-eurozone-bank-stress-tests.html
Paul Allen to Give $100 Million to Tackle Ebola Crisis,2014-10-24T00:00,The Microsoft co-founder said he hoped to help coordinate disparate fund-raising efforts....,https://www.nytimes.com/2014/10/24/business/paul-allen-to-give-100-million-to-tackle-ebola-crisis.html
Microsoft Jumps Into the Growing Market for Wearable Fitness Technology,2014-10-30T00:00,Microsoft is joining the companies who see wearables as a way into the wellness business without all the red tape that comes from being a true medical company....,https://www.nytimes.com/2014/10/30/business/microsoft-jumps-into-the-growing-market-for-wearable-fitness-technology.html
Microsoft Hopes This Video Game Collection Wings Its Way to Success,2014-11-10T00:00,"A campaign that rivals the promotion of a major movie is underway for Halo: The Master Chief Collection, a set of four Xbox video games....",https://www.nytimes.com/2014/11/10/business/media/microsoft-hopes-this-video-game-collection-wings-its-way-to-success.html
"Satya Nadella, Microsoft Chief, to Get $84 Million Pay Package",2014-12-04T00:00,Microsoft shareholders approved the pay package despite concerns raised by an investor advisory group....,https://www.nytimes.com/2014/12/04/business/satya-nadella-microsoft-chief-to-get-84-million-pay-package.html
Barnes &amp; Noble and Microsoft End Nook Partnership,2014-12-05T00:00,"The announcement came as the chain announced a 2.7 percent drop in revenue overall, but a 41 percent skid in its Nook division sales....",https://www.nytimes.com/2014/12/05/business/media/barnes-noble-ends-partnership-with-microsoft-over-nook.html
Ford Trades Microsoft for BlackBerry in Revamping In-Car System ,2014-12-12T00:00,The new system is meant to streamline the complex web of menus and replace it with a more intuitive one akin to a smartphone....,https://www.nytimes.com/2014/12/12/business/ford-trades-microsoft-for-blackberry-in-revamping-in-car-system.html
"Sony Streams ‘The Interview’ on YouTube, Google Play and Xbox",2014-12-25T00:00,"In getting behind &#8220;The Interview,&#8221; Google and Microsoft joined what had become more a campaign to defend free speech against foreign intimidation than a business initiative....",https://www.nytimes.com/2014/12/25/business/sony-the-interview-online-streaming.html
Unease for What Microsoft’s HoloLens Will Mean for Our Screen-Obsessed Lives,2015-01-26T00:00,"Something about Microsoft&#8217;s new HoloLens technology feels unnerving, especially when considered against the dark television series &#8220;Black Mirror.&#8221;...",https://www.nytimes.com/2015/01/26/business/media/unease-for-what-microsofts-hololens-will-mean-for-our-screen-obsessed-lives.html
"How, and Why, Apple Overtook Microsoft",2015-01-30T00:00,"With the latest earnings reports from Microsoft and Apple, the once-unthinkable became reality: Apple’s market capitalization hit $683 billion, more than double Microsoft’s $338 billion....",https://www.nytimes.com/2015/01/30/business/how-and-why-apple-overtook-microsoft.html
Former Microsoft Executive Nancy Tellem to Join Interlude Start-Up,2015-04-23T00:00,"Ms. Tellem will be chief media officer and executive chairwoman of the start-up, best known for an interactive music video of Bob Dylan’s “Like a Rolling Stone.”...",https://www.nytimes.com/2015/04/23/business/media/former-microsoft-executive-nancy-tellem-to-join-interlude-start-up.html
Market Closes Slightly Higher on Tech Earnings,2015-04-25T00:00,"Stock indexes edged up a bit, helped by gains in big technology companies including Google, Amazon and Microsoft....",https://www.nytimes.com/2015/04/25/business/daily-stock-market-activity.html
Salesforce’s Slow Growth May Prompt Hunt for a Buyer,2015-05-01T00:00,"Oracle and Microsoft want to increase cloud capacity, making them possible suitors....",https://www.nytimes.com/2015/05/01/business/dealbook/salesforces-slow-growth-may-prompt-hunt-for-a-buyer.html
Would Salesforce Make Sense for Microsoft?,2015-05-07T00:00,"Buying the cloud-based customer-service software could make businesses less likely to ditch Office. It might, however, cost Microsoft some $60 billion....",https://www.nytimes.com/2015/05/07/business/dealbook/would-salesforce-make-sense-for-microsoft.html
University of Washington and Chinese University Unite to Form Technology Institute ,2015-06-19T00:00,"With $40 million from Microsoft, the Global Innovation Exchange will open in fall 2016, and offer a master&#8217;s degree in technology innovation....",https://www.nytimes.com/2015/06/19/business/university-of-washington-and-chinese-university-unite-to-form-technology-institute.html
AOL in Deal With Microsoft to Take Over Display Ad Business,2015-06-30T00:00,"AOL will take over management and sales of display, mobile and video advertising that appears on Xbox, Skype and other Microsoft products in several countries....",https://www.nytimes.com/2015/06/30/business/aol-in-deal-with-microsoft-to-take-over-display-ad-business.html
Microsoft’s Write-Down on Nokia Adds to String of Merger Missteps,2015-07-09T00:00,Microsoft’s attempts to move beyond its core strength in business software through acquisitions has cost it about $14 billion in write-downs over the last three years....,https://www.nytimes.com/2015/07/09/business/dealbook/microsofts-write-down-on-nokia-adds-to-string-of-merger-missteps.html
Disappointment in Tech Stocks Sends the Market Down Again,2015-07-23T00:00,"Weak showings from Apple, Microsoft and other companies pulled stocks lower in afternoon trading, pointing the market toward another loss....",https://www.nytimes.com/2015/07/23/business/daily-stock-market-activity.html
"In Microsoft’s Nokia Debacle, a View of an Industry’s Feet of Clay",2015-07-31T00:00,"The technology business is especially vulnerable to rapid, unforeseen transformation, sometimes leading to the mass extinction of giant companies....",https://www.nytimes.com/2015/07/31/business/in-microsofts-nokia-debacle-a-view-of-an-industrys-feet-of-clay.html
Salesforce Ventures and Microsoft Join Informatica Buyout,2015-08-07T00:00,"The two companies, partners of the enterprise software maker, will take ownership stakes in the biggest leveraged buyout of the year....",https://www.nytimes.com/2015/08/07/business/dealbook/salesforce-ventures-and-microsoft-join-informatica-buyout.html
American Express May Get Same Treatment as Microsoft From ValueAct Capital  ,2015-09-05T00:00,The activist investor ValueAct Capital’s best bet for shaking up the card and payments giant might also be going after the chief executive....,https://www.nytimes.com/2015/09/05/business/dealbook/american-express-may-get-same-treatment-as-microsoft-from-valueact-capital.html
New Microsoft Office With Continual Updates ,2015-09-23T00:00,"The company will begin shipping Office 2016, an overhaul of the software suite, which offers apps like Word, PowerPoint, Excel, OneNote and Outlook....",https://www.nytimes.com/2015/09/23/business/new-microsoft-office-with-continual-updates.html
Microsoft Leads Movement to Offset Emissions With Internal Carbon Tax  ,2015-09-27T00:00,"A mixture of moral conviction, economic forecasting and expectations of tougher regulations has spurred Microsoft and others to track their energy use....",https://www.nytimes.com/2015/09/27/business/energy-environment/microsoft-leads-movement-to-offset-emissions-with-internal-carbon-tax.html
