headline,date,snippet,url
"Sales Surging Ahead of World Cup, Nike Posts a Higher Profit",2014-03-21T00:00,"Total revenue rose 12.7 percent to $6.97 billion for the quarter ended Feb. 28, above the $6.69 billion analysts were expecting, according to Thomson Reuters....",https://www.nytimes.com/2014/03/21/business/sales-surging-ahead-of-world-cup-nike-posts-a-higher-profit.html
Accounts and People of Note in the Advertising Industry,2014-05-05T00:00,Budweiser and Nike are named to the Association of Music Producers Hall of Fame for their use of music in marketing their brands....,https://www.nytimes.com/2014/05/05/business/media/accounts-and-people-of-note-in-the-advertising-industry.html
Nike and Manchester United Set to End Equipment Partnership,2014-07-10T00:00,"The company, which signed a 13-year, £300-plus million contract in 2002, said that it would end its role as the team’s primary equipment manufacturer....",https://www.nytimes.com/2014/07/10/business/international/nike-and-manchester-united-set-to-end-partnership.html
News of Nike&#8217;s Profit Lifts the Dow,2014-09-27T00:00,"The markets rebounded after a roller coaster week, with the Dow swinging more than 100 points on all five days....",https://www.nytimes.com/2014/09/27/business/daily-stock-market-activity.html
"Despite Stronger Dollar, Profit is Up 16% at Nike ",2015-03-20T00:00,"Net income rose to $791 million as demand for Jordan, LeBron, Kobe and KD shoes remained strong in the United States....",https://www.nytimes.com/2015/03/20/business/despite-stronger-dollar-profit-is-up-16-at-nike.html
Rising Oil and Solid Earnings Push the Market Higher,2015-03-21T00:00,The markets were helped by a recovery in the price of oil and earnings from Darden Restaurants and Nike....,https://www.nytimes.com/2015/03/21/business/daily-stock-market-activity.html
Obama Chooses Nike Headquarters to Make His Pitch on Trade,2015-05-08T00:00,"While labor activists have criticized the apparel maker, Nike says that it has learned from its mistakes and that freer trade would benefit Americans....",https://www.nytimes.com/2015/05/08/business/obama-chooses-nike-headquarters-to-make-his-pitch-on-trade.html
Concerns in China and Greece Weigh on the Market,2015-06-27T00:00,"The Dow had modest gains, but the S.&P. 500 and Nasdaq dropped. Nike was up 4 percent after it reported earnings that beat analysts’ expectations....",https://www.nytimes.com/2015/06/27/business/daily-stock-market-activity.html
"Nike Chairman Philip Knight, Set to Exit, Wants Chief as Successor",2015-07-01T00:00,"Mark Parker, Mr. Knight’s choice for chairman, has been president and chief executive of the company since 2006....",https://www.nytimes.com/2015/07/01/business/nike-chairman-set-to-exit-wants-chief-as-successor.html
"Adidas Acquires Runtastic, a Maker of Fitness Apps and Devices",2015-08-06T00:00,"The deal, which values Runtastic at $239 million, will help Adidas better compete with rivals like Under Armour and Nike in wearable technology....",https://www.nytimes.com/2015/08/06/business/dealbook/adidas-acquires-runtastic-a-maker-of-fitness-apps-and-devices.html
Market Mixed Despite an Encouraging Report on Growth,2015-09-26T00:00,"G.D.P. rose faster in the spring than previously estimated, the government said. Nike jumped after its results easily beat analysts’ expectations....",https://www.nytimes.com/2015/09/26/business/daily-stock-market-activity.html
Nike Foresees $50 Billion in Sales in Five Years,2015-10-15T00:00,"Nike said it expected annual revenue to grow 63 percent to $50 billion by 2020, with sales in its women’s category set to double during the period....",https://www.nytimes.com/2015/10/15/business/nike-foresees-50-billion-in-sales-in-five-years.html
Nike Embraces Weather App in Campaign to Sell Gear Suited to Local Conditions,2015-10-29T00:00,"Starting next month, Nike will begin placing ads in the Weather Channel mobile app, suggesting apparel for consumers to buy based on the local weather....",https://www.nytimes.com/2015/10/29/business/nike-embraces-weather-app-in-campaign-to-sell-gear-suited-to-local-conditions.html
