headline,date,snippet,url
"Profit at Pfizer Plummets, but It Beats Expectations",2014-01-29T00:00,Generic competition and a revamping contributed to a 59 percent drop in the giant’s drug maker’s net income in the fourth quarter....,https://www.nytimes.com/2014/01/29/business/profit-at-pfizer-plummets-but-it-beats-expectations.html
Wall St. Climbs as Worries on Emerging Markets Fade,2014-01-29T00:00,"Earnings gains from big companies, like Pfizer, Comcast and D. R. Horton, helped lift the stock market...",https://www.nytimes.com/2014/01/29/business/daily-stock-market-activity.html
Guarded Optimism After Breast Cancer Drug Shows Promising Results,2014-04-07T00:00,"Palbociclib, a drug being developed by Pfizer, sharply cut the risk that advanced cancer would worsen among patients taking part in a Phase 2 study, researchers said....",https://www.nytimes.com/2014/04/07/business/breast-cancer-drug-shows-groundbreaking-results.html
Letting the Market Decide on Pfizer-AstraZeneca Deal,2014-05-05T00:00,"It may look as if Britain is trying to defend AstraZeneca from a hostile takeover by Pfizer, but in the end, market forces should be allowed to prevail....",https://www.nytimes.com/2014/05/05/business/international/letting-the-market-decide-on-pfizer-astrazeneca-deal.html
"Profit Off, Pfizer Again Aims to Lure AstraZeneca",2014-05-06T00:00,"Pfizer announced a 15 percent drop in earnings, and again pressed its suit for its rival, AstraZeneca....",https://www.nytimes.com/2014/05/06/business/pfizer-profit-tumbles-15.html
Pfizer to Apply for Breast Cancer Drug Approval,2014-05-17T00:00,"The company said it would apply for approval to use palbociclib with a drug called Femara, or letrozole, as an initial treatment for postmenopausal women with a certain type of advanced breast cancer....",https://www.nytimes.com/2014/05/17/business/pfizer-to-apply-for-breast-cancer-drug-approval.html
Pfizer to Inject Youth Into the Aging Process,2014-07-16T00:00,"The pharmaceutical company is hoping to bring a new acronym into the vernacular with FOGO, or fear of getting old....",https://www.nytimes.com/2014/07/16/business/media/pfizer-to-inject-youth-into-the-aging-process.html
"F.D.A. Approves Pfizer’s Trumenba, a Vaccine for a Rare Meningitis",2014-10-30T00:00,"The strain, known as serogroup B meningitis, infected students at Princeton and the University of California, Santa Barbara last year....",https://www.nytimes.com/2014/10/30/business/fda-approves-vaccine-for-rare-meningitis.html
Pfizer and Aid Groups Team Up on Depo-Provera Contraceptive for Developing World,2014-11-14T00:00,Groups including the Bill and Melinda Gates Foundation aim to help bring an easier-to-inject form of Depo-Provera to 69 developing countries....,https://www.nytimes.com/2014/11/14/business/pfizer-and-aid-groups-team-up-on-depo-provera-for-developing-world.html
Pfizer Breast Cancer Drug Wins Federal Approval ,2015-02-04T00:00,The Food and Drug Administration approved Ibrance for women who have tumors that do not contain a protein known as HER-2....,https://www.nytimes.com/2015/02/04/business/pfizer-breast-cancer-drug-wins-federal-approval.html
