headline,date,snippet,url
Popularity of Stubble Drags on Profit at Procter & Gamble,2014-01-25T00:00,The company said a growing preference of men for mustaches and beards drove down sales in its grooming segment....,https://www.nytimes.com/2014/01/25/business/popularity-of-stubble-drags-on-profit-at-procter-gamble.html
Procter & Gamble Cuts Earnings Forecast for Year,2014-02-12T00:00,"The largest household products maker, cut its sales and earnings outlook to reflect the devaluation of currencies in various developing markets....",https://www.nytimes.com/2014/02/12/business/procter-gamble-cuts-earnings-forecast-for-year.html
Former Rivals Come Together in a Campaign to End Childhood Hunger,2014-03-11T00:00,"Procter & Gamble and ConAgra, two consumer-product giants that once battled each other for market share, are combining their ad dollars to advance a good cause....",https://www.nytimes.com/2014/03/11/business/media/former-rivals-come-together-in-a-campaign-to-end-childhood-hunger.html
"Richard Black, 92, Artist Who Conjured ‘Mr. Clean,’ Dies",2014-04-04T00:00,"Mr. Black, a commercial artist, drafted the original rendering of Procter & Gamble’s trademark “genie in a bottle.”...",https://www.nytimes.com/2014/04/03/business/richard-black-92-dies-first-illustrator-of-mr-clean.html
Q. and A. With Stuart Elliott,2014-07-14T00:00,"A New York-only campaign for Procter & Gamble products, and Kenny Rogers is a good sport for Geico....",https://www.nytimes.com/2014/07/14/business/media/q-and-a-with-stuart-elliott.html
"Cleaning House, P.&amp;G. Plans Duracell Spinoff",2014-10-25T00:00,"After a weak first quarter, Procter & Gamble said it would get rid of about half of its portfolio of brands, including Duracell batteries....",https://www.nytimes.com/2014/10/25/business/Procter-Gamble-Quarterly-Earnings-Report.html
Surge in Smartphones Sets Off New Wave of Corporate Self-Reinvention,2015-03-09T00:00,"Companies like Ford, Procter & Gamble, Under Armour and the Spanish bank BBVA are working to outmaneuver start-ups for dominance on mobile devices....",https://www.nytimes.com/2015/03/09/business/surge-in-smartphones-sets-off-new-wave-of-corporate-self-reinvention.html
Crest Is Fined Nearly $1 Million in China,2015-03-11T00:00,"In an era of heightened Chinese scrutiny of foreign companies, a regulator in Shanghai said the Procter & Gamble brand had used false advertising....",https://www.nytimes.com/2015/03/11/business/international/crest-is-fined-nearly-1-million-in-china.html
Procter &amp; Gamble Earnings Hurt by Low Sales Volume,2015-07-31T00:00,Procter & Gamble’s sales fell for the sixth straight quarter as it was weighed down by softer sales volume and unfavorable currency exchange rates....,https://www.nytimes.com/2015/07/31/business/procter-gamble-earnings-hurt-by-low-sales-volume.html
"Market Drifts as Investors Get Good News, and News Not So Good",2015-07-31T00:00,"Shares of Procter & Gamble and Facebook fell after disappointing earnings, but a government report showed the economy rebounded in the second quarter....",https://www.nytimes.com/2015/07/31/business/daily-stock-market-activity.html
"Under Pressure, Feminine Product Makers Disclose Ingredients",2015-10-27T00:00,"Procter & Gamble, the maker of Tampax, and Kimberly-Clark, the maker of Kotex, yield to public concern about materials in their pads and tampons....",https://www.nytimes.com/2015/10/27/business/under-pressure-feminine-product-makers-disclose-ingredients.html
"Procter &amp; Gamble, the World’s Biggest Advertiser, Switches Agencies",2015-12-08T00:00,Procter & Gamble announced it was moving the bulk of its North American media buying and planning business to Omnicom from Publicis Groupe....,https://www.nytimes.com/2015/12/08/business/media/procter-gamble-the-worlds-biggest-advertiser-switches-agencies.html
"As the Price of Oil Climbs Higher, the Broader Market Follows",2016-01-27T00:00,"Bank shares were climbing, too, and consumer stocks received a lift from strong fourth-quarter results from companies like Procter & Gamble and Coach....",https://www.nytimes.com/2016/01/27/business/daily-stock-market-activity.html
"He Buys a Lot of Ads, and He’s Frustrated With Digital",2017-04-09T21:48,"Marc S. Pritchard, chief brand officer for Procter & Gamble, is leading demands for more data on where ads appear and how views are measured....",https://www.nytimes.com/2017/04/09/business/media/marc-pritchard-procter-gamble-digital-advertising.html
150 Executives Commit to Fostering Diversity and Inclusion,2017-06-12T04:01,A new initiative will have executives at companies like PricewaterhouseCoopers and Procter & Gamble share how to promote open discussion among employees....,https://www.nytimes.com/2017/06/12/business/dealbook/work-racist-sexism-diversity.html
Procter & Gamble’s Board Could Use a Fresh Member,2017-07-17T18:54,"Given the challenges at Procter & Gamble, its shareholders should consider the assistance of Trian Partners....",https://www.nytimes.com/2017/07/17/business/dealbook/procter-gamble-board-nelson-peltz.html
Morning Agenda: Peltz Challenges Procter & Gamble,2017-07-17T10:49,"Nelson Peltz’s Trian has begun a proxy fight at the consumer products giant, the biggest yet waged by an activist shareholder....",https://www.nytimes.com/2017/07/17/business/dealbook/morning-agenda-brexit-theresa-may-philip-hammond.html
Procter & Gamble and Peltz Spar Over Who Won: DealBook Briefing,2017-10-11T11:29,"Even if the company prevails in the costliest board fight ever, that fact that many big investors sided with Mr. Peltz highlights the power of activists.",https://www.nytimes.com/2017/10/11/business/dealbook/procter-gamble-nelson-peltz.html
Procter & Gamble’s Count Shows How Close Proxy Vote Was,2017-10-17T01:37,"The activist investor Nelson Peltz lost his bid for a board seat by a mere 0.2 percent of the shareholder vote, the company said.",https://www.nytimes.com/2017/10/16/business/procter-gamble-nelson-peltz.html
