headline,date,snippet,url
Companies Test Plans to Cut Their Health Costs,2014-03-07T00:00,"Some employers are offering as many as 25 health care plans to employees from a variety of insurers, including Blue Cross and UnitedHealthcare, to lower their costs for the benefit....",https://www.nytimes.com/2014/03/07/business/companies-turn-to-private-exchanges-to-control-health-care-costs.html
"Health Law Bellwether, UnitedHealth Posts Lower Profit",2014-04-18T00:00,Profit declined 7.8 percent partly because of the health law and the high costs of a hepatitis C treatment....,https://www.nytimes.com/2014/04/18/business/citing-the-federal-health-care-law-unitedhealth-says-profit-fell.html
"UnitedHealth, an Insurer Switching Roles, Helps Hospitals on Medicare Billing",2014-07-01T00:00,"Executive Health Resources, a consultant owned by UnitedHealth Group, assists hospitals with winning larger payments from Medicare....",https://www.nytimes.com/2014/07/01/business/unitedhealth-an-insurer-switching-roles-helps-hospitals-on-medicare-billing.html
UnitedHealth’s $12.8 Billion Deal Could Reduce Further Consolidation,2015-03-31T00:00,Catamaran’s agreement to be sold indicates that benefit managers no longer need to make merger offers themselves to stay alive....,https://www.nytimes.com/2015/03/31/business/dealbook/unitedhealths-12-8-billion-deal-could-reduce-further-consoldiation.html
UnitedHealth Group to Buy Catamaran in $12.8 Billion Pharmacy Benefits Deal,2015-03-31T00:00,"The companies are combining forces in an effort to negotiate better deals with drug makers, which could lead to lower drug prices for consumers....",https://www.nytimes.com/2015/03/31/business/dealbook/unitedhealth-to-buy-pharmacy-benefits-manager-catamaran-in-12-8-billion-deal.html
Pharmacy Benefits Segment Helps UnitedHealth’s Results,2015-04-17T00:00,"Net income rose 29 percent in the quarter, as revenue jumped 13 percent....",https://www.nytimes.com/2015/04/17/business/pharmacy-benefits-segment-helps-unitedhealths-results.html
Largest U.S. Health Insurer Raises Profit Outlook for Year,2015-07-17T00:00,"UnitedHealth Group said on Thursday that its medical costs were about as expected during the second quarter, but analysts were disappointed....",https://www.nytimes.com/2015/07/17/business/largest-us-health-insurer-raises-profit-outlook-for-year.html
"UnitedHealth Lowers Forecast, Blaming Affordable Care Act",2015-11-20T00:00,"Citing weak growth in the numbers of new people signing up for coverage, the company said it was reducing its earnings estimates for 2015 and 2016....",https://www.nytimes.com/2015/11/20/business/unitedhealth-lowers-profit-estimates-citing-losses-in-policy-sales.html
Modest Loss for Market as Investors Assess Mixed Earnings,2015-11-20T00:00,Shares of UnitedHealth Group and Best Buy were lower after the companies’ earnings reports. Shares of Square soared....,https://www.nytimes.com/2015/11/20/business/daily-stock-market-activity.html
"UnitedHealth to Pull Back From Insurance Exchanges, Citing Losses",2016-04-20T00:00,The company said it planned to withdraw from most states and offer policies on the public exchanges in only some states for 2017....,https://www.nytimes.com/2016/04/20/business/citing-losses-unitedhealth-to-pull-back-from-obamacare.html
UnitedHealthcare Sues Dialysis Chain Over Billing,2016-07-01T20:44,"The suit accuses the chain of pushing patients out of government programs and into UnitedHealthcare plans, which pay more for dialysis treatment....",https://www.nytimes.com/2016/07/02/business/unitedhealthcare-sues-dialysis-chain-over-billing.html
UnitedHealth Group to Buy Outpatient Surgery Chain for $2.3 Billion,2017-01-09T11:00,"The insurance giant expects to close the deal for the chain, Surgical Care Affiliates, in the first half of 2017....",https://www.nytimes.com/2017/01/09/business/unitedhealth-surgical-care-affiliates.html
"Scheme Tied to UnitedHealth Overbilled Medicare for Years, Suit Says",2017-02-16T21:54,The Justice Department moved Thursday to join a whistle-blower suit in California that claims the insurer improperly collected vast sums by claiming people under its care were sicker than they were....,https://www.nytimes.com/2017/02/16/business/dealbook/unitedhealthcare-improperly-took-money-from-medicare-suit-says.html
"Gripes About Obamacare Aside, Health Insurers Are in a Profit Spiral",2017-03-18T11:00,"Even in a supercharged stock market, UnitedHealth and its peers are outperforming the market. The reasons may surprise you....",https://www.nytimes.com/2017/03/18/business/health-insurers-profit.html
A Whistle-Blower Tells of Health Insurers Bilking Medicare,2017-05-15T21:52,"A former executive at UnitedHealth says he was paid bonuses to make patients look sicker than they were, which led to bigger reimbursements....",https://www.nytimes.com/2017/05/15/business/dealbook/a-whistle-blower-tells-of-health-insurers-bilking-medicare.html
"UnitedHealth Overbilled Medicare by Billions, U.S. Says in Suit",2017-05-20T00:39,"The Justice Department said adjustments to patients’ charts were made to reap greater payments, but the company said it broke no rules....",https://www.nytimes.com/2017/05/19/business/dealbook/unitedhealth-sued-medicare-overbilling.html
