headline,date,snippet,url
Chief Executive Resigns at United Technologies ,2014-11-25T00:00,Louis R. Chenevert steered the aerospace and building systems giant’s $18.4 billion purchase of the aerospace parts maker Goodrich in 2012....,https://www.nytimes.com/2014/11/25/business/chief-executive-resigns-at-united-technologies.html
United Technologies Picks Retiree to Lead Copter Unit,2015-04-03T00:00,"United appointed Robert Leduc, president of Sikorsky, to the new role of United’s senior vice president for strategic projects....",https://www.nytimes.com/2015/04/03/business/united-technologies-picks-retiree-to-lead-copter-unit.html
United Technologies Plans to Sell or Spin Off Sikorsky Unit,2015-06-16T00:00,"A decision on the fate of the 90-year-old company, which makes Black Hawk helicopters, is expected by the end of the third quarter....",https://www.nytimes.com/2015/06/16/business/dealbook/united-technologies-plans-to-sell-or-spin-off-sikorsky-unit.html
Weak Earnings Send Market Sliding Downward,2015-07-22T00:00,"Stocks veered lower in afternoon trading, weighed down by weak results from IBM, United Technologies and other companies. Telecom stocks were among the biggest decliners....",https://www.nytimes.com/2015/07/22/business/daily-stock-market-activity.html
United Technologies Declines Renewed Offer From Honeywell,2016-02-23T00:00,"The impasse between the two has halted, at least for now, the creation of what would be a nearly $150 billion industrial giant....",https://www.nytimes.com/2016/02/23/business/dealbook/honeywell-makes-new-offer-for-united-technologies.html
Honeywell and United Technologies Disagree on Merits of Merger,2016-02-24T00:00,Analysts appear to have concluded that putting the two companies together poses at least some antitrust risk....,https://www.nytimes.com/2016/02/24/business/dealbook/honeywell-and-united-technologies-disagree-on-merits-of-merger.html
Honeywell Persists in Pursuit of United Technologies,2016-02-27T00:00,United Technologies responded to Honeywell’s latest bid with a presentation outlining its concerns about antitrust problems....,https://www.nytimes.com/2016/02/27/business/dealbook/honeywell-persists-in-pursuit-of-united-technologies.html
"Honeywell, Facing Resistance, Drops Bid for United Technologies",2016-03-02T00:00,Honeywell said it was withdrawing its $90 billion takeover offer after its rival steadfastly argued that a union would be blocked by regulators....,https://www.nytimes.com/2016/03/02/business/dealbook/honeywell-facing-resistance-drops-bid-for-united-technologies.html
United Technologies’ Deal for Rockwell Collins Faces Skepticism,2017-09-05T22:27,Investors and customers like Boeing and Airbus questioned the benefits of uniting the two big airplane parts makers.,https://www.nytimes.com/2017/09/05/business/dealbook/united-technologies-rockwell-deal.html
United Technologies Makes an Expensive Purchase to Gain Scale,2017-09-05T16:21,"The combination with Rockwell Collins makes strategic sense, but revenue benefits or a lucrative breakup may be needed to prove the deal’s potential.",https://www.nytimes.com/2017/09/05/business/dealbook/united-technologies.html
United Technologies to Buy Rockwell Collins in $30 Billion Deal,2017-09-05T01:07,"United Technologies, the corporate parent of Pratt & Whitney, will pay $140 a share in cash and stock in one of the largest deals in aerospace history.",https://www.nytimes.com/2017/09/04/business/united-technologies-rockwell-collins.html
