headline,date,snippet,url
"Broader Market Climbs, but Dow Falters ",2014-01-22T00:00,"The Dow was pulled lower partly by Travelers, Verizon Communications and Johnson & Johnson, which fell even though all three reported earnings that exceeded expectations....",https://www.nytimes.com/2014/01/22/business/daily-stock-market-activity.html
Deutsche Telekom Profit Falls Amid Aggressive Spending in U.S.,2014-05-09T00:00,"The German carrier, which owns the T-Mobile brand, reported a 3.9 percent drop in quarterly earnings after investing heavily to challenge rivals like Verizon and AT&T....",https://www.nytimes.com/2014/05/09/business/international/deutsche-telekom-profit-falls-amid-aggressive-spending-in-united-states.html
Netflix Points at Verizon for Delays in Streaming,2014-06-05T00:00,Netflix said its message was one of many ways it is testing to notify customers about how their viewing experience is affected by their Internet service provider&#8217;s network....,https://www.nytimes.com/2014/06/05/business/media/netflix-points-at-verizon-for-delays-in-streaming.html
Shifts in Wireless Market May Sway a Sprint Deal,2014-06-06T00:00,The two companies say their merger would add a strong competitor to a market now dominated by AT&T and Verizon....,https://www.nytimes.com/2014/06/06/business/sprint-and-t-mobile-say-deal-adds-competition.html
Verizon Challenges Netflix’s Warning Messages Blaming It for Slow Streaming Service,2014-06-06T00:00,"The dust-up comes after the companies agreed that Netflix could pay Verizon to connect directly to its network, creating a faster connection that bypasses the go-between that carries most content through the Internet....",https://www.nytimes.com/2014/06/06/business/media/verizon-challenges-netflixs-warning-messages-blaming-it-for-slow-streaming-service.html
"Irked by N.S.A., Germany Cancels Deal With Verizon ",2014-06-27T00:00,The cancellation comes after Edward J. Snowden&#8217;s revelations that the National Security Agency had routine access to global data provided by telecom companies....,https://www.nytimes.com/2014/06/27/business/angered-by-nsa-activities-germany-cancels-verizon-contract.html
Increase in Wireless Customers Lifts Verizon’s Revenue,2014-07-23T00:00,The nation’s largest wireless telecommunications company reported better-than-expected revenue on Tuesday after a jump in wireless customers and a surge in tablet sales....,https://www.nytimes.com/2014/07/23/business/increase-in-wireless-customers-lifts-verizons-revenue.html
AT&amp;T and Verizon Among Wireless Carriers Planning to Bid on Airwaves,2014-10-02T00:00,"Scheduled to begin on Nov. 13, the auction by the F.C.C. is expected to raise at least $10 billion....",https://www.nytimes.com/2014/10/02/business/biggest-wireless-carriers-plan-to-bid-on-airwaves-.html
"Journalism, Independent and Not",2014-11-03T00:00,"SugarString, a Verizon-run website, highlights problems with the blurring of news and advertising, while The Texas Tribune, a nonpartisan news organization, is thriving....",https://www.nytimes.com/2014/11/03/business/media/journalism-independent-and-not.html
"Verizon Shuts Down SugarString, Site That Had Drawn Journalistic Criticism",2014-12-04T00:00,SugarString ran afoul of the public when The DailyDot reported in October that an editor recruiting journalists was warning them that the site would forbid reporting on “spying and net neutrality.”...,https://www.nytimes.com/2014/12/04/business/media/verizon-shuts-down-sugarstring-technology-site.html
Verizon Sells Wireline Business in Three States to Frontier,2015-02-06T00:00,The company says it wants to concentrate on the East Coast wireline business and will focus on expanding its FiOS broadband and high-speed Internet business in that region....,https://www.nytimes.com/2015/02/06/business/verizon-sells-wireline-business-in-three-states-to-frontier.html
Verizon to Offer Slimmer TV Channel Packages to Battle Streaming Rivals,2015-04-18T00:00,"The FiOS Custom TV service will begin on Sunday, and offers a base $55 monthly package that includes some customization....",https://www.nytimes.com/2015/04/18/business/media/verizon-to-offer-slimmer-tv-channel-packages-to-battle-streaming-rivals.html
Verizon Tops Forecasts and Defends Cable Packages ,2015-04-22T00:00,"Verizon added 565,000 wireless subscribers in the quarter, up 4.8 percent. The company’s first-quarter net income was $4.22 billion, or $1.02 a share....",https://www.nytimes.com/2015/04/22/business/verizon-tops-forecasts-and-defends-cable-packages.html
Disney Joins in Criticism of Verizon’s Cable Plan,2015-04-23T00:00,"A dispute between Verizon and TV networks widened, as Disney said that the company&#8217;s smaller FiOS packages violated agreements with its cable networks....",https://www.nytimes.com/2015/04/23/business/media/disney-joins-in-criticism-of-verizons-cable-plan.html
Resistance to Verizon FiOS Promotion,2015-04-24T00:00,Disney and Fox said they would not run a commercial for FiOS&#8217;s new cable package on some of their channels....,https://www.nytimes.com/2015/04/24/business/media/resistance-to-verizon-fios-promotion.html
ESPN Sues Verizon Over New Cable Packages  ,2015-04-28T00:00,"The network, owned by Disney, says that the carrier&#8217;s new FiOS cable packages violate its contract....",https://www.nytimes.com/2015/04/28/business/media/espn-sues-verizon-over-new-cable-packages.html
Verizon-AOL Deal Put Together by Boutique Advisers,2015-05-13T00:00,Credit for putting together the $4.4 billion deal goes to LionTree Advisors and Guggenheim Partners for Verizon and Allen & Company for AOL....,https://www.nytimes.com/2015/05/13/business/dealbook/verizon-aol-deal-put-together-by-boutique-advisers.html
