headline,date,snippet,url
Visa Trims Slogan to Expand Meaning,2014-01-13T00:00,"“It’s everywhere you want to be,” has become “Everywhere you want to be” to highlight many options available under the Visa brand umbrella, including mobile and electronic payments....",https://www.nytimes.com/2014/01/13/business/media/visa-trims-slogan-to-expand-meaning.html
Walmart Sues Visa for $5 Billion Over Credit and Debit Swipe Fees,2014-03-28T00:00,"Walmart accused the company of excessively high card swipe fees, several months after the retailer opted out of a class-action settlement....",https://www.nytimes.com/2014/03/28/business/walmart-sues-visa-for-5-billion-over-credit-and-debit-swipe-fees.html
Britain’s Denial of Some Visas to Russians for Air Show Stirs Outcry,2014-07-15T00:00,"The British government denied visas to the Farnborough show for some state and state company officials including those in the military aviation industry, citing the conflict in Ukraine....",https://www.nytimes.com/2014/07/15/business/international/britains-denial-of-some-visas-to-russians-for-air-show-stirs-outcry.html
Cautious Outlook From Visa Leads Market Lower ,2014-07-26T00:00,"The credit card processor, along with Amazon, said that the second half of the year was looking more troubled than originally expected....",https://www.nytimes.com/2014/07/26/business/daily-stock-market-activity.html
Upbeat Economic and Corporate News Lifts Market,2014-10-31T00:00,"The Dow Jones industrial average led the stock market’s gains, rising more than 200 points, thanks to a surge in Visa....",https://www.nytimes.com/2014/10/31/business/daily-stock-market-activity.html
Visa Posts Higher Profits and Will Split Its Stock ,2015-01-30T00:00,"The company said it processed $1.2 trillion in payments on its network in the latest quarter, up 11 percent compared with a year ago....",https://www.nytimes.com/2015/01/30/business/visa-posts-higher-profits-and-will-split-its-stock.html
Europe&#8217;s Having a Distress Sale on Visas,2015-02-10T00:00,"Some countries are more high-end than others. Britain, for instance, offers a visa in exchange for a $3 million investment; a Latvian visa, in contrast, costs less than $300,000....",https://www.nytimes.com/2015/02/10/business/europes-having-a-distress-sale-on-visas.html
Costco to Offer Citigroup and Visa Co-Branded Cards,2015-03-03T00:00,"The warehouse club Costco has chosen Citigroup and Visa to run its co-branded credit card starting next year, replacing American Express, which lost the coveted deal last month....",https://www.nytimes.com/2015/03/03/business/costco-to-offer-citigroup-and-visa-co-branded-cards.html
Visa and Visa Europe Are Said to Consider Reunification,2015-05-09T00:00,"The deal, which could be worth up to $20 billion, would rejoin Visa, the world’s biggest payment network, with a subsidiary it spun off in 2007....",https://www.nytimes.com/2015/05/09/business/dealbook/visa-and-visa-europe-are-said-to-consider-reunification.html
A Good Time for Visa to Take Europe,2015-05-15T00:00,The credit card company is said to be in talks to buy Visa Europe for as much as $20 billion. A deal would bring global dominance and cost savings....,https://www.nytimes.com/2015/05/15/business/dealbook/a-good-time-for-visa-to-take-europe.html
Visa Europe to Reduce Its Stake in Mobile Payment Company Monitise,2015-07-09T00:00,The news comes on top of Visa Inc. announcing in September that it was “considering its options” regarding the stake....,https://www.nytimes.com/2015/07/09/business/dealbook/visa-europe-to-reduce-its-stake-in-mobile-payment-company-monitise.html
Britain Lowers Price of Tourist Visas for Chinese to Aid Luxury Sector,2015-10-22T00:00,"The move was welcomed by the British hospitality and retail sectors, which said the cost and complexities of tourist visas were driving big-spending Chinese to shop elsewhere....",https://www.nytimes.com/2015/10/22/business/international/britain-lowers-price-of-tourist-visas-for-chinese-to-aid-luxury-sector.html
Visa to Buy Back Former Europe Unit for Up to $23.3 Billion,2015-11-03T00:00,"The two companies had operated separately since 2007, splitting shortly before Visa went public in an $18 billion initial public offering....",https://www.nytimes.com/2015/11/03/business/dealbook/visa-to-buy-back-former-europe-unit-for-up-to-23-3-billion.html
"Girl Scout Cookie Sales Go Digital, With Help From Visa and Dell",2016-01-04T00:00,"The Girl Scouts of the U.S.A. permitted web sales of cookies for the first time in 2015, and Visa and Dell are investing an estimated $3 million this year to help improve the platform....",https://www.nytimes.com/2016/01/04/business/media/girl-scout-cookie-sales-go-digital-with-help-from-visa-and-dell.html
Square Shares Rise as Investors Learn of Visa’s Stake,2016-02-13T00:00,Shares in the mobile payment services company Square rose more than 7 percent on Friday after Visa disclosed the details of its ownership stake in the company....,https://www.nytimes.com/2016/02/13/business/square-shares-rise-as-investors-learn-of-visas-stake.html
Visa Speeds Up Chip Cards With Software Upgrade,2016-04-20T00:00,Visa said its software would allow customers to dip and remove their chip cards from payment terminals in two seconds or less....,https://www.nytimes.com/2016/04/20/business/visa-speeds-up-chip-cards-with-software-upgrade.html
Costco’s Transition to Visa Cards Riddled With Problems,2016-06-24T00:00,"Citigroup, which is issuing the new Visa cards for Costco, has logged more than 1.5 million customer service calls on them....",https://www.nytimes.com/2016/06/24/business/costcos-transition-to-visa-cards-riddled-with-problems.html
MasterCard-Visa Settlement With Retailers Is Overturned,2016-07-01T00:00,A federal appeals court said the historic settlement was void because the same lawyers represented the retailers and the card processing companies....,https://www.nytimes.com/2016/07/01/business/mastercard-visa-settlement-with-retailers-is-overturned.html
Not Everyone in Tech Cheers Visa Program for Foreign Workers,2017-02-06T00:57,Tech companies say the H-1B program is needed to find highly skilled employees. But it has also been used to lower labor costs and cut jobs....,https://www.nytimes.com/2017/02/05/business/h-1b-visa-tech-cheers-for-foreign-workers.html
How to Woo Chinese Investors: With Visa Offers and the Trump Name,2017-05-19T09:00,"To lure money from China, the Kushner family business tapped a specialist that has faced legal fights and another that played up its political ties....",https://www.nytimes.com/2017/05/19/business/kushner-trump-china-green-cards.html
Bank of New York Mellon Hires Former Visa Head as C.E.O.,2017-07-17T13:38,Charles Scharf will join the bank as chief executive immediately and assume the chairman’s role in January after Gerald Hassell’s retirement....,https://www.nytimes.com/2017/07/17/business/dealbook/bank-of-new-york-mellon-charles-scharf.html
Kushner Companies Said to Be Under Investigation Over Visa Program,2017-08-03T22:26,"The inquiry centers on the real estate company’s use of a program that offers visas in exchange for a $500,000 investment, a person familiar with the matter said.",https://www.nytimes.com/2017/08/03/business/kushner-eb-5-china-green-cards.html
