headline,date,snippet,url
Walmart Is Facing Claims That It Fired Protesters,2014-01-16T00:00,A complaint filed by the National Labor Relations Board says employees in several states were disciplined or fired after striking for better pay....,https://www.nytimes.com/2014/01/16/business/walmart-is-facing-claims-that-it-fired-protesters.html
Walmart Fund to Support U.S. Manufacturing,2014-01-24T00:00,The retailer will award grants for new production processes as it pushes for more American-made products....,https://www.nytimes.com/2014/01/24/business/walmart-creates-10-million-fund-to-stimulate-american-manufacturing.html
"Walmart Will Lay Off 2,300 Sam’s Club Workers",2014-01-25T00:00,The layoffs will affect a combination of salaried assistant managers and hourly employees....,https://www.nytimes.com/2014/01/25/business/walmart-will-lay-off-2300-sams-club-workers.html
Walmart Trims Its Profit Forecast for the 4th Quarter,2014-02-01T00:00,The giant retailer said winter storms and cuts in food stamps would affect its bottom line when it reports earnings in February....,https://www.nytimes.com/2014/02/01/business/walmart-lowers-fourth-quarter-profit-forecast.html
"Profits Fall for Walmart and Nordstrom, and They Forecast Weakness Ahead ",2014-02-21T00:00,The company reported a 21 percent drop in fourth-quarter earnings....,https://www.nytimes.com/2014/02/21/business/Walmart-reports-fourth-quarter-and-yearly-earnings.html
Q. and A. With Stuart Elliott,2014-02-24T00:00,"Unnervingly blue eyes in an ad, and Walmart’s choice of a song is questioned....",https://www.nytimes.com/2014/02/24/business/media/q-and-a-with-stuart-elliott.html
Walmart’s New Push for Outdoor Sales,2014-03-20T00:00,"Walmart is waging an aggressive campaign for outdoor and garden business this spring for the first time, offering &#8220;Black Friday-like prices&#8221; on more than 60 items....",https://www.nytimes.com/2014/03/20/business/walmarts-new-push-for-outdoor-sales.html
Walmart Recalls Thousands of Dolls That Pose Burn Hazard,2014-03-26T00:00,The Consumer Product Safety Commission said on Tuesday that the My Sweet Love/My Sweet Baby Cuddle Care Baby Doll has a circuit board in its chest that can overheat....,https://www.nytimes.com/2014/03/26/business/walmart-recalls-thousands-of-dolls-that-pose-burn-hazard.html
Walmart Sues Visa for $5 Billion Over Credit and Debit Swipe Fees,2014-03-28T00:00,"Walmart accused the company of excessively high card swipe fees, several months after the retailer opted out of a class-action settlement....",https://www.nytimes.com/2014/03/28/business/walmart-sues-visa-for-5-billion-over-credit-and-debit-swipe-fees.html
Sam’s Club Releases Survey on ‘Microbusinesses’,2014-04-04T00:00,"The Walmart division says the survey, done with Gallup, will be the first of a quarterly series on the nation’s smallest businesses....",https://www.nytimes.com/2014/04/04/business/sams-club-releases-survey-on-microbusinesses.html
"Walmart to Sell Organic Food, Undercutting Big Brands",2014-04-10T00:00,The retail giant will carry Wild Oats products that will undercut brand-name organic competitors by at least 25 percent....,https://www.nytimes.com/2014/04/10/business/walmart-to-offer-organic-line-of-food-at-cut-rate-prices.html
Walmart Will Enter Cash Wiring Business ,2014-04-18T00:00,"Fees for the service will be $4.50 for up to $50 transferred and $9.50 for amounts above that, up to $900....",https://www.nytimes.com/2014/04/18/business/walmart-to-offer-customers-money-transfers-between-stores.html
"In Florida Tomato Fields, a Penny Buys Progress",2014-04-25T00:00,"A group of dedicated farmworkers enlisted companies like McDonald’s, Walmart and Yum Brands to press tomato growers for better conditions....",https://www.nytimes.com/2014/04/25/business/in-florida-tomato-fields-a-penny-buys-progress.html
Insurance Site and Walmart in Deal to Sell Auto Policies,2014-04-30T00:00,Walmart is teaming with AutoInsurance.com to allow consumers in eight states to review prices at several insurance companies....,https://www.nytimes.com/2014/04/30/business/insurance-site-and-walmart-in-deal-to-sell-auto-policies.html
Making Ends Meet at Walmart,2014-05-11T00:00,"In a rough year for many of its shoppers, adjusted financial results meant higher incentive pay for some of its executives....",https://www.nytimes.com/2014/05/11/business/making-ends-meet-at-walmart.html
Shares Fall After Mixed Economic News,2014-05-16T00:00,A sell-off in small-company stocks added to weak first-quarter numbers from Walmart and Kohl’s....,https://www.nytimes.com/2014/05/16/business/daily-stock-market-activity.html
"Portland, Ore., Sheds Its Walmart Bonds",2014-05-17T00:00,"The city of Portland, Ore., said it had started divesting itself of holdings in the retail store because of its labor practices....",https://www.nytimes.com/2014/05/17/business/portland-ore-will-no-longer-invest-in-walmart.html
"After Bribery Scandal, High-Level Departures at Walmart",2014-06-05T00:00,At least eight senior executives have left the giant retailer since reports of bribery in its international division surfaced two years ago....,https://www.nytimes.com/2014/06/05/business/after-walmart-bribery-scandals-a-pattern-of-quiet-departures.html
 Walmart&#8217;s New C.E.O. Stresses Technology to Improve Customer Service,2014-06-07T00:00,"Mr. McMillon, 47, who started at the company at age 17, made an appearance at Walmart&#8217;s shareholders&#8217; meeting on Friday....",https://www.nytimes.com/2014/06/07/business/new-walmart-ceo-doug-mcmillon-meets-investors.html
Walmart Reorganizes E-commerce Personnel,2014-06-10T00:00,"The staff changes, including the departure of the president of Walmart.com, come as the company shifts toward a stronger online presence....",https://www.nytimes.com/2014/06/10/business/walmart-reorganizes-e-commerce-personnel.html
Big Retailers Agree to List Unit Prices on Websites,2014-06-17T00:00,"Six major stores, including Walmart and Costco, joined in the deal with New York’s attorney general. But there was one holdout, Amazon....",https://www.nytimes.com/2014/06/17/business/big-retailers-agree-to-list-unit-prices-on-websites.html
"Walmart Illegally Closed Union Store, Court Says",2014-06-28T00:00,The Supreme Court of Canada ruled the company violated Quebec’s labor code when it closed a store in the province that had become one of the first Walmarts there to unionize....,https://www.nytimes.com/2014/06/28/business/international/walmart-illegally-closed-union-store-court-says.html
Walmart U.S. Chief Leaving; Successor Headed Asian Unit,2014-07-25T00:00,"The executive will be replaced as of Aug. 9 by Greg Foran, who is head of the company’s Asian unit....",https://www.nytimes.com/2014/07/25/business/bill-simon-stepping-down-as-chief-of-walmarts-us-division.html
"In Ambitious Bid, Walmart Seeks Foothold in Primary Care Services",2014-08-08T00:00,Walmart is looking to grab a bigger share of the billions of health care dollars being spent in the United States and to benefit from the shifting delivery system that has resulted from the Affordable Care Act....,https://www.nytimes.com/2014/08/08/business/in-ambitious-bid-walmart-seeks-foothold-in-primary-care-services.html
"Walmart, J.C. Penney and Other Retailers See a Tentative Shopper",2014-08-15T00:00,"Walmart’s domestic sales were flat instead of falling, Penney’s sharply cut its losses, and Kohl’s sales and profit fell. Macy’s gave a forecast that will hinge on customer sentiment....",https://www.nytimes.com/2014/08/15/business/walmart-lowers-forecast-as-us-sales-remain-weak.html
Coleman Recalls Inflatable Swimming Tubes From Walmart,2014-09-11T00:00,"The company will take back 20,000 Sevylor River Racer tubes, which people use to float in the water, after consumers reported skin irritation, the Consumer Product Safety Commission said....",https://www.nytimes.com/2014/09/11/business/coleman-recalls-inflatable-swimming-tubes-from-walmart.html
Walmart Vice President Forced Out for Lying About Degree,2014-09-17T00:00,"David Tovar, vice president of corporate communications, said Walmart discovered he hadn’t graduated from college during a background check in preparation for promoting him....",https://www.nytimes.com/2014/09/17/business/17tovar.html
Walmart Prepares to Offer Low-Cost Checking Accounts,2014-09-24T00:00,"The retailer will partner with Green Dot, known for its prepaid payment cards....",https://www.nytimes.com/2014/09/24/business/finding-a-door-into-banking-walmart-to-offer-checking-accounts.html
Walmart Aims to Go Greener on Food,2014-10-07T00:00,"The retailer, which is the United States&#8217; largest grocer, will try to reduce adverse environmental impacts of the food it sells....",https://www.nytimes.com/2014/10/07/business/new-walmart-program-aims-to-enhance-food-sustainability.html
Converse Sues to Protect Its Chuck Taylor All Stars,2014-10-15T00:00,"The footwear maker is filing trademark infringement lawsuits against 31 retailers, including Walmart, Kmart and Skechers, to protect core design elements....",https://www.nytimes.com/2014/10/15/business/converse-sues-to-protect-its-chuck-taylor-all-stars.html
Walmart Cuts Its Sales Forecast as Holiday Hopes Darken,2014-10-16T00:00,The weak numbers from Walmart add to worries over consumer spending and the overall strength of the American economy....,https://www.nytimes.com/2014/10/16/business/walmart-lowers-its-sales-outlook-as-holiday-forecasts-darken.html
Walmart Workers Demand $15 Wage in Several Protests,2014-10-17T00:00,"Organizers of a group called Our Walmart marched Thursday in New York, Washington and Phoenix to change labor practices in retailing and other low-wage industries....",https://www.nytimes.com/2014/10/17/business/walmart-workers-seek-wage-bump.html
"To Limit Risks as It Enters China, Costco Works With Alibaba",2014-10-21T17:45,"By selling directly to consumers on Alibaba's platform, the American retailer aims to employ local knowledge to avoid missteps that plagued Walmart in China....",https://www.nytimes.com/2014/10/21/business/international/to-limit-risks-as-it-enters-china-costco-works-with-alibaba.html
